date,open,high,low,close,volume
2024-03-01,10.38,11,10.2,10.94,2790.3
2024-03-04,10.908,11.6,10.6,10.88,2487.3
2024-03-05,10.8,11.994,10.6,10.96,1549.05
2024-03-06,10.656,13.384,10.6,11.75,16831.55
2024-03-07,11.8,13.166,11.8,12,9677.65
2024-03-08,12.6,12.8,11.03,11.482,8323.65
2024-03-11,10.986,11.6,10.8,11.202,4264.4
2024-03-12,11.402,12.264,10,10.002,3317.15
2024-03-13,10,12,10,10.65,1011.5
2024-03-14,10.4,11.123,9.6,9.6,1943.55
2024-03-15,10.4,10.566,10,10.554,2047.45
2024-03-18,10.142,11.374,10.142,10.91,4874.7
2024-03-19,11.58,12.678,10.2,11.2,2560.35
2024-03-20,11.896,11.896,9.802,10.974,2564.5
2024-03-21,10.72,11.656,10.2,10.972,1561.35
2024-03-22,11.068,11.2,10.6,10.98,1092.65
2024-03-25,11,11.802,11,11.7,2521.7
2024-03-26,11.6,11.996,11,11.782,2062.8
2024-03-27,11.926,12.898,11.82,12.434,1413
2024-03-28,13.38,13.38,11.62,11.62,2351.65
2024-04-01,11.6,11.6,10.616,10.626,893.4
2024-04-02,10.4,11.796,10.054,10.57,1381.65
2024-04-03,11.8,11.8,10.126,10.6,870.3
2024-04-04,10.596,11.554,10.596,11.144,925.75
2024-04-05,11,12,10.552,11.9,1266.7
2024-04-08,11.934,11.9998,11.4,11.4,2160.05
2024-04-09,11.002,11.02,10.4,10.4,798.4
2024-04-10,10.4,11.678,10.4,10.6,1110.2
2024-04-11,10.8,11.69,10.136,10.202,1638.95
2024-04-12,11.05,11.472,10.798,10.808,313.05
2024-04-15,10.502,11.026,9.639,9.82,2336.75
2024-04-16,9.84,10.598,9.8,9.85,321
2024-04-17,9.86,10.34,9.304,9.5,676.5
2024-04-18,10,10.4,8.6,9.98,3919.9
2024-04-19,9.494,9.7,9.204,9.55,881.25
2024-04-22,9.5,10.4,9.482,9.8,1642.85
2024-04-23,9.998,10.4,9.4,9.68,879.65
2024-04-24,9.9,10.06,9.584,10.06,161
2024-04-25,9.62,10.4,9.602,9.994,1754.5
2024-04-26,9.948,9.95,9.426,9.95,217.65
2024-04-29,9.8,10.4,9.8,10,293.55
2024-04-30,9.82,10,7.612,10,2004.65
2024-05-01,9.3,9.996,8.7,9.302,1068.05
2024-05-02,9.78,9.798,7.908,9.098,4265.3
2024-05-03,9.108,9.108,8.15,8.52,2859.15
2024-05-06,8.004,8.366,7.85,8.09,4731.85
2024-05-07,8,9.05,7.8,8.62,4149.25
2024-05-08,8.406,9.078,7.876,8.2,1794.85
2024-05-09,8.02,8.794,7.6,8.704,3160.3
2024-05-10,8.798,8.798,7.828,7.902,1492.1
2024-05-13,8.2,8.2,7.952,7.966,3773.55
2024-05-14,8,8.6,7.902,8,5098.05
