date,open,high,low,close,volume
2024-03-01,30.02,30.48,30.01,30.48,3947
2024-03-04,30.3,30.59,29.7,29.7,9784
2024-03-05,29.715,30.01,29.715,30.01,4826
2024-03-06,29.72,30.8362,29.72,30.1,4434
2024-03-07,30.1,30.22,30.1,30.22,2053
2024-03-08,30.32,30.32,29.12,29.37,8151
2024-03-11,29.27,29.52,29.12,29.52,3630
2024-03-12,29.29,29.73,29.29,29.56,2625
2024-03-13,29.22,29.81,29.22,29.81,2934
2024-03-14,29.02,29.02,28.61,28.75,4467
2024-03-15,28.35,29.36,28.35,29.36,11245
2024-03-18,29.53,29.53,29,29,2125
2024-03-19,29.5,29.5001,29.05,29.05,2762
2024-03-20,29.41,29.45,29.01,29.22,4844
2024-03-21,29.74,30.5,29.74,30.5,4275
2024-03-22,30.8068,30.8068,29.24,29.35,3271
2024-03-25,29.92,29.93,29,29.34,2042
2024-03-26,29.68,30.21,29.23,29.26,4046
2024-03-27,30.65,30.66,30.05,30.05,3693
2024-03-28,30.42,30.71,29.45,30.1,5773
2024-04-01,29.43,29.43,29.12,29.19,2912
2024-04-02,29.63,29.8,28.55,29.16,8811
2024-04-03,28.79,29.35,28.79,29.25,3684
2024-04-04,29.2,29.4,29.2,29.27,4101
2024-04-05,29.32,29.32,29.01,29.01,2706
2024-04-08,29.33,29.4,29.01,29.03,6044
2024-04-09,29.36,29.36,28.52,28.53,9715
2024-04-10,28.37,28.37,27,27.04,24707
2024-04-11,27.12,27.12,26.52,26.605,18479
2024-04-12,26.5,26.9,25.47,25.86,21246
2024-04-15,26.13,26.25,25.1,25.1,26840
2024-04-16,25.36,25.38,25.06,25.07,35659
2024-04-17,25.34,25.37,24.68,25,34321
2024-04-18,25.29,27.49,24.12,24.36,46080
2024-04-19,24.26,25.2423,24.06,24.25,34119
2024-04-22,24.26,24.68,24.25,24.4,28685
2024-04-23,25.1,25.2329,24.47,24.62,22123
2024-04-24,26.544,26.544,24.44,24.6,30914
2024-04-25,24.6,25.63,24.42,25.18,37663
2024-04-26,25.2,26.185,24.81,25.5,34068
2024-04-29,25.38,27.5,25.38,27.5,49301
2024-04-30,27.25,28.5,27.08,28.21,33468
2024-05-01,27.87,28.75,27.87,28.49,31700
2024-05-02,29,29.5,28.71,29.48,29631
2024-05-03,29.6,30,28.9,29.9,25717
2024-05-06,29.51,30.225,29.505,29.775,24137
2024-05-07,29.49,30.26,29.49,29.73,18527
2024-05-08,29.66,30.16,29.42,29.74,6228
2024-05-09,29.84,29.91,28.9835,29.91,9387
2024-05-10,29.33,30.06,29.33,30.03,5563
2024-05-13,30.07,30.39,29.85,30.34,7262
2024-05-14,30.54,30.8,30.27,30.47,7485
2024-05-15,30.53,31.14,30.28,31.14,25365
2024-05-16,30.53,31.95,30.31,31.01,23031
2024-05-17,31.04,31.79,30.42,31.51,9893
2024-05-20,30.92,32.32,30.657,31.23,11859
2024-05-21,30.945,32,30.945,31.51,9189
2024-05-22,31.49,31.84,30.51,31.82,41536
2024-05-23,31.05,31.66,29.6007,30.18,16754
2024-05-24,30.335,30.91,29.6301,30.53,7215
2024-05-28,29.76,30.16,29.76,30.16,4524
2024-05-29,29.01,29.9,29.01,29.43,15777
2024-05-30,29.56,29.9925,29.2,29.71,9374
2024-05-31,30.13,30.33,29,29.26,16851
2024-06-03,29.26,30,28.78,29.66,11197
2024-06-04,29.18,30.49,28.71,29.6,12990
2024-06-05,29.39,30.33,29.34,30.33,14429
2024-06-06,30.3,30.43,28.8822,30.43,13262
2024-06-07,29.17,30.01,29.16,29.55,1970
2024-06-10,29.59,29.73,29.33,29.5,4735
2024-06-11,29.54,30.63,29.32,29.71,9162
2024-06-12,29.99,30.63,29.355,30.63,9042
2024-06-13,30.08,31.27,30.08,30.48,13451
2024-06-14,30.23,30.44,29.76,30,5447
2024-06-17,29.5,30.5,29.5,30.5,4891
2024-06-18,30.04,30.61,30.04,30.35,9742
2024-06-20,30.42,30.42,30.42,30.42,1973
2024-06-21,30.4,32.1,30.4,31.9,31206
2024-06-24,31.6,31.9,30.53,31.9,11828
2024-06-25,31.53,32,31.37,31.9,5866
2024-06-26,31.25,32.05,31.25,31.71,6696
2024-06-27,32.09,32.35,31.53,32.15,12343
2024-06-28,32.4,32.96,31.23,32.8,34380
2024-07-01,32.35,32.97,31.55,32.3,6253
2024-07-02,32.3,32.85,31.85,32.56,4582
2024-07-03,32.8,33.04,31.19,33.04,12845
2024-07-05,32.37,32.37,29.8,30.39,34768
2024-07-08,30.83,31.12,30.4,30.9,5971
2024-07-09,30.82,31.19,30.775,31.19,2468
2024-07-10,31.2,31.85,31,31.8,4909
2024-07-11,32.17,34.39,32.16,34.39,14963
2024-07-12,34.3,34.3,32.4273,33.11,13384
2024-07-15,33.72,36,33.65,34.49,19972
2024-07-16,34.46,37.73,34.46,37.52,19696
2024-07-17,37.5,38,36.122,37,22012
2024-07-18,36.14,37.58,36.14,37.1,6884
2024-07-19,37.19,37.25,36.84,37.02,8169
2024-07-22,36.95,37.8,36.36,37.8,12796
2024-07-23,37.67,39.802,37.67,38.61,16566
2024-07-24,39.45,39.47,37.735,38.3,8879
2024-07-25,38.135,39.94,38.135,39.5,10720
2024-07-26,39.5,39.5,38.8,38.85,12086
2024-07-29,38.39,38.69,37.94,38.2,5395
2024-07-30,37.8301,38.8,36.93,38.8,15302
2024-07-31,39.43,39.68,39.08,39.08,7365
2024-08-01,39.06,39.06,36.98,37.73,13885
2024-08-02,35.86,37.11,34.65,36.77,13463
2024-08-05,33.71,35.29,33.71,35.015,16123
2024-08-06,34.98,35.67,34.15,34.15,5875
2024-08-07,34.3,34.68,34.02,34.27,6369
2024-08-08,33.53,34.81,33.53,34.81,3720
2024-08-09,34.44,35.05,34.44,34.62,2752
2024-08-12,35.2,35.2,34.48,34.77,9045
2024-08-13,34.94,35.77,34.94,35.74,3072
2024-08-14,34.88,35.8,34.88,35.39,2579
2024-08-15,36.01,38.16,35.43,35.98,8413
2024-08-16,35.79,36.87,35.0351,36.49,8035
2024-08-19,36.04,38.16,36.04,36.9,22944
2024-08-20,36.1766,36.45,36.1766,36.25,3700
2024-08-21,35.85,37,35.7247,36.7,5712
2024-08-22,36.5,36.92,36.136,36.53,8446
2024-08-23,37.24,38.77,37.24,38.77,6994
2024-08-26,39,39.35,38.63,38.63,4457
2024-08-27,37.715,38.405,36.9501,37.79,2547
2024-08-28,37.5,38.67,37.5,38.08,5162
2024-08-29,38.5,39.71,38.5,39.63,3695
2024-08-30,38.5,39.72,37.66,39.72,3979
2024-09-03,39.7942,39.7942,38.3075,39.05,3546
2024-09-04,39.05,39.35,38.7937,39.35,2338
2024-09-05,39.4,39.4,39.35,39.35,2128
2024-09-06,39.62,39.98,39.01,39.66,3522
2024-09-09,39.56,39.89,39.28,39.5,7718
2024-09-10,39.5,39.95,39.5,39.95,4004
2024-09-11,39.49,39.75,39.25,39.54,4705
2024-09-12,39.4,39.85,39.4,39.85,3808
2024-09-13,38.03,41.8,38.03,41.8,15472
2024-09-16,41.7,41.7,40.5,41.12,10701
2024-09-17,41.39,41.65,40.7,41.2,8380
2024-09-18,40.99,41.21,40.18,41.04,13537
2024-09-19,41.89,41.89,41.39,41.79,6193
2024-09-20,41.04,41.49,40.7,41.15,27487
2024-09-23,41.24,41.31,41.15,41.15,2352
2024-09-24,41.47,41.47,40.75,40.98,4984
2024-09-25,41.01,41.29,40.74,41.29,7458
2024-09-26,41.5,42,40.89,41.32,10421
2024-09-27,41.37,41.75,41.01,41.75,2703
2024-09-30,41.49,41.65,41.49,41.65,1655
2024-10-01,41.4,41.4,41.05,41.06,7570
2024-10-02,41.05,41.366,40.116,41,6882
2024-10-03,40.98,41.2,40.8,40.91,14705
2024-10-04,41.19,41.24,39.875,41.24,8085
2024-10-07,40.9,41.1,39.9,40.31,10780
2024-10-08,40.29,40.29,38,38.68,6586
2024-10-09,38.56,38.945,38.11,38.3,4773
2024-10-10,38.32,38.39,38.12,38.16,9340
2024-10-11,38.3,39.0758,38.29,38.29,10871
2024-10-14,37.77,38.23,37.77,38.23,1265
2024-10-15,40,40,38.4,39.01,13008
2024-10-16,39.71,41.09,39.69,41.05,6776
2024-10-17,39.2,41.55,39.2,41.53,15814
2024-10-18,41.74,42.75,41.74,42.31,9754
2024-10-21,40.81,42.585,40.81,41.71,4313
2024-10-22,41.495,41.6,41.0555,41.49,3261
2024-10-23,41.11,41.11,40.55,40.79,2940
2024-10-24,40.94,40.95,40.12,40.64,5599
2024-10-25,40.9,40.9,39.95,39.95,4281
2024-10-28,40.12,41.09,40.12,41.09,8619
2024-10-29,40.455,40.53,39.66,39.95,6129
2024-10-30,40.1,40.1,39.7,39.74,3464
