date,open,high,low,close,volume
2024-03-01,113.93,114.64,111.9369,112.48,308647
2024-03-04,112.77,113.1,110.61,112.06,232286
2024-03-05,111.11,117.9,111.11,117.06,386118
2024-03-06,118.65,118.65,115.7,115.97,215533
2024-03-07,116.05,118.055,116.05,117.26,267007
2024-03-08,119.23,121.45,116.88,117,304310
2024-03-11,116.96,118.45,115.99,116.26,182131
2024-03-12,116.93,119.28,116,117.03,319532
2024-03-13,116,119.23,116,117.83,285710
2024-03-14,117.1,117.46,112.09,113.46,263033
2024-03-15,113.36,115.865,112.18,112.85,441799
2024-03-18,114.53,115.08,112.3,113.88,306795
2024-03-19,114.2,114.78,112.74,113.2,266688
2024-03-20,112.53,115.475,112.53,114.85,207090
2024-03-21,115.04,115.86,114,115.15,329055
2024-03-22,114.82,115.74,113.53,113.77,260610
2024-03-25,113.58,115.834,113.33,113.45,205441
2024-03-26,114.13,114.6,112.63,112.97,237820
2024-03-27,113.76,117.23,113.145,117.14,314646
2024-03-28,117.76,118.93,116.9,117.61,248277
2024-04-01,117.79,119.16,115.545,117.29,280060
2024-04-02,116.46,116.91,112.63,115.1,258704
2024-04-03,113.99,115.575,113.675,114.63,181170
2024-04-04,115.83,115.955,110.78,111,233552
2024-04-05,110.5,111.2,109.09,109.91,389513
2024-04-08,110.72,112.77,110.72,112.27,340834
2024-04-09,112.8,114.52,112.03,114.07,284035
2024-04-10,114.8,114.8,110.23,113.52,367305
2024-04-11,114.51,114.51,111.44,113.65,276162
2024-04-12,112.49,112.5,108.8,108.87,223518
2024-04-15,109.7,110.5,108.165,108.71,225407
2024-04-16,108.25,108.64,106.87,107.5,265345
2024-04-17,108.69,108.87,106.63,106.83,219628
2024-04-18,107.47,110.6,105.76,107.69,273106
2024-04-19,107.07,108.53,107.07,108.16,271646
2024-04-22,108.3,108.865,107.06,108,340821
2024-04-23,108.5,110.53,108.26,109.81,379355
2024-04-24,108.99,111.855,108.99,111.14,339925
2024-04-25,110.75,110.98,105.19,109.66,789538
2024-04-26,110.95,114.32,110.95,112.19,437073
2024-04-29,111.99,114.54,111.06,112.81,283969
2024-04-30,111.61,112.02,110.07,110.63,313295
2024-05-01,110.63,114.2,110.63,112.3,374717
2024-05-02,114.18,115.42,113.33,115.29,324475
2024-05-03,116.58,117.63,113.38,114.72,247958
2024-05-06,115.23,116.66,114.59,115.23,309907
2024-05-07,115.73,117.445,115.25,116.12,213491
2024-05-08,114.4,116.54,114.4,116.52,224198
2024-05-09,116.58,117.47,115.09,115.47,127179
2024-05-10,116.01,116.01,113.46,114.44,169357
2024-05-13,115.25,116.67,114.15,115.04,208494
2024-05-14,116.97,117.33,115.53,116.91,182341
2024-05-15,117.92,117.92,114.66,116.72,177003
2024-05-16,116.37,116.75,115.38,115.78,132772
2024-05-17,115.87,115.87,113.89,114.19,143840
2024-05-20,113.81,115.1599,113.22,113.37,126570
2024-05-21,112.55,113.2,111.675,112.49,145708
2024-05-22,111.84,112.56,111.355,112.06,110298
2024-05-23,111.84,111.84,108.25,108.8,192069
2024-05-24,109.37,110.31,108.875,109.845,161295
2024-05-28,110.43,110.5092,108.67,109.29,138360
2024-05-29,107.56,108.53,107.48,107.715,130131
2024-05-30,108.46,110.155,108.14,110.13,159615
2024-05-31,110.31,111.41,108.8,111.37,161197
2024-06-03,112.05,112.73,110.875,111.34,205228
2024-06-04,111.2,111.3,108.44,108.7,223394
2024-06-05,108.94,108.94,106.35,107.98,161335
2024-06-06,107.33,108.78,106.33,107.47,136557
2024-06-07,106.27,108.16,105.86,106.38,223228
2024-06-10,105.11,106.675,103.84,105.71,340008
2024-06-11,105,105.26,103.34,104.655,328931
2024-06-12,107.5,109.31,106.3445,107.84,224956
2024-06-13,107.35,107.78,104.9,106.22,173086
2024-06-14,104.55,104.55,101.42,103.96,251794
2024-06-17,103.99,105.825,103.525,105.36,192877
2024-06-18,105.06,105.535,102.65,103.59,209350
2024-06-20,103.03,106.35,103.02,105.08,246705
2024-06-21,105.54,107.2,104.805,106.99,593266
2024-06-24,107.04,110.07,107.04,108.33,234514
2024-06-25,107.7,108.34,105.91,106.2,225367
2024-06-26,105.19,105.86,103.48,105.72,282180
2024-06-27,106.13,106.215,104.9401,105.55,184055
2024-06-28,106.55,107.21,105.51,106.7,296634
2024-07-01,106.39,107.79,104.9628,105.38,157425
2024-07-02,105.38,108.81,104.4628,107.55,155641
2024-07-03,108.52,109.46,107.85,108.08,122576
2024-07-05,107.21,108.42,107.07,107.78,176130
2024-07-08,108.82,109.28,105.675,106.08,215917
2024-07-09,105.62,105.62,103.295,103.47,518362
2024-07-10,104.03,105.59,103.31,105.04,180382
2024-07-11,107.64,109.6829,106.91,108.72,322601
