date,open,high,low,close,volume
2024-10-28,0.11,0.15,0.1001,0.1199,1490713.0
2024-10-29,0.1,0.1001,0.1,0.1,30100
2024-10-30,0.1,0.1,0.1,0.1,39100
2024-10-31,0.1,0.1,0.1,0.1,30900
2024-11-01,0.13,0.13,0.1,0.1,300
2024-11-04,0.1,0.1,0.1,0.1,6202
2024-11-05,0.1,0.1,0.095,0.1,486167
2024-11-06,0.15,0.15,0.1017,0.12,3939
2024-11-07,0.119811,0.12,0.1011,0.1199,533
2024-11-08,0.12,0.12,0.1199,0.1199,1183
2024-11-13,0.1101,0.12,0.11,0.12,24039
2024-11-14,0.11,0.11,0.11,0.11,240214
2024-11-25,0.11,0.119999,0.11,0.119999,222531
2024-11-26,0.118,0.12,0.1101,0.12,61465
2024-11-27,0.118,0.121178,0.11,0.121178,2666
2024-11-29,0.1282,0.13,0.1201,0.1201,1246
2024-12-02,0.13,0.13,0.12,0.12,148019
2024-12-03,0.13,0.13,0.1201,0.13,49330
2024-12-05,0.13,0.13,0.13,0.13,198140
2024-12-11,0.13,0.15,0.13,0.136,2329
2024-12-13,0.1963,0.1963,0.135,0.14,214306
2024-12-16,0.15071,0.15071,0.14,0.1463,25646
2024-12-18,0.14,0.14,0.14,0.14,100
2024-12-19,0.14,0.1577,0.14,0.1577,373
2024-12-20,0.156,0.16,0.156,0.16,997
2024-12-23,0.16,0.16,0.16,0.16,655
2024-12-24,0.157408,0.157408,0.157408,0.157408,300
2024-12-31,0.16,0.16,0.16,0.16,166
2025-01-07,0.15,0.15,0.15,0.15,202
2025-01-08,0.15,0.1501,0.142,0.15,65583
2025-01-10,0.172,0.1721,0.172,0.172,404
2025-01-13,0.165,0.165,0.165,0.165,15017
2025-01-17,0.17,0.17,0.17,0.17,144
2025-01-24,0.18,0.18,0.17999,0.17999,558
2025-01-27,0.161,0.161,0.1401,0.15,12725
2025-01-28,0.1434,0.1434,0.12,0.14,2429
2025-02-04,0.1532,0.176,0.15,0.16,17310
2025-02-07,0.1607,0.169,0.152,0.1618,429165
2025-02-10,0.165,0.17,0.16,0.165,86508
2025-02-11,0.17,0.185,0.17,0.18,362076
2025-02-12,0.18,0.1922,0.18,0.19,36204
2025-02-18,0.16,0.2,0.16,0.2,13305
2025-02-19,0.2,0.2,0.2,0.2,14534
2025-02-20,0.2,0.2,0.195,0.2,929876
2025-02-21,0.20534,0.20534,0.2,0.2,27007
2025-02-24,0.2125,0.285,0.21,0.215,41091
2025-02-25,0.2,0.2,0.2,0.2,25155
2025-02-26,0.259999,0.259999,0.2,0.215,30123
2025-02-27,0.252,0.252,0.2,0.2,21674
2025-02-28,0.246,0.246,0.2,0.2,5364
