date,open,high,low,close,volume
2024-09-17,0.18,0.25,0.14,0.25,9752
2024-09-18,0.251,0.29,0.108,0.19,550701
2024-09-19,0.25,0.25,0.2,0.21,117308
2024-09-20,0.24,0.2654,0.2126,0.23,48719
2024-09-23,0.268,0.27,0.23,0.245,27323
2024-09-24,0.235,0.34,0.235,0.24,5119
2024-09-25,0.27,0.27,0.25,0.25,3719
2024-09-26,0.235,0.235,0.235,0.235,819
2024-09-27,0.235,0.235,0.235,0.235,4774
2024-09-30,0.2437,0.25,0.24,0.24,17894
2024-10-01,0.24,0.24,0.233,0.235,27356
2024-10-02,0.2345,0.2345,0.2345,0.2345,1133
2024-10-03,0.24,0.24,0.23,0.24,8178
2024-10-04,0.24,0.24,0.24,0.24,1000
2024-10-07,0.24,0.24,0.24,0.24,2391
2024-10-08,0.24,0.2488,0.2376,0.24,6310
2024-10-11,0.2,0.2,0.168,0.168,800
2024-10-14,0.19,0.19,0.19,0.19,500
2024-10-16,0.2145,0.2145,0.2145,0.2145,280
2024-10-17,0.24,0.259,0.2354,0.2354,9179
2024-10-18,0.24,0.24,0.24,0.24,3000
2024-10-21,0.24,0.24,0.2376,0.24,12600
2024-10-22,0.24,0.24,0.187879,0.2143,13542
2024-10-23,0.23,0.23,0.23,0.23,1830
2024-10-24,0.24,0.24,0.24,0.24,3100
2024-10-25,0.2376,0.2376,0.2376,0.2376,759
2024-10-28,0.2398,0.2398,0.181,0.181,1600
2024-11-04,0.2267,0.24,0.2,0.2,274753
2024-11-06,0.228125,0.228125,0.1694,0.173,60262
2024-11-07,0.229625,0.229625,0.176,0.19325,7300
2024-11-08,0.177,0.1875,0.1724,0.1875,5627
2024-11-11,0.188,0.188,0.16,0.16,1701
2024-11-13,0.1825,0.19375,0.1825,0.19375,800
2024-11-15,0.1801,0.19075,0.18,0.18,19351
2024-11-19,0.15505,0.15505,0.15505,0.15505,1000
2024-11-20,0.16875,0.16875,0.16875,0.16875,1000
2024-11-21,0.17,0.17,0.17,0.17,308
2024-11-22,0.17,0.185626,0.15,0.15,7227
2024-11-25,0.13,0.13,0.13,0.13,1000
2024-11-26,0.142001,0.165,0.119,0.121,4146
2024-11-29,0.165,0.165,0.165,0.165,3250
2024-12-02,0.1449,0.1449,0.1449,0.1449,2515
2024-12-04,0.1485,0.1485,0.12,0.12,5100
2024-12-06,0.125,0.125,0.12,0.12,6300
2024-12-09,0.15,0.15,0.115,0.1472,44029
2024-12-10,0.15,0.1559,0.13,0.1559,15652
2024-12-11,0.15,0.1553,0.145,0.145,9360
2024-12-12,0.144,0.1456,0.135,0.135,4400
2024-12-13,0.1389,0.1496,0.1389,0.1496,3052
2024-12-16,0.0898,0.1309,0.0425,0.12,30928
2024-12-17,0.15,0.15,0.12,0.15,36748
2024-12-18,0.15,0.19,0.1464,0.1464,20248
2024-12-19,0.1485,0.15,0.1485,0.15,3060
2024-12-20,0.15,0.15,0.1425,0.15,2000
2024-12-23,0.1575,0.2038,0.145,0.1499,24830
2024-12-24,0.15,0.15,0.1469,0.15,5500
2024-12-26,0.15,0.15,0.132499,0.132499,921
2024-12-27,0.15,0.166001,0.13,0.14,92740
2024-12-30,0.1401,0.15,0.135,0.15,28643
2024-12-31,0.161717,0.161717,0.14,0.16,8007
2025-01-02,0.15,0.15,0.149962,0.149976,14800
2025-01-06,0.1625,0.1625,0.155,0.155,2519
2025-01-07,0.145,0.145,0.1429,0.145,2200
2025-01-08,0.1425,0.145,0.1425,0.145,3671
2025-01-10,0.1415,0.1415,0.1415,0.1415,1580
2025-01-13,0.145,0.145,0.138,0.138,9199
2025-01-14,0.139999,0.14,0.139999,0.14,5000
2025-01-15,0.1313,0.1313,0.13,0.13,600
2025-01-21,0.0901,0.1035,0.0901,0.1025,4210
2025-01-22,0.1,0.1,0.1,0.1,9088
2025-01-23,0.1,0.13,0.099,0.1216,118229
2025-01-24,0.1297,0.1297,0.1297,0.1297,372
2025-01-27,0.0888,0.1,0.088,0.1,6400
2025-01-28,0.08,0.08,0.08,0.08,1200
2025-02-05,0.1107,0.1152,0.1,0.1,153028
2025-02-06,0.09,0.09,0.09,0.09,4141
2025-02-10,0.1188,0.12,0.1125,0.1125,2600
2025-02-13,0.090574,0.090574,0.090574,0.090574,1000
2025-02-18,0.101,0.1061,0.093,0.093,6214
2025-02-19,0.0888,0.095,0.075,0.0949,14300
2025-02-20,0.08,0.08,0.08,0.08,115
2025-02-21,0.1035,0.1132,0.1013,0.1132,18205
2025-02-25,0.087501,0.087501,0.087501,0.087501,310
2025-02-26,0.08,0.1,0.0775,0.1,57443
