date,open,high,low,close,volume
2024-03-01,18.78,19.27,18.75,19.27,7219
2024-03-04,19.3,19.43,19.04,19.25,10221
2024-03-05,19.43,19.43,18.7966,19.05,4372
2024-03-06,19.05,19.33,18.8501,19.32,4627
2024-03-07,19.41,19.6408,19.35,19.525,6679
2024-03-08,19.5085,19.64,19.4373,19.59,10704
2024-03-11,19.4,19.995,19.39,19.7,14674
2024-03-12,19.64,19.8999,19.61,19.77,4407
2024-03-13,19.68,20.3,19.68,20.28,13264
2024-03-14,20.3,20.5439,20.11,20.2112,11018
2024-03-15,20.4,20.4,20.1,20.25,8468
2024-03-18,20.15,20.4,20.11,20.4,5409
2024-03-19,21,21,20.6,20.6,10076
2024-03-20,20.7738,20.9598,20.7,20.94,12207
2024-03-21,20.7,20.85,20.54,20.85,13959
2024-03-22,20.72,20.89,20.72,20.72,5739
2024-03-25,20.8,21.2,20.8,20.86,19048
2024-03-26,21.04,21.2,21.04,21.05,13912
2024-03-27,21.22,22.9499,21.22,22.425,79285
2024-03-28,22,22,21.01,21.69,41015
2024-04-01,21.79,21.79,19.9538,20.2046,80083
2024-04-02,20.53,20.53,19.25,19.7,37493
2024-04-03,20.71,20.71,19.82,20.48,27128
2024-04-04,20.5399,20.6,20.0001,20.4,23391
2024-04-05,20.63,21.46,20.3201,20.74,20410
2024-04-08,20.7601,20.98,20.01,20.58,29369
2024-04-09,20.49,20.62,20.35,20.58,1359
2024-04-10,20.13,20.4,19.7813,19.81,17843
2024-04-11,20.14,21.44,20,20.75,19123
2024-04-12,21.4549,21.4549,20.5,21.15,12917
2024-04-15,21.1,21.2844,20,20.17,12157
2024-04-16,20.2,20.5999,19.95,20.0207,12314
2024-04-17,20.25,20.5999,19.5,19.5,26453
2024-04-18,19.795,19.92,19.25,19.455,17765
2024-04-19,19.3601,19.75,19.19,19.33,15974
2024-04-22,19.9999,20,19.365,19.5,9194
2024-04-23,19.65,19.7883,19.3079,19.7883,10195
2024-04-24,19.75,19.9576,19.56,19.9576,1621
2024-04-25,19.75,19.75,19.2525,19.67,4234
2024-04-26,19.7,19.7,19.25,19.5,3775
2024-04-29,19.57,19.7499,19.32,19.68,12939
2024-04-30,19.74,19.74,19.515,19.61,4818
2024-05-01,19.5954,19.64,19.52,19.52,4075
2024-05-02,19.52,19.95,19.52,19.64,8803
2024-05-03,19.75,19.8,19.59,19.75,5580
2024-05-06,19.6975,21.43,19.6975,21.2472,56691
2024-05-07,21.5,22.02,21.17,21.88,29857
2024-05-08,21.91,22.2199,21.5,21.5,14485
2024-05-09,21.73,21.91,21.21,21.5599,14480
2024-05-10,21.4,21.78,21.3191,21.63,10254
2024-05-13,21.665,21.9998,21.665,21.82,9629
2024-05-14,21.832,22.1034,21.82,21.97,8993
2024-05-15,22.11,22.29,22.0752,22.2,12288
2024-05-16,22.15,22.94,22.15,22.57,10435
2024-05-17,22.52,22.9,22.45,22.59,13355
2024-05-20,22.6001,22.8499,22.6001,22.7,16201
2024-05-21,22.56,22.94,22.5,22.9,12666
2024-05-22,22.9,23,22.86,23,22594
2024-05-23,22.99,23.17,22.9101,23.01,12035
2024-05-24,23,23.25,23,23.05,18856
2024-05-28,23.17,23.25,22.72,22.99,12496
2024-05-29,22.95,23.04,22.6305,22.8,7423
2024-05-30,22.905,22.91,22.63,22.68,3131
2024-05-31,22.969,22.97,22.78,22.78,1247
2024-06-03,23,23,22.925,22.9999,10073
2024-06-04,23,23,22.7701,22.99,14010
2024-06-05,23.23,23.49,23.18,23.23,24034
2024-06-06,23.5,23.68,23.47,23.67,7628
2024-06-07,23.75,23.8075,23.55,23.79,3308
2024-06-10,23.63,23.9,23.17,23.17,66071
2024-06-11,23.44,23.6,23.01,23.23,41744
2024-06-12,23.21,23.75,23.21,23.35,7502
2024-06-13,23.595,23.595,23.0101,23.26,13243
2024-06-14,23.22,23.4,23.1,23.12,10559
2024-06-17,23.29,23.708,23.29,23.55,9142
2024-06-18,23.33,23.99,23.33,23.5,12739
2024-06-20,23.5,23.82,23.5,23.67,9436
2024-06-21,23.85,23.85,23.6,23.81,6630
2024-06-24,23.75,24.145,23.75,23.85,20632
2024-06-25,23.88,24.1483,23.8,23.92,14605
2024-06-26,23.96,24.05,23.8,24.04,11353
2024-06-27,24.13,24.35,24.02,24.2,16752
2024-06-28,24.3,24.3481,23.73,23.75,18548
2024-07-01,22.5,24.0199,21.71,22.34,26285
2024-07-02,22.46,22.46,20.0172,21.23,59171
2024-07-03,21.16,22.15,20.98,22.15,19154
2024-07-05,22.15,22.15,20.8501,21,18871
2024-07-08,21,21,18.785,19.06,61970
2024-07-09,19,19.355,17.52,17.76,91644
2024-07-10,17.48,17.655,16.13,16.94,181187
2024-07-11,17.03,18.75,17.01,18.13,79444
2024-07-12,18.75,19.7,18.75,19.653,57951
2024-07-15,20.35,20.4499,19.7545,20.32,25986
2024-07-16,20.45,20.45,19.9,20.09,13185
2024-07-17,20.14,20.15,19.725,19.93,11186
2024-07-18,20.172,20.172,19.13,19.38,19895
2024-07-19,19.83,20.13,19.5,19.87,8539
2024-07-22,20.13,20.13,19.6,19.75,7992
2024-07-23,19.85,19.8579,19.51,19.835,7605
2024-07-24,19.88,19.88,19.42,19.55,14590
2024-07-25,19.87,19.87,19.27,19.49,8059
2024-07-26,19.58,19.83,19.2901,19.5,3876
2024-07-29,19.56,19.79,19.56,19.65,2705
2024-07-30,19.81,20.24,19.8001,20.09,3563
2024-07-31,20.09,20.24,20,20,5054
2024-08-01,20,20.1,19.86,19.86,3383
2024-08-02,19.95,20.15,19.86,19.89,4049
2024-08-05,19.56,19.99,19.5,19.71,7645
2024-08-06,19.8167,20.36,19.81,20.21,6208
2024-08-07,20.67,20.67,20.28,20.51,3732
2024-08-08,20.35,20.9999,20.28,20.44,5933
2024-08-09,20.45,20.4552,20.27,20.425,5632
2024-08-12,20.21,20.3,19.9,19.9,5587
2024-08-13,20.1,20.34,20.1,20.32,4225
2024-08-14,20.16,20.35,20.01,20.35,7698
2024-08-15,20.0398,20.5,20.0398,20.2,8203
2024-08-16,20.5,20.5,20.34,20.5,1727
2024-08-19,20.43,20.89,20.43,20.89,4065
2024-08-20,20.98,21.3399,20.98,21.25,11856
2024-08-21,21.4,21.78,21.31,21.52,18361
2024-08-22,21.99,21.99,21.53,21.8428,14297
2024-08-23,21.83,21.8392,21.5201,21.8392,2842
2024-08-26,21.7,21.9399,21.43,21.81,8812
2024-08-27,21.9099,21.9099,21.4315,21.88,1823
2024-08-28,21.88,22.1,21.4448,21.79,13153
2024-08-29,21.8,21.81,21.54,21.78,1421
2024-08-30,21.57,21.62,21.57,21.62,2024
2024-09-03,22.23,22.23,21.65,21.65,3294
2024-09-04,21.77,21.7853,21.7,21.7853,1056
2024-09-05,21.77,21.78,21.41,21.63,4046
2024-09-06,21.54,21.75,21.54,21.65,4962
2024-09-09,21.75,21.75,21.6,21.6,4032
2024-09-10,21.74,21.74,21.4603,21.49,4717
2024-09-11,21.49,21.69,21.49,21.64,1431
2024-09-12,21.4352,21.7,21.39,21.39,2520
2024-09-13,21.52,21.69,21.4301,21.4301,2897
2024-09-16,21.535,21.94,21.535,21.92,7494
2024-09-17,21.83,22.2,21.55,22.08,6829
2024-09-18,22.0368,22.075,21.5841,21.9809,7847
2024-09-19,22.1499,22.1499,21.63,21.78,8678
2024-09-20,21.8142,21.8906,21.8142,21.8531,1901
2024-09-23,21.9,22.24,21.9,22.16,6481
2024-09-24,22.23,22.25,22,22.21,9630
2024-09-25,22.1999,22.1999,21.74,22.17,7952
2024-09-26,22.17,22.19,21.42,21.5,24724
2024-09-27,21.775,21.87,21.4,21.4,9723
2024-09-30,21.5,21.665,19.8,20.35,44442
2024-10-01,19.7,20.2499,19.17,20.105,34267
2024-10-02,19.99,20.6,19.92,20.42,19523
2024-10-03,20.5,21.3199,20.5,20.5,8471
2024-10-04,21.1424,21.1424,20.75,20.75,6443
2024-10-07,20.74,20.75,20.42,20.75,8973
2024-10-08,20.7,20.9481,20.3,20.74,13354
2024-10-09,20.45,20.85,20.45,20.61,4594
2024-10-10,20.3234,20.56,20.3234,20.38,4576
2024-10-11,20.5001,20.5001,20.5001,20.5001,455
2024-10-14,21.5,21.5,20.56,21,4329
2024-10-15,21.3,21.3,20.895,20.99,4080
2024-10-16,21,21.2002,20.6578,21,4777
2024-10-17,21.3,21.3,20.5,20.99,6968
2024-10-18,21,21.4999,20.5,20.89,8488
2024-10-21,21.49,21.49,20.56,20.64,6698
2024-10-22,21.08,21.08,20.6,20.65,12750
2024-10-23,20.72,20.75,20.6525,20.75,1737
2024-10-24,20.7,21,20.61,20.75,5628
2024-10-25,20.8099,21,20.65,20.83,5622
2024-10-28,20.7,20.9267,20.66,20.9,4708
2024-10-29,20.85,20.9771,20.7,20.7872,3133
2024-10-30,20.87,20.96,20.6501,20.96,3321
2024-10-31,21.03,21.33,20.7925,21.0258,2834
2024-11-01,20.8303,21.5706,20.8303,21.45,10974
2024-11-04,21.125,21.45,21.125,21.2225,2177
2024-11-05,21.2,21.43,21.19,21.215,4821
2024-11-06,21.27,21.5,20.99,21.245,2564
2024-11-07,21.4404,21.498,20.9,21.2,10124
2024-11-08,21.3637,21.451,21.045,21.35,8826
2024-11-11,21.42,21.4499,21.01,21.4,3939
2024-11-12,21.3294,21.35,21.3,21.3,1707
2024-11-13,21.4,21.6,21.19,21.6,9236
2024-11-14,21.5395,21.54,21.12,21.54,3355
2024-11-15,21.8,22.17,21.75,22.17,21070
2024-11-18,22.3,22.3499,22.1,22.34,9751
2024-11-19,22.25,22.49,22.15,22.3655,16741
2024-11-20,22.293,22.4,22.13,22.39,3914
2024-11-21,22.4,22.46,22.2701,22.3443,9960
2024-11-22,22.27,22.46,22.25,22.4599,14570
2024-11-25,22.25,22.3,22.12,22.12,15750
2024-11-26,22.12,22.24,22,22.05,21231
2024-11-27,22.01,22.3907,22,22.22,11856
2024-11-29,22.05,22.2,22,22.11,4296
2024-12-02,22.15,22.1929,22.02,22.16,8808
2024-12-03,22.1,22.2443,22.1,22.2443,7004
2024-12-04,22.2125,22.225,22.15,22.1571,6538
2024-12-05,22.15,22.39,22.14,22.288,5346
2024-12-06,22.27,22.345,22.14,22.14,15875
2024-12-09,22.16,22.275,22.061,22.18,8404
2024-12-10,22.1475,22.18,22.07,22.1,7728
2024-12-11,22.1,22.35,22,22.35,7113
2024-12-12,22.2968,22.35,22.11,22.3454,13825
2024-12-13,22.33,22.35,22.225,22.26,2681
2024-12-16,22.3,22.49,22,22.46,13994
2024-12-17,22.142,22.75,22.1381,22.7,7491
2024-12-18,22.75,23.305,22.75,22.95,7020
2024-12-19,23.04,23.5,23.04,23.4,10656
2024-12-20,23.35,23.5,23.1615,23.345,7124
2024-12-23,23.18,23.63,23.18,23.57,7037
2024-12-24,23.58,23.7176,23.4,23.4,9271
2024-12-26,23.7193,23.7193,23.5,23.62,6197
2024-12-27,23.6063,23.6063,23.46,23.58,5286
2024-12-30,23.61,23.63,23.4696,23.59,8101
2024-12-31,23.1,23.36,22.87,23.05,9466
2025-01-02,23.08,23.11,22.4869,23.03,7550
2025-01-03,23.23,23.248,22.915,23.1499,2797
2025-01-06,23.1,23.12,22.67,22.67,9791
2025-01-07,22.67,23,22.431,22.69,4405
2025-01-08,22.777,22.8878,22.71,22.8878,4348
2025-01-10,22.84,22.84,22.4552,22.62,1733
2025-01-13,22.6303,23.1498,22.6303,22.7752,2729
2025-01-14,23.22,23.45,22.855,23.02,3158
2025-01-15,23.5,23.5,23.1,23.3,3457
2025-01-16,23.3,23.45,23.22,23.22,4193
2025-01-17,23.21,23.3099,22.9901,23.15,10612
2025-01-21,23,23.2,23,23.2,6885
2025-01-22,23.2,23.4,22.9179,23.3499,4185
2025-01-23,23.4,23.4,22.96,23.21,3072
2025-01-24,22.96,23.3592,22.96,23.2292,7436
2025-01-27,23.2,23.3644,23.0133,23.14,4143
2025-01-28,23.14,23.15,22.95,22.9734,9043
2025-01-29,22.9,23.0325,22.5838,22.5838,5964
2025-01-30,22.7441,22.75,22.62,22.7499,2187
2025-01-31,22.6,23.1,22.6,22.9575,4854
2025-02-03,22.85,22.88,22.55,22.75,5213
2025-02-04,22.88,23,22.72,23,5939
2025-02-05,22.9435,23.1828,22.9435,23.1786,1682
2025-02-06,23.05,23.1366,22.9,22.95,8388
2025-02-07,23.04,23.18,22.8893,23,3800
2025-02-10,23,23.2,22.9,22.9,13808
2025-02-11,22.9372,23.28,22.9372,23.1084,8042
2025-02-12,23.11,23.39,23.11,23.25,7748
2025-02-13,23.3,23.3678,23.2001,23.31,5622
2025-02-14,23.4026,23.4734,23.2999,23.3994,4147
2025-02-18,23.48,23.5,23.37,23.45,11977
2025-02-19,23.4498,23.4498,23.37,23.445,10593
2025-02-20,23.35,23.47,23.35,23.4581,2686
2025-02-21,23.5,23.5,23.1238,23.38,6048
2025-02-24,23.2,23.3696,23.2,23.22,1375
2025-02-25,23.35,23.3876,23,23.1,2604
2025-02-26,23.2,23.35,23.2,23.35,5010
2025-02-27,23.4,23.83,23.3001,23.73,14378
2025-02-28,23.75,24,23.75,23.88,11879
