date,open,high,low,close,volume
2024-03-01,11.33,11.59,11.14,11.24,1313585.0
2024-03-04,11.29,11.43,11.02,11.19,819201
2024-03-05,11.18,11.41,10.84,10.88,693012
2024-03-06,11.05,11.09,10.745,10.92,949686
2024-03-07,11.08,11.325,10.98,11.26,761771
2024-03-08,11.4,11.65,11.19,11.36,651781
2024-03-11,11.4,11.76,11.32,11.4,686186
2024-03-12,11.43,11.51,10.73,10.73,970457
2024-03-13,10.73,11.05,10.73,10.95,1064884.0
2024-03-14,10.81,10.9,10.465,10.52,1086181.0
2024-03-15,10.47,10.78,10.43,10.76,1911580.0
2024-03-18,10.9,10.9,10.59,10.68,1111567.0
2024-03-19,10.7,10.835,9.865,10,1349679.0
2024-03-20,9.86,10.28,9.77,10.17,906544
2024-03-21,10.28,10.48,10.07,10.09,847991
2024-03-22,10.09,10.18,9.96,10.05,511002
2024-03-25,9.99,10.11,9.94,10,442588
2024-03-26,10.11,10.21,9.96,9.97,603634
2024-03-27,10.01,10.24,9.78,10.1,995069
2024-03-28,10.16,10.34,10.025,10.13,738256
2024-04-01,10.14,10.29,9.91,10.2,740820
2024-04-02,9.97,9.97,9.6,9.62,1000367.0
2024-04-03,9.47,9.7,9.27,9.69,1158603.0
2024-04-04,9.77,9.88,9.445,9.47,909208
2024-04-05,9.29,9.46,9.2,9.34,529004
2024-04-08,9.4,9.5,9.22,9.49,649675
2024-04-09,9.51,9.905,9.425,9.53,618812
2024-04-10,9.22,9.26,9.0009,9.09,912339
2024-04-11,9.18,9.39,9.01,9.24,745441
2024-04-12,9.2,9.23,8.84,8.97,781830
2024-04-15,8.97,8.985,8.44,8.57,740549
2024-04-16,8.48,8.565,8.34,8.36,655271
2024-04-17,8.45,8.53,8.207,8.25,763856
2024-04-18,8.22,8.31,7.94,7.96,860200
2024-04-19,7.95,8.205,7.755,7.95,1071098.0
2024-04-22,8.02,8.4,7.91,8.1,1081820.0
2024-04-23,8.1,8.29,8.07,8.13,765144
2024-04-24,8.1,8.29,8.02,8.04,763843
2024-04-25,7.99,8,7.61,7.63,888191
2024-04-26,7.74,8.275,7.64,8.23,1101728.0
2024-04-29,8.31,8.5,8.25,8.37,627157
2024-04-30,8.36,8.4855,8.2,8.46,1044915.0
2024-05-01,8.45,8.99,8.31,8.74,1651017.0
2024-05-02,8.91,9.2,8.745,9.18,1112652.0
2024-05-03,10.13,10.59,10.02,10.39,1676463.0
2024-05-06,10.46,10.59,10.13,10.22,1209034.0
2024-05-07,10.34,10.46,9.86,9.93,805978
2024-05-08,9.81,9.89,9.49,9.54,996736
2024-05-09,9.61,9.68,9.485,9.56,641759
2024-05-10,9.51,9.72,9.355,9.44,574109
2024-05-13,9.63,9.93,9.57,9.77,668115
2024-05-14,9.94,10.35,9.82,10.08,479208
2024-05-15,10.34,10.39,9.865,10.02,841095
2024-05-16,9.99,10.09,9.84,9.93,414254
2024-05-17,9.94,10.07,9.61,9.73,636792
2024-05-20,9.76,9.91,9.6,9.69,566513
2024-05-21,9.62,10.345,9.6,10.21,878332
2024-05-22,10.17,11.4,10.12,11.37,1618081.0
2024-05-23,11.37,11.51,10.56,10.65,886735
2024-05-24,10.75,10.825,10.505,10.55,476463
2024-05-28,10.6,10.88,10.6,10.73,747743
2024-05-29,10.5,10.555,10.09,10.1,723789
2024-05-30,10.23,10.44,9.95,10.39,918233
2024-05-31,10.41,10.5799,10.19,10.27,941396
2024-06-03,10.57,11.26,10.38,10.63,958413
2024-06-04,10.64,11.27,10.46,10.58,741836
2024-06-05,12.18,13.09,12,12.66,3478526.0
2024-06-06,12.89,12.89,11.9,11.98,1697938.0
2024-06-07,11.76,11.83,11.015,11.23,2225463.0
2024-06-10,10.91,11.22,10.49,11.21,1128138.0
2024-06-11,11.12,11.12,10.61,10.625,1397091.0
2024-06-12,11.02,11.23,10.34,10.48,1429615.0
2024-06-13,10.44,10.44,10.08,10.36,1202538.0
2024-06-14,10.13,10.27,9.62,9.75,1362041.0
2024-06-17,9.69,9.75,9,9.18,2523657.0
2024-06-18,9.1,9.15,8.91,8.95,999253
2024-06-20,8.93,9.07,8.68,8.95,1114481.0
2024-06-21,8.97,9.1765,8.82,9.14,6596037.0
2024-06-24,9.18,9.39,8.95,9.16,1172935.0
2024-06-25,9.13,9.27,8.961,9.22,1046138.0
2024-06-26,9.34,9.4125,9.01,9.1,1337723.0
2024-06-27,9.05,9.135,8.835,8.87,806179
2024-06-28,8.92,8.97,8.76,8.9,2292067.0
2024-07-01,8.81,9.14,8.81,9.1,571660
2024-07-02,9.08,9.09,8.76,8.85,969314
2024-07-03,8.92,9.03,8.74,8.76,294995
2024-07-05,8.76,8.76,8.4,8.53,608861
2024-07-08,8.6,8.6,8.26,8.43,945578
2024-07-09,8.44,8.51,8.25,8.37,835263
2024-07-10,8.39,8.42,8.25,8.37,859314
2024-07-11,8.65,9.36,8.52,9.16,1296007.0
2024-07-12,9.33,9.64,9.205,9.37,1109341.0
2024-07-15,9.4,9.65,9.31,9.57,726597
2024-07-16,9.72,10.25,9.66,10.23,1190768.0
2024-07-17,10.1,10.56,9.9824,10.27,1033711.0
2024-07-18,10.2,10.41,10.0641,10.22,1163669.0
2024-07-19,10.22,10.43,9.98,10.03,843926
2024-07-22,10.14,10.33,9.71,10.15,679081
2024-07-23,10.1,10.33,9.92,10.2,586435
2024-07-24,10.06,10.468,10.03,10.1,671855
2024-07-25,10.17,10.88,10.09,10.66,748756
2024-07-26,10.9,11,10.58,10.7,598065
2024-07-29,10.73,10.845,10.38,10.5,657783
2024-07-30,10.52,10.61,10.025,10.14,686605
2024-07-31,10.18,10.55,9.89,10.16,725956
2024-08-01,10,10.095,9.61,9.73,1142612.0
2024-08-02,9.38,9.44,9.02,9.21,1124634.0
2024-08-05,8.51,8.79,8.4175,8.65,1044993.0
2024-08-06,8.75,8.8899,8.47,8.6,904198
2024-08-07,8.83,8.83,8.26,8.31,983276
2024-08-08,8.3,8.66,8.22,8.62,706403
2024-08-09,8.61,8.82,8.5,8.71,962326
2024-08-12,8.72,8.75,8.42,8.47,974664
2024-08-13,8.55,8.62,8.4,8.5,619538
2024-08-14,8.53,8.615,8.255,8.4,538785
2024-08-15,8.67,8.81,8.54,8.66,727079
2024-08-16,8.6,8.7,8.47,8.62,537638
2024-08-19,8.56,8.78,8.53,8.77,643204
2024-08-20,8.83,8.8848,8.61,8.81,462217
2024-08-21,8.9,8.97,8.45,8.67,633013
2024-08-22,8.64,8.7,8.31,8.32,680997
2024-08-23,8.35,8.77,8.35,8.77,742545
2024-08-26,8.82,8.8446,8.54,8.62,488844
2024-08-27,8.54,8.71,8.26,8.35,412715
2024-08-28,8.27,8.39,8.13,8.27,386318
2024-08-29,8.42,8.58,8.19,8.3,500368
2024-08-30,8.3,8.44,8.16,8.26,548137
2024-09-03,8.15,8.35,7.77,7.78,665844
2024-09-04,7.78,7.8,7.59,7.6,536679
2024-09-05,7.65,7.76,7.52,7.65,596296
2024-09-06,7.65,7.815,7.6014,7.76,737178
2024-09-09,7.71,7.98,7.41,7.82,1103094.0
2024-09-10,7.99,8.065,7.79,7.98,768327
2024-09-11,7.92,7.93,7.73,7.83,524221
2024-09-12,7.83,7.915,7.58,7.86,846461
2024-09-13,7.92,8.16,7.92,8.11,669242
2024-09-16,8.17,8.17,7.85,7.87,1119482.0
2024-09-17,7.97,8.15,7.8701,7.93,621008
2024-09-18,7.94,8.13,7.79,7.8,834749
2024-09-19,8.02,8.14,7.83,7.94,584898
2024-09-20,7.91,7.91,7.76,7.76,1902644.0
2024-09-23,7.79,7.835,7.54,7.6,703887
2024-09-24,7.62,7.64,7.42,7.54,743773
2024-09-25,7.49,7.575,7.225,7.26,756019
2024-09-26,7.34,7.38,7.205,7.3,620487
2024-09-27,7.42,7.61,7.4,7.53,1617011.0
2024-09-30,7.45,7.77,7.41,7.49,550300
2024-10-01,7.44,7.57,7.12,7.56,1077962.0
2024-10-02,7.52,7.79,7.33,7.68,689210
2024-10-03,7.59,7.66,7.315,7.33,653752
2024-10-04,7.44,7.76,7.385,7.74,829020
