date,open,high,low,close,volume
2024-03-01,20.6,20.89,20.34,20.61,30576
2024-03-04,20.675,20.675,19.8,19.8,48688
2024-03-05,20.15,20.93,20.15,20.69,53054
2024-03-06,20.7399,20.75,19.3,19.67,81509
2024-03-07,19.9,20.465,19.9,20.265,21386
2024-03-08,20.44,20.6428,20.225,20.28,27975
2024-03-11,20.41,20.5299,20.2,20.2,19029
2024-03-12,20.23,20.83,20.15,20.75,14615
2024-03-13,20.39,20.84,20.39,20.76,28623
2024-03-14,20.65,20.8,20.5,20.65,53150
2024-03-15,20.7,21.16,20.569,21.16,14683
2024-03-18,21.13,21.2,20.91,20.91,15605
2024-03-19,21.1006,21.11,20.8,20.97,29205
2024-03-20,21.06,21.78,21,21.6606,34531
2024-03-21,21.7,22.21,21.68,22.04,44224
2024-03-22,22.15,22.39,21.82,22.2,37291
2024-03-25,22.0001,22.23,21.68,21.9,19030
2024-03-26,21.78,22.33,21.75,22.16,25790
2024-03-27,22.27,22.27,21.58,21.75,32288
2024-03-28,21.9115,22.24,21.9,22.24,69381
2024-04-01,22.22,22.4199,21.99,22.3,24324
2024-04-02,22.23,22.46,21.9043,22.26,31977
2024-04-03,22.3299,22.43,22.23,22.43,6613
2024-04-04,22.475,22.495,22.29,22.31,21181
2024-04-05,22.31,22.39,21.96,22.13,15949
2024-04-08,22.16,22.455,22.07,22.11,11916
2024-04-09,22.3362,22.41,22.06,22.12,12447
2024-04-10,22.07,22.11,21.56,21.98,62175
2024-04-11,21.97,22.1899,21.56,21.91,27293
2024-04-12,21.9942,21.9942,21.79,21.79,7097
2024-04-15,21.94,22.01,21.47,21.53,38874
2024-04-16,21.51,21.89,21.23,21.52,28642
2024-04-17,21.65,21.73,21.43,21.5,21783
2024-04-18,21.52,21.79,21.4,21.65,26214
2024-04-19,21.86,21.88,21.5301,21.68,40395
2024-04-22,21.635,21.88,21.6,21.84,11185
2024-04-23,21.85,22.04,21.5001,21.98,7645
2024-04-24,21.96,22.0299,21.71,21.78,8677
2024-04-25,21.72,22.0194,21.486,21.83,22584
2024-04-26,21.83,21.88,21.65,21.65,9566
2024-04-29,21.8,21.93,21.76,21.86,21114
2024-04-30,21.8,21.975,21.71,21.93,18472
2024-05-01,21.9,22.35,21.9,22.09,23163
2024-05-02,22.09,22.25,22,22.08,9229
2024-05-03,22.31,22.5,22.21,22.37,5437
2024-05-06,22.22,22.74,22.22,22.56,11869
2024-05-07,22.5015,22.74,22.5015,22.65,6871
2024-05-08,22.55,22.6,22.35,22.53,6553
2024-05-09,22.58,22.68,22.4155,22.54,5734
2024-05-10,22.605,22.635,22.4301,22.53,7275
2024-05-13,22.5,22.75,22.5,22.66,6429
2024-05-14,22.6,22.895,22.595,22.895,7334
2024-05-15,22.845,23.3,22.84,23.02,20070
2024-05-16,23.02,23.1,22.75,22.88,27495
2024-05-17,22.8,22.8,22.45,22.54,16598
2024-05-20,22.72,22.94,22.67,22.67,2179
2024-05-21,22.61,22.91,22.61,22.8,9007
2024-05-22,22.848,22.848,22.65,22.65,2504
2024-05-23,22.63,22.63,22.04,22.04,12190
2024-05-24,22.21,22.71,22.21,22.36,2098
2024-05-28,22.55,22.82,22.15,22.15,7457
2024-05-29,22.05,22.11,21.74,22.02,8711
2024-05-30,22.03,22.36,22.03,22.36,5805
2024-05-31,22.2803,22.755,22.13,22.69,12998
2024-06-03,22.375,22.5899,22.36,22.36,10074
2024-06-04,22.55,22.9,22.52,22.6,26831
2024-06-05,22.51,22.86,22.51,22.81,32444
2024-06-06,22.69,22.75,22.56,22.75,7898
2024-06-07,22.64,22.73,22.41,22.47,13524
2024-06-10,22.46,22.5,22.29,22.41,13005
2024-06-11,22.32,22.43,22.01,22.31,26339
2024-06-12,22.41,23.3199,22.31,22.35,32787
2024-06-13,22.01,22.27,21.72,21.89,55626
2024-06-14,21.87,21.87,21.64,21.8,16504
2024-06-17,21.86,21.97,21.85,21.9,5780
2024-06-18,21.9,22.25,21.9,22.23,7873
2024-06-20,22.23,22.58,22.23,22.5,14155
2024-06-21,22.29,22.48,22.08,22.23,4379
2024-06-24,22.4,22.48,22.3,22.48,5242
2024-06-25,22.5,22.56,22.3,22.485,4924
2024-06-26,22.5,22.5,22.14,22.14,11279
2024-06-27,22.305,22.385,22.11,22.25,19316
2024-06-28,22.2,22.405,21.16,21.38,183417
2024-07-01,21.57,22.2099,21.2529,21.35,14108
2024-07-02,21.46,21.7499,21.24,21.58,10481
2024-07-03,21.56,21.74,21.55,21.72,9060
2024-07-05,21.74,22.235,21.74,21.96,17519
2024-07-08,22.01,22.24,21.8024,21.89,16250
2024-07-09,21.81,21.81,21.28,21.47,32667
2024-07-10,21.48,21.52,21.03,21.3,41751
2024-07-11,21.4,22.39,21.4,22.07,63987
2024-07-12,21.96,22.39,21.95,22.15,36242
2024-07-15,22.07,22.09,21.79,21.96,13045
2024-07-16,22.14,22.33,21.9752,22.165,22308
2024-07-17,22.25,22.25,21.84,22.1,15916
2024-07-18,22.09,22.09,21.63,21.95,17981
2024-07-19,21.9,22.31,21.75,21.88,27017
2024-07-22,22.0162,22.03,21.7,21.94,50834
2024-07-23,21.96,22.1,21.95,22.1,13095
2024-07-24,22.1,22.1,21.95,22,55036
2024-07-25,21.82,22.13,21.82,21.95,24690
2024-07-26,21.95,22.2499,21.9,22.1,28200
2024-07-29,22,22.38,21.82,22.09,71467
2024-07-30,22.13,22.13,21.4201,21.68,44840
2024-07-31,21.74,22.47,21.61,22.44,52685
2024-08-01,22.39,22.8,22.3001,22.77,16818
2024-08-02,22.65,22.91,22.5434,22.91,15454
2024-08-05,22.1,22.74,22.1,22.69,13150
2024-08-06,22.89,22.92,22.72,22.91,10964
2024-08-07,22.96,22.96,22.7,22.89,15369
2024-08-08,22.9,23.11,22.8,23.11,5756
2024-08-09,23.105,23.145,23.1,23.1001,3621
2024-08-12,23.24,23.24,22.82,23.09,5716
2024-08-13,23.15,23.56,23.15,23.271,12564
2024-08-14,23.42,23.7599,23.225,23.625,29428
2024-08-15,23.35,23.83,23.35,23.78,12680
2024-08-16,23.7,23.91,23.7,23.84,17321
2024-08-19,23.8,23.92,23.78,23.8,14724
2024-08-20,23.77,23.92,23.63,23.635,13807
2024-08-21,23.7026,23.85,23.28,23.29,26501
2024-08-22,23.52,23.59,23.06,23.21,15514
2024-08-23,23.36,23.79,23.36,23.65,25673
2024-08-26,23.74,23.85,23.5617,23.84,10021
2024-08-27,23.83,24.09,23.75,24.07,15594
2024-08-28,24.12,24.12,23.75,23.79,18344
2024-08-29,23.93,23.93,23.8,23.8,13109
2024-08-30,23.8,23.965,23.67,23.71,17787
2024-09-03,23.8,23.855,23.5,23.71,11256
2024-09-04,23.74,24.1056,23.71,23.77,21120
2024-09-05,23.82,23.82,23.64,23.66,6208
2024-09-06,23.74,23.945,23.73,23.85,6032
2024-09-09,23.915,23.915,23.86,23.8601,1184
2024-09-10,23.98,24.25,23.97,24.2,17578
2024-09-11,24.0001,24.358,24,24.21,21258
2024-09-12,24.2499,24.8,24.0701,24.65,13912
2024-09-13,24.42,24.58,24.26,24.365,14875
2024-09-16,24.42,24.48,24.15,24.41,14487
2024-09-17,24.48,24.48,24.29,24.48,9241
2024-09-18,24.51,24.7,24.35,24.58,6785
2024-09-19,24.4,24.77,24.4,24.6301,5719
2024-09-20,24.8,24.8,24.5658,24.64,15263
2024-09-23,24.51,24.51,24.475,24.5,10545
2024-09-24,24.6,25.2,24.5,25.08,21863
2024-09-25,25.11,25.11,24.7087,24.71,10086
2024-09-26,24.78,24.78,24.58,24.72,5708
2024-09-27,24.8,24.83,24.79,24.83,3018
2024-09-30,24.95,25.0699,24.53,24.57,15171
2024-10-01,24.69,24.7,24.62,24.7,6113
2024-10-02,24.81,24.81,24.67,24.7,2391
2024-10-03,24.68,24.85,24.5,24.79,13081
2024-10-04,24.6,24.66,24.52,24.64,7665
2024-10-07,24.605,24.64,24.5,24.5,10516
2024-10-08,24.6,24.61,24.5,24.57,7232
2024-10-09,24.5301,24.76,24.52,24.76,6112
2024-10-10,24.69,24.7,24.62,24.62,1953
2024-10-11,24.68,25.11,24.64,25.0782,11074
2024-10-14,25.09,25.1099,24.9601,25.09,10674
2024-10-15,24.975,25,24.9399,24.94,8437
2024-10-16,25.02,25.13,24.96,25,7887
2024-10-17,25.02,25.02,24.89,24.99,14008
2024-10-18,24.98,25.04,24.98,25.01,3011
2024-10-21,24.93,25.15,24.93,25.01,9705
2024-10-22,25.13,25.13,24.81,24.91,14170
2024-10-23,24.89,24.89,24.6,24.6,3698
2024-10-24,24.6,24.6,24.46,24.47,3796
2024-10-25,24.5,24.9,24.47,24.47,5187
2024-10-28,24.77,24.98,24.5,24.87,9424
2024-10-29,24.8799,24.88,24.49,24.52,6939
2024-10-30,24.66,24.8499,24.5001,24.7899,2535
2024-10-31,24.72,24.75,24.37,24.37,41723
2024-11-01,24.67,24.77,24.45,24.4938,4262
2024-11-04,24.7699,24.77,24.5213,24.77,2883
2024-11-05,24.7,24.75,24.54,24.69,4447
2024-11-06,24.79,24.79,24.35,24.55,18185
2024-11-07,24.683,24.6999,24.54,24.59,4066
2024-11-08,24.48,24.87,24.48,24.87,15485
2024-11-11,24.75,24.81,24.74,24.75,4621
2024-11-12,24.795,24.84,24.75,24.84,4105
2024-11-13,24.87,24.87,24.5037,24.75,4933
2024-11-14,24.87,25.1,24.813,24.9,3772
2024-11-15,24.62,25.02,24.62,24.84,9264
2024-11-18,24.8,24.885,24.8,24.82,4594
2024-11-19,24.8,24.9499,24.8,24.82,5277
2024-11-20,24.8928,24.8928,24.8,24.8,4770
2024-11-21,24.8185,24.98,24.8185,24.85,2706
2024-11-22,24.91,24.99,24.8901,24.99,945
2024-11-25,24.91,25.07,24.8,24.88,2417
2024-11-26,24.8501,24.96,24.7501,24.96,1585
2024-11-27,24.87,24.996,24.87,24.99,3905
2024-11-29,25.04,25.18,24.8,25.18,6735
2024-12-02,25,25.1799,25,25.16,1152
2024-12-03,25.06,25.0799,24.81,24.92,17282
2024-12-04,24.9,25.14,24.9,25.14,2351
2024-12-05,24.99,25,24.99,25,902
2024-12-06,25,25,24.99,24.99,747
2024-12-09,24.9,25.18,24.9,25.18,7284
2024-12-10,25.12,25.12,24.985,25.0357,1849
2024-12-11,25.05,25.05,24.94,25.0005,4091
2024-12-12,25.105,25.15,25.07,25.1,398427
2024-12-13,24.77,25.08,24.76,25.08,38677
2024-12-16,25.02,25.02,24.91,25.01,8345
2024-12-17,25.01,25.13,25.01,25.0453,3597
2024-12-18,25.05,25.155,25.05,25.071,28371
2024-12-19,25,25.1699,24.77,24.77,8055
2024-12-20,24.78,25.0899,24.78,25,1757
2024-12-23,25,25.036,25,25,2938
