date,open,high,low,close,volume
2024-03-01,4.83,5.13,4.68,5.01,3320469.0
2024-03-04,5.08,5.22,4.88,5,3250031.0
2024-03-05,4.93,5.46,4.62,4.7,7339899.0
2024-03-06,4.76,4.81,4.465,4.64,5126705.0
2024-03-07,4.73,5.25,4.69,5.11,4152375.0
2024-03-08,5.18,5.32,4.93,4.95,3786375.0
2024-03-11,5,5.365,4.96,5.34,5830975.0
2024-03-12,5.46,5.53,5.29,5.47,5730527.0
2024-03-13,5.47,5.47,5.21,5.41,3245795.0
2024-03-14,5.38,5.45,5.28,5.35,2770179.0
2024-03-15,5.27,5.48,5.27,5.38,3981510.0
2024-03-18,5.38,5.77,5.34,5.58,5614717.0
2024-03-19,5.62,5.65,5.44,5.58,3370029.0
2024-03-20,5.58,5.72,5.37,5.64,4575008.0
2024-03-21,5.7,5.77,5.59,5.66,3926810.0
2024-03-22,5.61,5.61,5.42,5.43,5502382.0
2024-03-25,5.342,5.56,3.71,3.95,24479414.0
2024-03-26,4,4.17,3.65,3.89,14111916.0
2024-03-27,3.92,4.2,3.89,4.19,9576149.0
2024-03-28,4.2,4.35,3.99,4.09,4937381.0
2024-04-01,4.11,4.11,3.99,4,2750541.0
2024-04-02,3.95,4.03,3.88,3.89,2785539.0
2024-04-03,3.86,3.92,3.76,3.81,3111031.0
2024-04-04,3.85,3.94,3.8,3.8,2601208.0
2024-04-05,3.81,3.83,3.735,3.76,2925331.0
2024-04-08,3.79,3.84,3.69,3.7,1953609.0
2024-04-09,3.72,4.09,3.69,3.82,5950265.0
2024-04-10,3.73,3.81,3.65,3.66,3047637.0
2024-04-11,3.71,3.84,3.66,3.7,1248745.0
2024-04-12,3.66,3.68,3.6,3.61,1684401.0
2024-04-15,3.63,3.69,3.52,3.52,1986333.0
2024-04-16,3.54,3.68,3.4592,3.6,2705121.0
2024-04-17,3.61,3.65,3.51,3.52,1713410.0
2024-04-18,3.52,3.65,3.52,3.55,1369420.0
2024-04-19,3.51,3.58,3.49,3.53,1691281.0
2024-04-22,3.53,3.564,3.46,3.5,1484872.0
2024-04-23,3.51,3.6,3.44,3.51,2243089.0
2024-04-24,3.53,3.59,3.5,3.525,1360912.0
2024-04-25,3.49,3.52,3.43,3.5,1360040.0
2024-04-26,3.53,3.69,3.52,3.69,1402417.0
2024-04-29,3.67,3.755,3.63,3.66,1921587.0
2024-04-30,3.66,3.715,3.57,3.59,1779587.0
2024-05-01,3.6,3.75,3.58,3.63,1360820.0
2024-05-02,3.66,3.73,3.6,3.65,1130386.0
2024-05-03,3.72,3.82,3.635,3.67,1179986.0
2024-05-06,3.7,3.8275,3.65,3.8,1664031.0
2024-05-07,4,4.28,3.82,3.92,3029436.0
2024-05-08,3.87,3.99,3.84,3.94,1235156.0
2024-05-09,4,4.13,3.9,3.94,1237491.0
2024-05-10,3.93,3.968,3.8,3.82,1967021.0
2024-05-13,3.87,4.05,3.858,4.05,1418638.0
2024-05-14,4.07,4.12,3.98,4,1463578.0
2024-05-15,4.02,4.05,3.925,3.99,814444
2024-05-16,3.98,4.08,3.98,4.05,1069616.0
2024-05-17,4.07,4.085,4.01,4.05,1536135.0
2024-05-20,4.04,4.06,3.98,4,605328
2024-05-21,3.98,3.995,3.93,3.96,888888
2024-05-22,3.93,3.97,3.87,3.93,990676
2024-05-23,3.95,3.97,3.81,3.84,1362401.0
2024-05-24,3.86,3.86,3.77,3.8,1008793.0
2024-05-28,3.79,3.87,3.77,3.83,1227434.0
2024-05-29,3.79,3.95,3.79,3.91,1300742.0
2024-05-30,3.9,3.96,3.835,3.84,1327222.0
2024-05-31,3.85,3.915,3.8,3.88,1323344.0
2024-06-03,3.94,3.96,3.85,3.86,879884
2024-06-04,3.86,3.93,3.8,3.8,1571844.0
2024-06-05,3.83,3.88,3.785,3.85,966509
2024-06-06,3.85,3.92,3.8325,3.87,844003
2024-06-07,3.83,3.88,3.83,3.83,1578286.0
2024-06-10,3.79,4.09,3.79,4.03,3182905.0
2024-06-11,4,4.05,3.89,4,1466237.0
