date,open,high,low,close,volume
2024-03-01,4.47,4.715,4.47,4.61,1135956.0
2024-03-04,4.67,4.67,4.215,4.27,1533102.0
2024-03-05,4.21,4.36,4.12,4.14,854663
2024-03-06,4.09,4.09,3.91,3.91,1544482.0
2024-03-07,3.93,3.97,3.81,3.82,971250
2024-03-08,3.89,3.97,3.845,3.87,1159982.0
2024-03-11,3.92,4.07,3.91,4.005,798481
2024-03-12,3.99,4.01,3.88,3.88,604607
2024-03-13,3.91,3.97,3.82,3.84,757021
2024-03-14,3.86,3.88,3.79,3.8,717470
2024-03-15,3.79,3.88,3.77,3.81,1116382.0
2024-03-18,3.82,3.838,3.72,3.75,842372
2024-03-19,3.75,3.83,3.715,3.76,606433
2024-03-20,3.77,3.85,3.71,3.8,613734
2024-03-21,3.85,3.97,3.79,3.91,883248
2024-03-22,3.98,3.98,3.85,3.89,514541
2024-03-25,3.88,3.98,3.855,3.87,593607
2024-03-26,3.92,3.98,3.86,3.86,604360
2024-03-27,3.89,3.92,3.86,3.89,799666
2024-03-28,3.92,4.19,3.91,4.11,1372202.0
2024-04-01,4.23,4.24,4.085,4.12,735827
2024-04-02,4.02,4.0201,3.87,3.91,2122933.0
2024-04-03,4.65,6.03,4.37,5.05,50710619.0
2024-04-04,5.14,5.44,4.84,4.92,6158464.0
2024-04-05,4.97,4.99,4.79,4.82,1669599.0
2024-04-08,4.83,4.83,4.49,4.51,1690131.0
2024-04-09,4.49,4.68,4.34,4.36,1795024.0
2024-04-10,4.3,4.37,4.14,4.28,1158986.0
2024-04-11,4.3,4.32,4.18,4.28,766830
2024-04-12,4.27,4.3,4.08,4.12,762864
2024-04-15,4.12,4.16,4.01,4.06,778790
2024-04-16,4.02,4.08,3.985,4.05,785746
2024-04-17,5.42,5.67,4.99,5.24,24032978.0
2024-04-18,5.16,5.245,4.89,4.97,3844040.0
2024-04-19,4.94,5.3,4.93,5.11,2432359.0
2024-04-22,5.1,5.12,4.785,4.8,2054060.0
2024-04-23,4.76,4.87,4.62,4.63,1368601.0
2024-04-24,4.63,4.67,4.5508,4.56,1456848.0
2024-04-25,4.55,4.57,4.43,4.48,912832
2024-04-26,4.5,4.625,4.45,4.62,820468
2024-04-29,4.68,4.8499,4.6615,4.82,820153
2024-04-30,4.78,4.815,4.7099,4.76,688657
2024-05-01,4.76,4.9,4.62,4.77,1747380.0
2024-05-02,4.8,4.84,4.665,4.68,843279
2024-05-03,4.71,4.91,4.7001,4.88,679196
2024-05-06,5,5.0319,4.79,4.84,1288345.0
2024-05-07,5.2,5.95,5.17,5.48,4714297.0
2024-05-08,5.52,5.64,5.305,5.36,2033327.0
2024-05-09,5.15,5.38,4.94,5.01,1964208.0
2024-05-10,5,5.08,4.87,5.04,1382049.0
2024-05-13,5.05,5.14,4.9599,5.05,832881
2024-05-14,5.06,5.16,5.035,5.13,773988
2024-05-15,5.16,5.39,5.16,5.36,906562
2024-05-16,5.36,5.62,5.33,5.58,1089350.0
2024-05-17,5.53,5.69,5.47,5.48,785479
2024-05-20,5.41,5.475,5.26,5.27,685413
2024-05-21,5.25,5.2899,5.08,5.11,768928
2024-05-22,5.07,5.19,5.05,5.14,694867
2024-05-23,5.13,5.13,4.8801,4.91,836784
2024-05-24,4.95,5.23,4.91,5.23,895291
2024-05-28,5.22,5.22,4.86,4.98,1077094.0
2024-05-29,4.93,5.025,4.88,4.92,667267
2024-05-30,4.95,5.04,4.88,5.01,445070
2024-05-31,5.05,5.19,5.05,5.11,761674
2024-06-03,5.17,5.3,5.09,5.12,627698
2024-06-04,5.15,5.19,4.96,5.03,930834
2024-06-05,5.03,5.09,4.92,5.05,507376
2024-06-06,6.47,6.5587,6.1285,6.27,9800301.0
2024-06-07,6.27,6.43,6.09,6.12,2011200.0
2024-06-10,6.05,6.16,5.88,5.98,851920
2024-06-11,5.9,6.005,5.81,5.99,766124
2024-06-12,6,6.13,5.85,5.92,746077
