date,open,high,low,close,volume
2024-03-01,0.0291,0.039,0.0291,0.039,3956
2024-03-08,0.038599,0.038599,0.038599,0.038599,102
2024-03-11,0.025,0.025,0.025,0.025,540
2024-03-13,0.035,0.0351,0.035,0.0351,300
2024-03-14,0.036,0.036,0.036,0.036,100
2024-03-15,0.0365,0.0381,0.0365,0.0366,14852
2024-03-18,0.036,0.04,0.036,0.04,16571
2024-03-20,0.0479,0.0479,0.0479,0.0479,1500
2024-03-22,0.05,0.05,0.05,0.05,8000
2024-03-27,0.05,0.05,0.05,0.05,4555
2024-04-02,0.05,0.05,0.0405,0.05,46625
2024-04-03,0.05,0.0607,0.05,0.05,38427
2024-04-04,0.05,0.050048,0.0475,0.0475,17596
2024-04-05,0.035195,0.035195,0.035195,0.035195,1050
2024-04-09,0.035,0.0351,0.035,0.0351,4140
2024-04-12,0.035,0.035,0.035,0.035,1000
2024-04-18,0.035,0.035,0.035,0.035,15000
2024-04-23,0.0215,0.0215,0.0215,0.0215,100
2024-04-29,0.05,0.05,0.035,0.035,5800
2024-04-30,0.05,0.08,0.0499,0.08,27133
2024-05-01,0.07,0.08,0.04,0.06,8970
2024-05-07,0.0749,0.0749,0.065,0.065,10348
2024-05-09,0.0798,0.0798,0.0651,0.0651,1300
2024-05-10,0.065,0.065,0.065,0.065,500
2024-05-14,0.065,0.078,0.061749,0.078,741
2024-05-20,0.0798,0.0798,0.0797,0.0797,357
2024-05-22,0.05,0.05,0.05,0.05,1200
2024-05-24,0.0655,0.0655,0.0655,0.0655,100
2024-05-28,0.0403,0.0403,0.0402,0.0402,776
2024-05-30,0.05,0.055,0.0402,0.05,9600
2024-05-31,0.0798,0.0798,0.0798,0.0798,100
2024-06-03,0.0722,0.0722,0.065,0.071841,793
2024-06-04,0.065,0.065,0.065,0.065,300
2024-06-05,0.069,0.069,0.069,0.069,557
2024-06-07,0.0651,0.0651,0.0651,0.0651,500
2024-06-12,0.0689,0.075,0.0689,0.0701,5134
2024-06-13,0.0701,0.0701,0.049,0.049,6072
2024-06-18,0.0615,0.0615,0.0502,0.05069,3748
2024-06-21,0.0405,0.0437,0.0404,0.0404,3800
2024-06-24,0.05,0.05,0.05,0.05,2500
2024-06-28,0.0749,0.0749,0.0749,0.0749,298
2024-07-05,0.0405,0.0405,0.0404,0.0404,1152
2024-07-10,0.0404,0.0404,0.035,0.0375,2293
2024-07-18,0.0605,0.0605,0.0605,0.0605,397
2024-07-31,0.0404,0.0404,0.0404,0.0404,1080
2024-08-06,0.0402,0.0402,0.0402,0.0402,1000
2024-08-23,0.0605,0.0606,0.0401,0.0606,1397
2024-08-30,0.041,0.048155,0.041,0.048155,202
2024-09-23,0.0404,0.0404,0.04,0.04,2569
2024-09-24,0.05,0.06,0.045726,0.0599,900
2024-09-25,0.0599,0.06,0.0599,0.06,1290
2024-09-26,0.0599,0.060001,0.0599,0.0599,1195
2024-10-01,0.045,0.0451,0.045,0.0451,886
2024-10-02,0.040201,0.040201,0.0401,0.0401,1090
