date,open,high,low,close,volume
2024-03-01,2.25,2.4499,2.19,2.4499,1650
2024-03-04,2.1901,2.1901,2.1901,2.1901,1010
2024-03-05,2.4,2.7,2.19,2.19,3205
2024-03-06,2.7,2.7,2.19,2.41,8368
2024-03-07,2.5001,2.59,2.5001,2.59,704
2024-03-08,2.49,2.9,2.2,2.7006,11066
2024-03-11,2.71,2.99,2.6,2.75,4953
2024-03-12,2.75,2.98,2.5001,2.55,5153
2024-03-13,2.77,2.85,2.5,2.52,5225
2024-03-14,2.96,2.96,2.51,2.51,3930
2024-03-15,3.1,3.1,2.7,2.805,8977
2024-03-18,2.721,3.03,2.5503,3.03,1515
2024-03-19,2.62,2.77,2.5,2.75,3327
2024-03-20,2.655,2.9999,2.38,2.59,10890
2024-03-21,2.75,2.772,2.4201,2.58,4028
2024-03-22,2.52,2.6123,2.3,2.3,1130
2024-03-25,2.32,2.48,2.32,2.48,3495
2024-03-26,2.2966,2.58,2.2847,2.43,2225
2024-03-27,2.31,2.31,2.31,2.31,1461
2024-03-28,2.4498,3.2199,2.3825,3.09,37740
2024-04-01,10.85,11.99,7.15,7.96,19146457.0
2024-04-02,7.45,7.4599,6.11,6.68,487050
2024-04-03,6.18,7.58,6.13,7.2,233383
2024-04-04,7.48,9.1,6.9,6.9,451367
2024-04-05,6.61,7.7699,6.35,7.26,80190
2024-04-08,6.59,6.66,5.9,5.905,43885
2024-04-09,5.99,6.3999,5.42,6.34,22925
2024-04-10,6,6.49,5.75,6.22,32930
2024-04-11,6.47,7.29,5.72,6.09,72896
2024-04-12,6,6.3442,5.41,5.41,18674
2024-04-15,5.43,5.57,4.65,4.7,73206
2024-04-16,4.28,5.07,4,4.1,54007
2024-04-17,4,4,3.6901,3.95,12735
2024-04-18,3.95,3.95,3.58,3.78,9632
2024-04-19,3.56,3.59,3.41,3.41,6691
2024-04-22,3.43,3.485,3.4,3.4,4431
2024-04-23,3.6418,3.66,3.43,3.66,4321
2024-04-24,3.42,3.8199,3.41,3.41,16286
2024-04-25,3.64,4.17,3.64,4,33412
2024-04-26,4.05,4.39,4.05,4.06,23150
2024-04-29,3.78,3.9999,3.65,3.68,5905
2024-04-30,3.71,3.71,3.31,3.4,23568
2024-05-01,3.4,3.66,3.35,3.46,28708
2024-05-02,3.68,3.9,3.44,3.46,101675
2024-05-03,4.06,4.06,3.47,3.52,15240
2024-05-06,3.54,3.6477,3.2,3.2,15833
2024-05-07,3.35,3.78,3.31,3.33,6961
2024-05-08,3.55,3.718,3.44,3.56,10682
2024-05-09,3.63,3.68,3.05,3.37,8152
2024-05-10,3.28,3.28,2.9,3.03,19556
2024-05-13,3.01,3.69,2.86,3.03,29022
2024-05-14,3.2418,3.2418,2.72,2.72,7311
2024-05-15,2.95,2.95,2.83,2.95,12834
2024-05-16,2.95,2.975,2.93,2.95,4300
2024-05-17,2.9499,2.9499,2.88,2.88,1118
2024-05-20,2.81,3.04,2.74,3.04,4409
2024-05-21,2.9,3.01,2.72,2.94,2800
2024-05-22,2.985,2.985,2.89,2.89,1170
2024-05-23,2.89,2.891,2.82,2.82,3652
2024-05-24,2.75,2.77,2.72,2.77,4372
2024-05-28,2.73,2.73,2.7,2.73,1327
2024-05-29,2.77,2.955,2.7,2.72,4604
2024-05-30,2.75,2.75,2.7,2.7,801
2024-05-31,2.63,2.7489,2.63,2.63,1425
2024-06-03,2.7,2.7325,2.5,2.5,2327
2024-06-04,2.63,7.29,2.25,4.49,9982838.0
2024-06-05,3.97,4.25,3.48,3.6,365649
2024-06-06,3.59,3.7,3.1,3.45,181923
2024-06-07,3.14,3.7,2.8725,3.18,80126
2024-06-10,3.02,3.29,2.89,2.98,45367
2024-06-11,2.91,3.12,2.9,2.98,30566
2024-06-12,2.92,3.02,2.7517,2.97,21821
2024-06-13,2.75,2.89,2.61,2.68,13775
2024-06-14,2.56,2.87,2.56,2.77,22484
2024-06-17,2.93,3,2.57,2.88,29390
2024-06-18,2.66,2.9241,2.5834,2.85,7700
2024-06-20,2.74,2.74,2.5,2.65,15326
2024-06-21,2.53,2.54,2.32,2.44,9443
2024-06-24,2.33,2.63,2.2,2.41,36829
2024-06-25,2.35,2.55,2.12,2.26,24307
2024-06-26,2.31,2.55,2.16,2.33,25141
2024-06-27,2.26,2.3704,2.26,2.29,2996
2024-06-28,2.24,2.3354,2.2301,2.28,4313
2024-07-01,2.27,2.28,2.26,2.28,4226
2024-07-02,2.4,2.55,2.28,2.3001,6028
2024-07-03,2.36,2.36,2.25,2.2501,3997
2024-07-05,2.6,2.6,2.2381,2.37,5412
2024-07-08,2.4,2.5373,2.29,2.345,7636
2024-07-09,2.32,2.52,2.32,2.36,6594
2024-07-10,2.41,2.45,2.34,2.34,6396
2024-07-11,2.37,2.87,2.3602,2.8691,87961
2024-07-12,3.18,3.18,2.56,2.68,34469
2024-07-15,2.64,2.8301,2.44,2.575,20116
2024-07-16,2.721,2.721,2.45,2.57,5174
2024-07-17,2.51,2.56,2.45,2.56,4585
2024-07-18,2.6236,2.65,2.5297,2.65,3409
2024-07-19,2.615,2.615,2.55,2.6,1914
2024-07-22,2.55,2.6,2.31,2.33,15414
2024-07-23,2.59,2.65,2.31,2.38,3971
2024-07-24,2.38,2.4018,2.25,2.25,15454
2024-07-25,2.25,2.35,1.95,2.17,11236
2024-07-26,2.29,2.29,1.98,2.2,5475
2024-07-29,2.08,2.57,1.9501,2.35,65668
2024-07-30,2.28,2.34,2.01,2.1014,16208
2024-07-31,2.105,3.03,2.1,2.46,84737
2024-08-01,2.8,2.8,2.42,2.43,10377
2024-08-02,2.3,2.41,2.1291,2.41,22250
2024-08-05,2.1114,2.159,1.9499,1.96,23778
2024-08-06,2.06,2.0701,2.06,2.0701,991
2024-08-07,2.23,2.23,2.02,2.03,3399
2024-08-08,2.02,2.06,1.97,2.01,2370
2024-08-09,1.9789,1.9789,1.9789,1.9789,318
2024-08-12,2.01,2.11,2.01,2.03,3488
2024-08-13,2.05,2.095,2.03,2.06,1983
2024-08-14,2.19,2.19,1.98,1.98,5333
2024-08-15,2.13,2.14,1.91,1.916,11952
2024-08-16,1.95,1.95,1.87,1.9001,3076
2024-08-19,2.1761,2.1761,2,2.05,2772
2024-08-20,2.07,2.07,1.95,1.95,6459
2024-08-21,1.98,2.1,1.91,1.95,22111
2024-08-22,1.964,2.025,1.9,1.9,3824
2024-08-23,1.9986,1.9986,1.42,1.45,91224
2024-08-26,1.52,1.68,1.05,1.17,175360
2024-08-27,1.18,1.23,1.08,1.16,34002
2024-08-28,1.17,1.24,1.09,1.17,24704
2024-08-29,1.18,1.27,1.1741,1.26,17458
2024-08-30,1.2,1.26,1.17,1.22,13943
2024-09-03,1.25,1.25,1.19,1.19,11976
2024-09-04,1.19,1.24,1.175,1.175,6229
2024-09-05,1.17,1.2222,1.1573,1.2,2878
2024-09-06,1.17,1.21,1.15,1.18,9247
2024-09-09,1.176,1.24,1.16,1.18,12862
2024-09-10,1.1506,1.2,1.08,1.09,16383
2024-09-11,1.13,1.18,1.09,1.1188,4803
2024-09-12,1.122,1.1701,1.08,1.095,9537
2024-09-13,1.196,1.21,1.12,1.1899,12272
2024-09-16,1.19,1.2,1.155,1.19,1692
2024-09-17,1.1301,1.2499,1.1301,1.15,7548
2024-09-18,1.2,1.4,1.141,1.2,24296
2024-09-19,1.28,1.28,1.15,1.25,13574
2024-09-20,1.24,1.24,1.13,1.14,22311
2024-09-23,1.18,1.18,1.09,1.16,8846
2024-09-24,1.25,1.25,1.1,1.13,27000
2024-09-25,1.18,1.1899,1.1,1.1255,13925
2024-09-26,1.18,1.2,1.1201,1.1951,21074
2024-09-27,1.18,1.21,1.1301,1.14,22524
2024-09-30,1.1415,1.19,1.1,1.14,8362
2024-10-01,1.1682,1.1682,1.12,1.12,11414
2024-10-02,1.11,1.13,0.8899,1.0729,19504
2024-10-03,1.09,1.1677,1.01,1.05,14012
2024-10-04,1.11,1.11,1.02,1.02,5504
2024-10-07,1.065,1.08,0.9064,0.95,10019
2024-10-08,0.94,1.07,0.9397,1.07,10444
2024-10-09,1.07,1.09,0.9563,0.9566,17698
2024-10-10,1.04,1.0401,0.95,0.968,7201
2024-10-11,0.9775,1.02,0.935,0.9513,3350
2024-10-14,0.94,0.998,0.94,0.976,2872
2024-10-15,0.98,1.02,0.9501,0.9619,2605
2024-10-16,0.99,0.99,0.935,0.935,10462
2024-10-17,0.955,1.02,0.88,0.9999,16074
2024-10-18,0.9614,1.02,0.9028,1,6332
2024-10-21,1.02,1.04,0.9221,1.0096,10049
2024-10-22,1,1.09,0.964,1,25613
2024-10-23,1.03,1.03,0.9681,0.9833,6993
2024-10-24,0.92,0.98,0.833,0.977,24558
2024-10-25,0.9,0.9659,0.8728,0.9,12008
2024-10-28,0.915,0.958,0.89,0.9285,7976
2024-10-29,1.08,1.098,0.9503,1.01,117402
2024-10-30,1.14,2.76,1.01,2.27,57032331.0
2024-10-31,2.06,2.14,1.9,2,1521639.0
2024-11-01,2.35,8,2.01,4.8,68535837.0
2024-11-04,7.58,7.68,5.6,6.75,23217732.0
2024-11-05,5.87,6.61,4.56,5.36,4061214.0
2024-11-06,3.56,4.72,2.84,3.11,2664816.0
2024-11-07,3.29,3.76,2.34,2.45,1496622.0
2024-11-08,2.4,2.7,2.1,2.33,776531
2024-11-11,2.31,2.31,1.74,1.77,736593
2024-11-12,1.7,1.98,1.5,1.52,861783
2024-11-13,1.48,1.86,1.48,1.68,610763
2024-11-14,1.6,1.7099,1.45,1.64,250712
2024-11-15,1.68,2.45,1.5208,1.73,3881362.0
2024-11-18,1.75,1.85,1.61,1.67,430472
2024-11-19,1.59,1.7183,1.55,1.58,176104
2024-11-20,1.64,1.6682,1.51,1.54,181321
2024-11-21,1.55,1.55,1.35,1.45,286186
2024-11-22,1.49,1.9,1.47,1.65,853437
2024-11-25,2.5,2.53,1.94,2.13,44820042.0
2024-11-26,2.08,2.1,1.8,1.87,1322589.0
2024-11-27,2.11,2.178,1.93,2.07,1334817.0
2024-11-29,2.04,2.0518,1.73,1.85,789080
2024-12-02,1.89,2.15,1.88,1.94,690299
2024-12-03,1.91,1.955,1.77,1.77,296006
2024-12-04,1.75,1.85,1.62,1.66,331533
2024-12-05,1.66,1.8,1.66,1.71,203290
2024-12-06,1.73,1.76,1.54,1.59,378077
2024-12-09,1.62,1.68,1.5314,1.58,280784
2024-12-10,1.57,1.6,1.44,1.48,188423
2024-12-11,1.49,1.49,1.3,1.38,272234
2024-12-12,1.41,1.44,1.31,1.335,108772
2024-12-13,1.34,1.38,1.2,1.24,350123
2024-12-16,1.26,1.44,1.2,1.39,204696
2024-12-17,1.36,1.43,1.28,1.3,1015876.0
2024-12-18,2.28,2.3793,1.48,1.61,62953880.0
2024-12-19,1.51,1.55,1.26,1.41,2303740.0
2024-12-20,1.3,1.36,1.26,1.28,1100974.0
2024-12-23,1.31,1.31,1.23,1.26,486545
2024-12-24,1.27,1.27,1.12,1.17,682264
2024-12-26,1.18,1.32,1.179,1.27,1294409.0
2024-12-27,1.21,1.34,1.17,1.17,779919
2024-12-30,1.18,1.2,1.12,1.15,463963
2024-12-31,1.15,1.17,1.07,1.11,616382
2025-01-02,1.14,1.29,1.09,1.21,895103
2025-01-03,1.25,1.3,1.16,1.265,846917
2025-01-06,1.28,1.31,1.19,1.25,615228
2025-01-07,1.24,1.278,1.2,1.215,690528
2025-01-08,1.24,1.24,1.08,1.14,988096
2025-01-10,1.12,1.26,1.12,1.18,1692367.0
2025-01-13,1.17,1.19,1.0701,1.15,764339
2025-01-14,1.14,1.15,1.0971,1.12,242666
2025-01-15,1.11,1.14,1.1071,1.12,227243
2025-01-16,1.12,1.1697,1.11,1.13,314672
2025-01-17,1.13,1.14,1.0701,1.12,246864
2025-01-21,1.11,1.1232,1.07,1.08,175614
2025-01-22,1.07,1.0899,1.03,1.05,198845
2025-01-23,1.04,1.04,1.01,1.02,198843
2025-01-24,1.02,1.03,0.9801,1.01,339817
2025-01-27,1.01,1.03,0.9548,0.99,444480
