date,open,high,low,close,volume
2024-03-01,7.38,8.77,7.34,8.5,6274464.0
2024-03-04,8.57,9.3966,8.06,9,3494450.0
2024-03-05,8.99,9.16,8.2012,8.56,2912135.0
2024-03-06,8.6,8.96,8.38,8.95,1768477.0
2024-03-07,10,10.3646,9.4,10.13,4628161.0
2024-03-08,10.3,11.48,9.72,9.92,4435676.0
2024-03-11,10.225,10.67,6.82,8.04,7735855.0
2024-03-12,8.7,8.75,8.07,8.42,3892446.0
2024-03-13,8.212,8.67,8.14,8.41,1721083.0
2024-03-14,8.29,8.48,7.55,7.75,1569249.0
2024-03-15,7.71,7.9,7.46,7.7,2321131.0
2024-03-18,7.65,8.12,7.27,7.98,1632554.0
2024-03-19,7.86,8.02,7.77,7.9,1026218.0
2024-03-20,7.92,7.9499,7.31,7.5,1126526.0
2024-03-21,7.56,7.65,7.18,7.35,943818
2024-03-22,7.36,7.36,6.65,6.7,1356441.0
2024-03-25,6.7,7.01,6.4,6.54,1061157.0
2024-03-26,6.51,6.6,5.83,5.86,1576554.0
2024-03-27,5.87,6.065,5.69,5.805,1369676.0
2024-03-28,5.82,5.96,5.43,5.5,2204838.0
2024-04-01,5.45,5.88,5.34,5.59,3124050.0
2024-04-02,5.5,5.535,5.03,5.24,1719554.0
2024-04-03,5.26,5.35,5.18,5.18,1191419.0
2024-04-04,5.08,5.35,4.86,4.9,1214940.0
2024-04-05,4.94,5.13,4.68,4.84,833196
2024-04-08,4.82,4.99,4.71,4.72,836059
2024-04-09,4.69,5.2,4.62,5.04,2022858.0
2024-04-10,4.83,4.91,4.59,4.75,1249266.0
2024-04-11,4.83,4.83,4.53,4.6,1292177.0
2024-04-12,4.57,4.68,4.5,4.6,674166
2024-04-15,4.64,4.83,4.595,4.67,627906
2024-04-16,4.62,4.82,4.55,4.76,660737
2024-04-17,4.76,4.7683,4.36,4.38,778302
2024-04-18,4.37,4.48,4.235,4.35,844598
2024-04-19,4.33,4.63,4.26,4.47,903120
2024-04-22,4.5,4.54,4.23,4.3,1097539.0
2024-04-23,4.34,4.42,4.26,4.35,445436
2024-04-24,4.32,4.45,4.22,4.24,594930
2024-04-25,4.15,4.15,3.94,4.06,564542
2024-04-26,4.04,4.08,3.925,3.93,528511
