date,open,high,low,close,volume
2024-03-01,5.55,5.8399,5.4,5.49,71396
2024-03-04,5.39,5.7099,5.15,5.3,85792
2024-03-05,5.42,5.5,4.87,5.04,77653
2024-03-06,5.25,5.35,4.9,5.31,70818
2024-03-07,5.18,5.3,4.94,5.08,32918
2024-03-08,5.01,5.2099,4.78,4.83,70460
2024-03-11,4.92,4.98,4.35,4.765,49952
2024-03-12,4.66,4.89,4.55,4.56,53525
2024-03-13,4.55,4.72,4.45,4.51,46764
2024-03-14,4.41,4.6475,4.21,4.26,76277
2024-03-15,4.3,4.67,4.26,4.5,50290
2024-03-18,4.51,4.77,4.4001,4.47,59357
2024-03-19,4.32,4.63,4.32,4.45,61558
2024-03-20,4.38,4.62,4.38,4.6,31175
2024-03-21,4.6,5.1423,4.6,4.91,89421
2024-03-22,4.89,5.24,4.56,4.94,81611
2024-03-25,4.91,4.91,4.4201,4.55,41451
2024-03-26,4.61,4.7351,4.11,4.47,74633
2024-03-27,4.64,4.7,4.35,4.65,45546
2024-03-28,4.7,4.85,4.3114,4.83,149808
2024-04-01,3.75,3.9899,3.33,3.37,399573
2024-04-02,3.46,3.46,3.2514,3.385,70472
2024-04-03,3.4,3.44,2.94,3.01,164897
2024-04-04,3.03,3.749,2.95,3.14,650094
2024-04-05,2.96,3.1361,2.95,3.01,92580
2024-04-08,3.01,3.096,2.935,3.03,38350
2024-04-09,3.02,3.44,2.47,2.755,5191380.0
2024-04-10,2.68,2.8,2.6,2.68,234567
2024-04-11,2.77,2.7899,2.4,2.74,157538
2024-04-12,2.79,2.79,2.57,2.64,88558
2024-04-15,2.58,2.9,2.45,2.77,236527
2024-04-16,2.71,2.7622,2.52,2.7,74900
2024-04-17,2.7,2.7449,2.55,2.66,30642
2024-04-18,2.79,2.79,2.6,2.66,63390
2024-04-19,2.69,2.7399,2.61,2.72,40328
2024-04-22,2.65,2.73,2.5701,2.64,31046
2024-04-23,2.61,2.7,2.6001,2.65,35668
2024-04-24,2.57,2.72,2.5445,2.57,74510
2024-04-25,2.6,2.6,2.37,2.46,52500
2024-04-26,2.58,2.61,2.48,2.59,67574
2024-04-29,2.53,2.6795,2.44,2.59,36065
2024-04-30,2.56,2.5712,2.37,2.53,52174
2024-05-01,2.53,2.54,2.45,2.534,24925
2024-05-02,2.56,2.6885,2.51,2.63,23392
2024-05-03,2.7001,2.7001,2.56,2.63,14931
2024-05-06,2.57,2.6366,2.37,2.38,105239
2024-05-07,2.38,2.5,2.38,2.43,50024
2024-05-08,2.43,2.48,2.31,2.375,38384
2024-05-09,2.39,2.45,2.17,2.19,128160
2024-05-10,2.21,2.27,2.04,2.125,120500
2024-05-13,2.18,2.2002,1.9601,2.01,133352
2024-05-14,2.04,2.57,2.04,2.49,312434
2024-05-15,2.13,2.2599,2.06,2.18,104203
2024-05-16,2.16,2.3,2.12,2.26,41331
2024-05-17,2.29,2.34,2.23,2.29,28312
2024-05-20,2.23,2.25,2.2,2.24,26828
2024-05-21,2.28,2.28,2.15,2.2,25144
