date,open,high,low,close,volume
2024-03-01,6.66,6.92,6.52,6.77,36610
2024-03-04,6.68,7.88,6.66,7.59,61571
2024-03-05,7.59,7.59,6.9666,7.09,48394
2024-03-06,7.23,7.45,6.6831,7.38,50737
2024-03-07,7.5,7.5,6.8,7.22,41873
2024-03-08,7.44,7.63,6.84,7.19,50484
2024-03-11,7.22,7.3942,6.25,6.6,86502
2024-03-12,6.18,7.2899,6.18,6.83,44345
2024-03-13,6.97,7.07,6.72,6.93,77371
2024-03-14,6.81,7.21,6.08,6.47,86642
2024-03-15,6.18,6.6,6.16,6.47,713357
2024-03-18,6.61,6.91,6.04,6.88,96768
2024-03-19,6.7,7.41,6.62,6.95,56089
2024-03-20,7.06,7.255,6.731,7.11,69478
2024-03-21,6.05,7.46,6.02,7.3,92791
2024-03-22,7.19,7.19,6.37,6.43,61980
2024-03-25,6.43,6.74,6.34,6.46,39019
2024-03-26,6.5933,6.76,6.3401,6.54,33182
2024-03-27,6.61,6.61,6.22,6.4,92601
2024-03-28,6.49,6.7718,6.44,6.5,57338
2024-04-01,6.54,7,6.28,6.48,81880
2024-04-02,6.37,6.95,6.22,6.86,50563
2024-04-03,6.77,7.54,6.67,6.8,75542
2024-04-04,6.86,6.99,6.58,6.72,57238
2024-04-05,6.57,6.65,6.4,6.42,41982
2024-04-08,6.59,6.78,6.36,6.4,59395
2024-04-09,6.5,6.68,6.14,6.29,71888
2024-04-10,6.06,6.42,6.06,6.29,75672
2024-04-11,6.44,7.08,6.16,6.35,77953
2024-04-12,6.26,6.44,6.135,6.27,96167
2024-04-15,6.02,6.21,5.52,5.68,126146
2024-04-16,5.69,5.905,5.43,5.61,86970
2024-04-17,5.695,5.71,5.19,5.39,113207
2024-04-18,5.39,5.53,5.245,5.27,77460
2024-04-19,5.2,5.48,5.19,5.46,132469
2024-04-22,5.5,5.82,5.37,5.52,90927
2024-04-23,5.225,5.47,5.21,5.36,54943
2024-04-24,5.37,5.4296,5.14,5.3,37774
2024-04-25,5.19,5.34,5.0701,5.21,125630
2024-04-26,5.34,5.4,5.04,5.1,49616
2024-04-29,5.12,5.3352,5.01,5.07,64330
2024-04-30,5.07,5.17,4.71,4.87,90074
2024-05-01,4.91,5.125,4.8967,5.05,88597
2024-05-02,5.15,5.27,5,5.09,165724
2024-05-03,5.2,5.46,4.8845,5.06,87278
2024-05-06,5.03,5.1979,4.94,5.03,103883
2024-05-07,5.13,5.16,4.84,4.89,70816
2024-05-08,4.8,4.97,4.6601,4.85,90730
2024-05-09,5.1085,5.1085,4.66,4.78,125901
2024-05-10,4.85,4.86,4.37,4.45,176054
2024-05-13,4.55,4.7643,4.23,4.42,56910
2024-05-14,4.55,4.615,4.27,4.43,47478
2024-05-15,4.49,4.8353,4.49,4.6,69095
2024-05-16,4.54,4.84,4.46,4.54,67121
2024-05-17,4.59,4.6762,4.19,4.35,170924
2024-05-20,4.35,4.4459,4.33,4.35,87159
2024-05-21,4.35,5.2082,4.35,4.91,262974
2024-05-22,4.7,4.785,4.3,4.35,123808
2024-05-23,4.35,4.35,3.715,4.07,199419
2024-05-24,4.06,4.376,4.02,4.18,116382
2024-05-28,4.14,4.25,3.88,4.18,131352
2024-05-29,4.15,4.23,4,4.22,121281
2024-05-30,4.24,4.55,4.1,4.18,41141
2024-05-31,4.21,4.3,4.175,4.26,74208
2024-06-03,4.33,4.55,4.27,4.49,86839
2024-06-04,4.49,4.71,4.31,4.32,176773
2024-06-05,4.36,4.64,4.29,4.4,84516
2024-06-06,4.36,4.505,4.35,4.39,124742
2024-06-07,4.37,4.96,4.37,4.5,126672
2024-06-10,4.49,4.49,4.25,4.28,44792
2024-06-11,4.25,4.47,4.1,4.44,88428
2024-06-12,4.62,4.62,4.26,4.38,61653
2024-06-13,4.38,4.41,4.25,4.37,28604
2024-06-14,4.3,4.31,4.12,4.2,110088
2024-06-17,4.13,4.2,3.94,4.11,39934
2024-06-18,4.06,4.14,3.92,3.94,54854
2024-06-20,3.93,4.1,3.9,4.04,47594
2024-06-21,4.05,4.15,3.95,3.99,227814
2024-06-24,4.01,4.05,3.91,4.04,31867
2024-06-25,4.01,4.03,3.91,3.91,31141
2024-06-26,3.94,4,3.84,3.9,105111
2024-06-27,3.83,3.95,3.8003,3.92,87697
2024-06-28,3.95,3.95,3.535,3.59,490414
2024-07-01,3.64,3.775,3.27,3.35,452364
2024-07-02,3.39,3.49,3.2,3.44,37639
2024-07-03,3.41,3.64,3.405,3.56,32535
2024-07-05,3.49,3.72,3.49,3.5,85638
2024-07-08,3.55,3.67,3.5,3.62,1040409.0
2024-07-09,3.57,3.62,3.44,3.48,32431
2024-07-10,3.5,3.595,3.44,3.5,19219
2024-07-11,3.56,3.74,3.48,3.55,232353
2024-07-12,3.61,3.66,3.4,3.52,189391
2024-07-15,3.54,3.55,3.47,3.49,50467
2024-07-16,3.51,3.62,3.44,3.53,229763
2024-07-17,3.55,3.6,3.44,3.5,84883
2024-07-18,3.47,3.55,3.38,3.4,65810
2024-07-19,3.44,3.44,3.12,3.21,159753
2024-07-22,3.23,3.4299,3.08,3.12,1049663.0
2024-07-23,3.1,3.3099,3.0812,3.24,167728
2024-07-24,3.22,3.33,3.16,3.25,47924
2024-07-25,3.26,3.52,3.24,3.47,55243
2024-07-26,3.54,3.55,3.27,3.36,73175
2024-07-29,3.35,3.35,3.15,3.3,78365
2024-07-30,3.32,3.33,3.15,3.18,36659
2024-07-31,3.17,3.31,3.13,3.14,95637
2024-08-01,3.15,3.32,2.82,2.83,97516
