date,open,high,low,close,volume
2024-03-01,25.002,25.065,24.95,25.04,2974
2024-03-04,25.04,25.1,24.9702,25.0237,3498
2024-03-05,25.01,25.0494,24.97,24.97,3064
2024-03-06,24.97,25.09,24.9,25.05,11783
2024-03-07,24.965,25.025,24.9175,25.025,5740
2024-03-08,25.05,25.05,24.93,25.005,5347
2024-03-11,25.05,25.08,25.0103,25.0485,7564
2024-03-12,25,25.1,25,25.0475,4412
2024-03-13,25.05,25.1,25,25,2398
2024-03-14,25,25.09,25,25.05,2377
2024-03-15,25.045,25.088,25.01,25.0537,3964
2024-03-18,25.05,25.08,25.02,25.05,9303
2024-03-19,25.08,25.34,25.08,25.25,6806
2024-03-21,25.25,25.3499,25.2,25.25,13014
2024-03-22,25.1,25.298,25.1,25.21,3550
2024-03-25,25.2999,25.2999,25.135,25.18,6481
2024-03-26,25.1,25.19,25.03,25.08,8304
2024-03-27,25.18,25.18,25.03,25.178,5249
2024-03-28,25.205,25.3,25.08,25.278,3940
2024-04-01,25.18,25.29,25.1,25.29,5046
2024-04-02,25.18,25.25,25.1,25.25,6418
2024-04-03,25.15,25.23,25.1,25.2135,3207
2024-04-04,25.25,25.28,25.15,25.23,1939
2024-04-05,25.11,25.278,25.0762,25.278,28462
2024-04-08,25.25,25.28,25.1,25.23,5696
2024-04-09,25.11,25.278,25.1,25.278,4727
2024-04-10,25.19,25.27,25.19,25.27,998
2024-04-11,25.26,25.28,25.02,25.1391,27464
2024-04-12,25.24,25.26,25.23,25.26,1965
2024-04-15,25.195,25.255,25.17,25.255,3796
2024-04-16,25.185,25.2,25.08,25.2,5437
2024-04-17,25.2,25.2,25.08,25.1999,1305
2024-04-18,25.15,25.15,25.09,25.115,1346
2024-04-19,25.15,25.15,25.11,25.15,1239
2024-04-22,25.1,25.1,25.0915,25.1,1360
2024-04-23,25.15,25.225,25.1001,25.225,2024
2024-04-24,25.15,25.2,25.04,25.09,50011
2024-04-25,25.14,25.1913,25.14,25.1913,700
2024-04-26,25.15,25.2,25.06,25.2,2680
2024-04-29,25.15,25.18,25.05,25.18,959
2024-04-30,25.155,25.2,25.15,25.1997,2096
2024-05-01,25.19,25.1998,25.0301,25.13,2716
2024-05-02,25.2,25.2,25.06,25.16,4445
2024-05-03,25.13,25.198,25.103,25.19,1658
2024-05-06,25.19,25.2,25.143,25.2,1684
2024-05-07,25.2585,25.45,25.24,25.28,14481
2024-05-08,25.325,25.43,25.26,25.275,4303
2024-05-09,25.21,25.38,25.21,25.31,1763
2024-05-10,25.251,25.38,25.21,25.3299,9305
2024-05-13,25.3,25.3799,25.2999,25.34,3865
2024-05-14,25.34,25.38,25.34,25.38,885
2024-05-15,25.32,25.38,25.29,25.35,3310
2024-05-16,25.38,25.387,25.3,25.3,4188
2024-05-17,25.32,25.32,25.32,25.32,179
2024-05-20,25.3299,25.39,25.305,25.39,1083
2024-05-21,25.31,25.43,25.25,25.43,2888
2024-05-22,25.31,25.43,25.31,25.43,1478
2024-05-23,25.22,25.36,25.22,25.3,6402
2024-05-24,25.44,25.44,25.22,25.365,11927
2024-05-28,25.4,25.45,25.35,25.3975,2298
2024-05-29,25.46,25.49,25.33,25.42,4664
2024-05-30,25.44,25.45,25.38,25.41,3260
2024-05-31,25.2,25.32,25.03,25.08,36688
2024-06-03,25.1,25.4425,25.09,25.09,9877
2024-06-04,25.11,25.1767,25.06,25.06,8766
2024-06-05,25.11,25.15,25.02,25.12,7859
2024-06-06,25.06,25.12,25.05,25.11,2397
2024-06-07,25.06,25.12,25,25.01,5824
2024-06-10,25.08,25.08,25.03,25.07,932
2024-06-11,25.03,25.0999,25,25,7519
2024-06-12,25.06,25.06,25.03,25.03,1273
2024-06-13,25.1,25.135,25.02,25.06,4294
2024-06-14,25.05,25.115,25.05,25.1,3797
2024-06-17,25.06,25.13,25.05,25.1,2233
2024-06-18,25.17,25.17,25.05,25.08,4012
2024-06-20,25.115,25.15,25.06,25.095,3848
2024-06-21,25.07,25.14,25.06,25.1385,6847
2024-06-24,25.07,25.17,25.06,25.155,3243
2024-06-25,25.23,25.23,25.07,25.155,5295
2024-06-26,25.1,25.18,25.07,25.17,5901
2024-06-27,25.15,25.1983,25.14,25.1983,729
2024-06-28,25.2299,25.2299,25.1,25.18,2805
2024-07-01,25.15,25.2,25.1001,25.17,3136
2024-07-02,25.15,25.175,25.1499,25.175,1165
2024-07-03,25.23,25.23,25.07,25.2,1525
2024-07-05,25.165,25.23,25.165,25.2299,2344
2024-07-08,25.17,25.24,25.17,25.24,1048
2024-07-09,25.33,25.33,25.33,25.33,356
2024-07-10,25.29,25.3,25.2,25.2999,1512
2024-07-11,25.2,25.3,25.2,25.26,1910
2024-07-12,25.3,25.4,25.3,25.3099,1941
2024-07-15,25.2255,25.4,25.16,25.325,2242
2024-07-16,25.2,25.3,25.2,25.2999,685
2024-07-17,25.398,25.398,25.398,25.398,200
2024-07-18,25.22,25.32,25.22,25.3,2706
2024-07-19,25.21,25.29,25.21,25.284,670
2024-07-22,25.25,25.3,25.25,25.3,1170
2024-07-23,25.23,25.25,25.23,25.25,1147
2024-07-25,25.3,25.3,25.3,25.3,197
2024-07-26,25.365,25.375,25.23,25.34,1602
2024-07-30,25.35,25.42,25.35,25.4,3034
2024-07-31,25.31,25.4,25.31,25.4,972
2024-08-01,25.31,25.4,25.31,25.3999,1493
2024-08-02,25.3049,25.35,25.3,25.325,2006
2024-08-05,25.265,25.35,25.15,25.35,4918
2024-08-06,25.17,25.348,25.17,25.348,322
2024-08-08,25.3,25.349,25.2,25.349,2830
2024-08-09,25.35,25.35,25.35,25.35,569
2024-08-13,25.35,25.4,25.3262,25.34,2339
2024-08-14,25.3,25.35,25.3,25.3,6019
2024-08-15,25.31,25.4,25.2999,25.3999,5039
2024-08-16,25.4,25.4,25.35,25.35,1493
2024-08-19,25.36,25.46,25.36,25.46,2282
2024-08-20,25.45,25.46,25.41,25.45,5675
2024-08-21,25.5,25.5199,25.37,25.4499,8789
2024-08-22,25.455,25.476,25.3999,25.476,1704
2024-08-23,25.45,25.485,25.45,25.4622,2233
2024-08-26,25.4999,25.52,25.4601,25.52,528
2024-08-27,25.52,25.52,25.48,25.48,343
2024-08-28,25.46,25.49,25.46,25.485,2880
2024-08-29,25.52,25.62,25.4702,25.62,3710
2024-08-30,25.15,25.21,25.13,25.155,8955
2024-09-03,25.17,25.2,25.14,25.165,8316
2024-09-04,25.14,25.19,25.14,25.19,1235
2024-09-05,25.16,25.23,25.16,25.205,1830
2024-09-06,25.16,25.25,25.16,25.2499,2419
2024-09-09,25.2499,25.2499,25.2499,25.2499,279
2024-09-10,25.21,25.25,25.21,25.25,649
2024-09-11,25.25,25.25,25.2144,25.2144,2213
2024-09-12,25.23,25.28,25.23,25.26,1455
2024-09-13,25.25,25.29,25.17,25.2892,3204
2024-09-16,25.222,25.29,25.17,25.2899,8509
2024-09-17,25.29,25.43,25.2899,25.43,3478
2024-09-19,25.4,25.55,25.3501,25.54,6780
2024-09-20,25.63,25.63,25.495,25.495,563
2024-09-23,25.61,25.65,25.49,25.56,6817
2024-09-24,25.54,25.64,25.4401,25.61,3026
2024-09-25,25.52,25.52,25.52,25.52,1219
2024-09-26,25.46,25.6,25.46,25.5999,631
2024-09-27,25.4601,25.548,25.4601,25.548,1552
2024-09-30,25.48,25.55,25.46,25.55,6389
2024-10-01,25.6,25.68,25.6,25.68,1366
2024-10-03,25.72,25.73,25.58,25.7,3443
2024-10-04,25.48,25.69,25.463,25.55,2996
2024-10-07,25.46,25.68,25.46,25.68,745
2024-10-08,25.65,25.658,25.65,25.658,476
2024-10-09,25.44,25.45,25.35,25.44,2860
2024-10-11,25.2808,25.39,25.2808,25.39,1914
2024-10-14,25.4,25.6,25.4,25.6,1173
2024-10-15,25.585,25.65,25.48,25.6499,6463
2024-10-16,25.65,25.65,25.41,25.6,3137
2024-10-18,25.5,25.5,25.5,25.5,1583
2024-10-21,25.44,25.6,25.37,25.6,2993
2024-10-22,25.485,25.49,25.3801,25.49,1202
2024-10-23,25.4,25.495,25.4,25.495,442
2024-10-24,25.4,25.5399,25.33,25.45,1614
