date,open,high,low,close,volume
2024-03-01,2.45,2.515,2.41,2.42,31519
2024-03-04,2.58,2.58,2.33,2.34,40894
2024-03-05,2.5,2.5,2.3,2.41,74240
2024-03-06,2.55,2.55,2.43,2.5,43489
2024-03-07,2.6,2.64,2.46,2.49,69018
2024-03-08,2.54,2.57,2.33,2.43,43256
2024-03-11,2.59,2.59,2.43,2.46,24687
2024-03-12,2.54,2.58,2.41,2.53,58507
2024-03-13,2.6,2.6,2.48,2.5,27487
2024-03-14,2.6,2.6,2.4,2.49,32147
2024-03-15,2.5,2.59,2.47,2.5,20102
2024-03-18,2.6,2.6,2.41,2.48,25724
2024-03-19,2.52,2.52,2.4001,2.43,11232
2024-03-20,2.5,2.5,2.44,2.5,11811
2024-03-21,2.5,2.55,2.4501,2.49,16270
2024-03-22,2.51,2.55,2.49,2.5,10716
2024-03-25,2.55,2.55,2.46,2.46,18023
2024-03-26,2.5,2.5,2.45,2.46,23029
2024-03-27,2.47,2.47,2.13,2.21,85907
2024-03-28,2.37,2.49,2.25,2.49,38594
2024-04-01,2.5,2.6,2.5,2.5,21051
2024-04-02,2.5,2.5,2.4,2.4,14782
2024-04-03,2.46,2.46,2.4,2.42,6130
2024-04-04,2.36,2.425,2.33,2.34,22214
2024-04-05,2.351,2.37,2.3,2.3,8665
2024-04-08,2.32,2.35,2.2132,2.3,22238
2024-04-09,2.27,2.37,2.27,2.33,9005
2024-04-10,2.35,2.35,2.29,2.31,9147
2024-04-11,2.31,2.33,2.25,2.25,17431
2024-04-12,2.29,2.34,2.2,2.25,12178
2024-04-15,2.27,2.3444,2.14,2.14,16906
2024-04-16,2.29,2.3499,2.14,2.18,35926
2024-04-17,2.18,2.245,2.14,2.14,8291
2024-04-18,2.1,2.25,2.1,2.18,10583
2024-04-19,2.22,2.2599,2,2.04,17789
2024-04-22,2.2,2.21,1.97,1.97,22708
2024-04-23,2.01,2.14,2,2.14,12193
2024-04-24,2.14,2.14,2.06,2.11,6250
2024-04-25,2.14,2.14,2.01,2.01,7949
2024-04-26,2.1,2.1,2,2.0495,3008
2024-04-29,2.21,2.21,1.95,1.97,179632
2024-04-30,2.06,2.06,1.9,1.97,19897
2024-05-01,1.96,1.96,1.78,1.83,14937
2024-05-02,1.91,2,1.84,2,20303
2024-05-03,1.9,2,1.895,1.9585,8613
2024-05-06,1.98,2.0399,1.9559,2.02,8926
2024-05-07,2.02,2.02,1.91,1.94,6141
2024-05-08,2,2.1005,1.9067,1.98,17490
2024-05-09,2,2,1.955,1.975,3379
2024-05-10,1.98,2,1.86,1.95,6541
2024-05-13,1.92,1.9899,1.87,1.89,16345
2024-05-14,1.87,1.9715,1.86,1.87,13033
2024-05-15,1.87,1.9424,1.87,1.9001,9955
2024-05-16,1.93,1.95,1.82,1.83,41810
2024-05-17,1.83,1.9499,1.83,1.93,15418
2024-05-20,1.99,1.99,1.8617,1.92,7746
2024-05-21,1.93,1.94,1.88,1.9101,7900
2024-05-22,1.91,1.95,1.9001,1.94,7640
2024-05-23,1.93,1.95,1.9,1.94,18509
2024-05-24,1.89,1.99,1.86,1.907,7522
2024-05-28,1.99,2.15,1.9102,2.05,45573
2024-05-29,2.03,2.21,2.0014,2.11,36867
2024-05-30,2.3,2.34,2.13,2.2,34152
2024-05-31,2.21,2.27,2.14,2.175,19225
2024-06-03,2.22,2.37,2.18,2.3,19723
2024-06-04,2.21,2.35,2.18,2.35,17060
2024-06-05,2.31,2.34,2.1,2.13,32588
2024-06-06,2.1,2.2,2.1,2.155,6806
2024-06-07,2.16,2.21,2.11,2.1386,13082
2024-06-10,2.13,2.25,2.12,2.12,14128
2024-06-11,2.12,2.1858,2.12,2.1755,8554
2024-06-12,2.17,2.265,2.16,2.24,10997
2024-06-13,2.22,2.2896,2.18,2.26,53034
2024-06-14,2.19,2.26,2.12,2.16,11410
2024-06-17,2.22,2.22,2.09,2.11,6755
2024-06-18,2.1,2.18,2.0319,2.18,7544
2024-06-20,2.19,2.2,2.11,2.1748,9724
2024-06-21,2.16,2.19,2.01,2.15,2876
2024-06-24,2.15,2.15,2.06,2.14,18846
2024-06-25,2.14,2.16,2.13,2.15,3892
2024-06-26,2.21,2.3,2.14,2.3,21705
2024-06-27,2.23,2.3,2.07,2.23,28701
2024-06-28,2.22,2.3,2.2,2.26,7988
2024-07-01,2.26,2.28,2.18,2.228,31726
2024-07-02,2.23,2.3,2.23,2.27,11604
2024-07-03,2.28,2.36,2.2,2.209,52912
2024-07-05,2.16,2.26,2.16,2.23,5824
2024-07-08,2.28,2.28,2.2,2.22,5726
2024-07-09,2.15,2.2139,2.13,2.13,7234
2024-07-10,2.09,2.16,2.09,2.1458,7189
2024-07-11,2.23,2.23,2.11,2.15,6919
2024-07-12,2.16,2.25,2.135,2.18,8037
2024-07-15,2.23,2.23,2,2.145,21044
2024-07-16,2.16,2.2,2.03,2.1603,9821
2024-07-17,2.08,2.17,2.0201,2.09,4562
2024-07-18,2.15,2.2,2.09,2.135,6998
2024-07-19,2.19,2.19,2.08,2.155,5845
2024-07-22,2.15,2.16,2.09,2.09,3407
2024-07-23,2.09,2.1799,2,2.075,11784
2024-07-24,2.01,2.1,2.01,2.0265,7864
2024-07-25,2.01,2.1,2.01,2.1,13559
2024-07-26,2.07,2.1,2.06,2.1,1726
2024-07-29,2.16,2.16,2.05,2.05,4398
2024-07-30,2.006,2.1115,1.99,2.05,6592
2024-07-31,2,2.05,1.98,2.01,4316
2024-08-01,2.05,2.05,1.98,2.04,3913
2024-08-02,1.99,2.08,1.93,2.05,9081
2024-08-05,1.89,2,1.7884,1.97,38713
2024-08-06,2,2.015,1.97,2.015,1723
2024-08-07,2.02,2.1199,2.0101,2.0101,12711
2024-08-08,2.06,2.06,1.8,1.8954,10219
2024-08-09,2.02,2.12,1.9,1.95,4491
2024-08-12,2.01,2.5799,1.97,2.4999,286025
2024-08-13,2.51,3.4425,2.25,3.08,2003994.0
2024-08-14,2.7,2.7,2.03,2.26,315282
2024-08-15,2.37,2.38,2.1451,2.1451,56383
2024-08-16,2.17,2.31,2.1001,2.16,40666
2024-08-19,2.16,2.25,2.04,2.13,63936
2024-08-20,2.22,2.3,2.13,2.2007,41314
2024-08-21,2.22,2.27,2.02,2.215,27521
2024-08-22,2.18,2.35,2.09,2.11,11503
2024-08-23,2.3,2.32,2.1184,2.32,62312
2024-08-26,2.34,2.44,2.26,2.41,102572
2024-08-27,2.4,2.4,2.15,2.245,46360
2024-08-28,2.31,2.37,2.149,2.2,14848
2024-08-29,2.19,2.218,2.15,2.19,7669
2024-08-30,2.13,2.26,2.06,2.06,12572
2024-09-03,2.16,2.2417,2.055,2.0575,9748
2024-09-04,2.08,2.3,2.0201,2.225,38910
2024-09-05,2.24,2.44,2.15,2.2899,69537
2024-09-06,2.34,2.35,2.08,2.19,19358
2024-09-09,2.18,2.38,2.18,2.34,18577
2024-09-10,2.31,2.342,2.23,2.23,22913
2024-09-11,2.21,2.3242,2.1,2.17,31918
2024-09-12,2.18,2.21,2.06,2.19,5752
2024-09-13,2.1444,2.3,2.12,2.14,20093
2024-09-16,2.22,2.3,2.22,2.27,13217
2024-09-17,2.24,2.3,2.2006,2.23,10670
2024-09-18,2.18,2.44,2.1312,2.29,49012
2024-09-19,2.19,2.26,2.17,2.19,27794
2024-09-20,2.21,2.2595,2.1115,2.25,5188
2024-09-23,2.12,2.19,2.1,2.12,13455
2024-09-24,2.2,2.2001,2.1,2.17,6506
2024-09-25,2.17,2.33,2.12,2.28,3289
2024-09-26,2.29,2.29,2.1101,2.15,15097
2024-09-27,2.18,2.2,2.13,2.2,5641
2024-09-30,2.2,2.33,2.14,2.32,57612
2024-10-01,2.27,2.34,2.15,2.28,78512
2024-10-02,2.26,2.33,2.22,2.22,6382
2024-10-03,2.2,2.3,2.2,2.3,10507
2024-10-04,2.26,2.3161,2.152,2.28,23467
2024-10-07,2.27,2.39,2.24,2.31,57155
2024-10-08,2.35,2.38,2.2,2.3,151304
2024-10-09,2.23,2.3,2.15,2.2,14428
2024-10-10,2.1,2.2946,2.1,2.23,48377
2024-10-11,2.2,2.3,2.08,2.11,66408
2024-10-14,2.08,2.24,2.07,2.1201,34533
2024-10-15,2.08,2.23,2.08,2.23,8706
2024-10-16,2.13,2.23,2.13,2.19,10837
2024-10-17,2.21,2.2101,2.15,2.18,13764
2024-10-18,2.18,2.2,2.1501,2.18,8547
2024-10-21,2.21,2.21,2.11,2.11,7431
2024-10-22,2.1,2.17,2,2.08,30107
2024-10-23,2.13,2.2,1.98,2.16,80766
2024-10-24,2.2,2.2,2.01,2.08,29680
2024-10-25,2.06,2.1599,2,2.1,13947
2024-10-28,2.05,2.09,2,2.05,9689
2024-10-29,2,2.03,2,2.02,10950
2024-10-30,2,2.035,2,2,5830
2024-10-31,2,2,1.965,1.97,12906
2024-11-01,1.97,2.04,1.93,1.94,14457
2024-11-04,1.99,2.02,1.92,1.92,15469
2024-11-05,1.98,1.98,1.92,1.98,8923
2024-11-06,2,2,1.85,1.88,13790
2024-11-07,1.91,1.97,1.8,1.8,13133
2024-11-08,1.81,1.93,1.8,1.84,18425
2024-11-11,1.83,1.8708,1.61,1.675,42339
2024-11-12,1.67,1.77,1.62,1.67,29091
2024-11-13,1.67,1.8313,1.65,1.75,56155
2024-11-14,1.77,1.97,1.75,1.9699,74124
2024-11-15,1.97,1.97,1.8073,1.89,29372
2024-11-18,1.92,1.9965,1.8335,1.97,45141
2024-11-19,1.93,2.09,1.85,2.03,132608
2024-11-20,1.96,2,1.91,1.97,21770
2024-11-21,2.03,2.03,1.87,1.94,21557
2024-11-22,1.92,2.09,1.8,2.09,77134
2024-11-25,2.04,2.4,2.02,2.39,335176
2024-11-26,2.2,2.2,2,2.11,159212
2024-11-27,2.14,2.1899,2.02,2.07,27219
2024-11-29,2.09,2.18,2.03,2.1,26706
2024-12-02,2.11,2.14,2.03,2.12,51044
2024-12-03,2.16,2.1738,1.93,1.99,71809
2024-12-04,2,2.03,1.9,1.99,18728
2024-12-05,2.02,2.08,2.02,2.0501,30484
2024-12-06,2.08,2.16,1.96,2.06,89302
2024-12-09,2.05,2.22,2.05,2.22,68603
2024-12-10,2.13,2.3499,2.13,2.28,182179
2024-12-11,2.63,2.88,2.28,2.4,1867281.0
2024-12-12,2.55,3.89,2.46,3.28,8568830.0
2024-12-13,3.3,8.38,3.3,7.84,75525477.0
2024-12-16,9,14,9,12,52029760.0
2024-12-17,11,11,8.61,9.45,6699931.0
2024-12-18,9,9.5985,7.41,7.7,3791896.0
2024-12-19,7.42,7.5289,5.77,6,2759544.0
2024-12-20,6.43,9.59,6.38,6.99,9367898.0
2024-12-23,8.73,10.33,7.88,9.38,4696903.0
2024-12-24,10.45,11.64,9.18,9.9,2810457.0
