date,open,high,low,close,volume
2024-03-01,23.8,24,23.71,23.71,3638
2024-03-04,23.78,24.08,23.78,23.8,19090
2024-03-05,23.766,23.9199,23.7,23.7,28353
2024-03-06,23.76,23.8999,23.7,23.8,11284
2024-03-07,23.81,23.85,23.75,23.8,43393
2024-03-08,23.8,23.8999,23.8,23.84,15218
2024-03-11,23.77,23.8999,23.77,23.81,2094
2024-03-12,23.77,23.8779,23.77,23.8374,4369
2024-03-13,23.835,23.89,23.8,23.84,421745
2024-03-14,23.78,23.85,23.78,23.8,12543
2024-03-15,23.85,23.8837,23.8,23.84,14222
2024-03-18,23.87,24,23.81,23.85,409139
2024-03-19,23.81,23.935,23.81,23.82,10146
2024-03-20,23.74,24.3,23.74,23.8,373229
2024-03-21,23.87,24.05,23.8101,24.0427,12565
2024-03-22,24.02,24.02,23.75,23.85,15972
2024-03-25,23.95,23.95,23.75,23.77,10073
2024-03-26,23.8,23.9,23.75,23.9,15971
2024-03-27,23.89,23.9,23.8229,23.8999,5419
2024-03-28,23.8999,23.9,23.82,23.87,6866
2024-04-01,23.9,24.025,23.8,23.83,8480
2024-04-02,23.83,23.898,23.7,23.84,7407
2024-04-03,23.82,24.05,23.8,24.05,3636
2024-04-04,24.01,24.33,24,24.16,4458
2024-04-05,24.1583,24.41,24.02,24.03,20767
2024-04-08,24,24.1,24,24,944
2024-04-09,24.12,24.32,23.9,24.32,11874
2024-04-10,24.084,24.1399,23.942,23.942,3732
2024-04-11,24,24.0999,23.87,24.0999,4096
2024-04-12,24.03,24.1499,23.975,23.975,1934
2024-04-15,23.98,24.28,23.8,24.13,15823
2024-04-16,23.88,24.09,23.88,24,6567
2024-04-17,24.21,24.21,24.08,24.2,2185
2024-04-18,24.1999,24.1999,23.93,24.01,3644
2024-04-19,24.125,24.125,24.125,24.125,501
2024-04-22,24.29,24.3,24.0255,24.3,6812
2024-04-23,24.35,24.35,24.28,24.3,2092
2024-04-24,24.35,24.35,24.095,24.3,2836
2024-04-25,24.2399,24.36,23.99,23.99,14942
2024-04-26,24.02,24.13,23.9353,24.13,1188
2024-04-29,24.14,24.31,24.14,24.275,2733
2024-04-30,23.9,24.17,23.9,24.02,6503
2024-05-01,24.15,24.2607,23.8391,24.24,3814
2024-05-02,24.09,24.25,24.09,24.25,1020
2024-05-03,24.1,24.25,24.0967,24.23,3110
2024-05-06,24.13,24.25,24.13,24.25,2698
2024-05-07,24.25,24.32,24.0501,24.3,5711
2024-05-08,24.31,24.5,24.29,24.39,8611
2024-05-09,24.24,24.41,24.1294,24.32,3144
2024-05-10,24.35,24.4829,24.35,24.4829,2344
2024-05-13,24.48,24.5,24.36,24.41,3514
2024-05-14,24.41,24.889,24.41,24.75,6094
2024-05-15,24.83,24.83,24.59,24.62,3996
2024-05-16,24.7,24.7,24.5999,24.6,2731
2024-05-17,24.52,24.75,24.425,24.72,9056
2024-05-20,24.64,24.7,24.4601,24.7,4991
2024-05-21,24.67,24.6799,24.4401,24.56,2035
2024-05-22,24.58,24.7,24.58,24.7,6609
2024-05-23,24.7,24.7,24.4,24.41,1725
2024-05-24,24.48,24.595,24.38,24.595,1106
2024-05-28,24.3,24.66,24.11,24.66,5718
2024-05-29,24.67,24.67,24.2035,24.44,2365
2024-05-30,24.4,24.6074,24.39,24.42,4100
2024-05-31,24.58,24.7,24.4,24.66,4856
2024-06-03,24.5,24.55,24.35,24.5,2959
2024-06-04,24.4,24.5,24.3359,24.4999,2268
2024-06-05,24.41,24.45,24.24,24.375,1736
2024-06-06,24.6999,24.6999,24.6999,24.6999,572
2024-06-07,24.57,24.69,24.4401,24.69,1893
2024-06-10,24.5,24.5,24.4,24.4,1107
2024-06-11,24.33,24.4912,24.33,24.45,1848
2024-06-12,24.36,24.435,24.36,24.43,2478
2024-06-13,24.34,24.55,24.3,24.45,7695
2024-06-14,24.32,24.47,24.32,24.47,981
2024-06-17,24.3776,24.69,24.3776,24.49,6636
2024-06-18,24.4,24.5244,24.36,24.425,6378
2024-06-20,24.375,24.5,24.375,24.437,2891
2024-06-21,24.45,24.45,24.3142,24.4,3985
2024-06-24,24.39,24.47,24.39,24.4,6321
2024-06-25,24.44,24.5,24.4,24.41,3557
2024-06-26,24.4,24.49,24.4,24.42,2822
2024-06-27,24.4,24.49,24.38,24.42,3851
2024-06-28,24.39,24.46,24.39,24.4,6620
2024-07-01,24.42,24.65,24.3604,24.43,9079
2024-07-02,24.42,24.69,24.42,24.47,10612
2024-07-03,24.54,24.6767,24.54,24.6767,3047
2024-07-05,24.52,24.6157,24.52,24.61,1605
2024-07-08,24.4908,24.7,24.4908,24.7,7653
2024-07-09,24.7499,24.75,24.6669,24.75,4062
2024-07-10,24.6886,24.708,24.5801,24.708,3337
2024-07-11,24.75,24.75,24.63,24.75,2572
2024-07-12,24.75,24.79,24.72,24.75,6054
