date,open,high,low,close,volume
2024-03-01,25.03,25.13,24.92,25.05,36118
2024-03-04,25.04,25.04,24.8,24.95,24195
2024-03-05,24.9393,24.97,24.88,24.88,18370
2024-03-06,24.9,24.925,24.73,24.87,30253
2024-03-07,24.91,24.92,24.8816,24.9,11939
2024-03-08,24.9,24.9196,24.86,24.9,19752
2024-03-11,24.8001,24.96,24.8001,24.92,22412
2024-03-12,24.95,24.975,24.84,24.95,19976
2024-03-13,24.99,24.99,24.96,24.99,31517
2024-03-14,24.97,24.99,24.95,24.95,30905
2024-03-15,24.98,24.99,24.8757,24.91,147528
2024-03-18,24.91,24.95,24.885,24.9323,9742
2024-03-19,24.93,24.96,24.91,24.96,11369
2024-03-20,24.9896,25,24.9401,24.99,17481
2024-03-21,25.05,25.1639,25.05,25.1255,9590
2024-03-22,25.17,25.21,25.07,25.21,11784
2024-03-25,25.1914,25.1914,25.1301,25.14,4628
2024-03-26,24.9701,25.25,24.9701,25.25,6971
2024-03-27,25.12,25.2616,25.098,25.25,8460
2024-03-28,24.87,24.88,24.75,24.75,21868
2024-04-01,24.77,24.88,24.63,24.87,9105
2024-04-02,24.83,24.88,24.77,24.87,9154
2024-04-03,24.71,24.815,24.695,24.815,12397
2024-04-04,24.85,24.91,24.79,24.89,9060
2024-04-05,24.8,24.99,24.8,24.83,14540
2024-04-08,24.84,24.85,24.7901,24.85,6259
2024-04-09,24.8,24.9585,24.8,24.9399,21856
2024-04-10,24.925,24.9273,24.67,24.71,14048
2024-04-11,24.67,24.88,24.64,24.77,17485
2024-04-12,24.8,24.88,24.69,24.88,9699
2024-04-15,24.95,24.9799,24.65,24.76,10983
2024-04-16,24.68,24.8299,24.63,24.7928,8580
2024-04-17,24.747,24.77,24.71,24.72,6073
2024-04-18,24.82,24.95,24.75,24.95,19363
2024-04-19,24.77,24.84,24.77,24.78,7129
2024-04-22,24.84,24.8999,24.82,24.89,3581
2024-04-23,24.81,24.96,24.81,24.96,10418
2024-04-24,24.96,24.96,24.85,24.96,7710
2024-04-25,24.98,24.98,24.8471,24.88,7063
2024-04-26,24.94,25.11,24.86,24.95,14297
2024-04-29,24.9535,25,24.92,24.94,6898
2024-04-30,24.9,25.13,24.86,25.12,24722
2024-05-01,25.01,25.12,24.8903,25.06,8613
2024-05-02,25.12,25.12,25,25.06,9973
2024-05-03,25.1,25.15,25,25.14,19097
2024-05-06,25.03,25.1,25.02,25.03,14105
2024-05-07,25.05,25.15,25.0201,25.09,17053
2024-05-08,25.0901,25.1199,25.04,25.04,3639
2024-05-09,24.97,25.1,24.95,24.97,13771
2024-05-10,24.97,25.0799,24.97,25.01,2800
2024-05-13,24.99,25.03,24.98,25.03,11472
2024-05-14,24.96,25.1,24.96,25.04,12671
2024-05-15,25.04,25.12,25.03,25.1,13273
2024-05-16,25.1,25.17,25,25.17,12747
2024-05-17,25.03,25.2,25.0001,25.01,6441
2024-05-20,25,25.25,25,25.24,14688
2024-05-21,25.27,25.27,25.04,25.05,4957
2024-05-22,25.0001,25.0999,24.9,24.95,4889
2024-05-23,25.14,25.14,24.65,24.89,21299
2024-05-24,24.9,25.1099,24.85,25.1099,5567
2024-05-28,25,25,24.87,24.95,12606
2024-05-29,24.9,24.9126,24.84,24.84,10225
2024-05-30,24.87,24.9399,24.78,24.82,30962
2024-05-31,24.78,24.95,24.77,24.94,30718
2024-06-03,24.85,24.95,24.82,24.95,21062
2024-06-04,24.9,25,24.8701,24.95,10976
2024-06-05,25.0199,25.02,24.88,24.9,12590
2024-06-06,24.9,24.96,24.9,24.91,10616
2024-06-07,24.91,24.9986,24.9,24.92,9662
2024-06-10,24.9327,24.9507,24.83,24.83,10263
2024-06-11,24.82,25,24.82,24.87,22018
2024-06-12,24.98,25,24.89,24.9,13656
2024-06-13,24.9,24.9772,24.8454,24.97,5153
2024-06-14,24.86,24.9999,24.78,24.8,19308
2024-06-17,24.89,24.9,24.73,24.73,43598
2024-06-18,24.75,24.85,24.71,24.72,158198
2024-06-20,24.775,24.775,24.72,24.75,75622
2024-06-21,24.8,24.83,24.73,24.74,159691
2024-06-24,24.8299,24.9376,24.73,24.91,190001
2024-06-25,24.93,24.96,24.88,24.93,54847
2024-06-26,24.95,24.97,24.94,24.955,59693
2024-06-27,24.93,24.9955,24.93,24.97,25938
2024-06-28,24.94,25.03,24.94,24.96,41574
2024-07-01,24.65,24.72,24.56,24.71,98253
2024-07-02,24.68,24.7,24.63,24.67,78925
2024-07-03,24.65,24.74,24.645,24.7,18412
2024-07-05,24.68,24.77,24.62,24.65,12391
2024-07-08,24.65,24.7,24.55,24.57,197530
2024-07-09,24.58,24.5999,24.53,24.56,93592
2024-07-10,24.58,24.6,24.53,24.56,50641
2024-07-11,24.6,24.71,24.6,24.62,59321
2024-07-12,24.62,24.7099,24.62,24.635,56056
2024-07-15,24.78,24.78,24.68,24.68,93838
2024-07-16,24.78,24.78,24.69,24.7,67936
2024-07-17,24.75,24.7699,24.68,24.68,58686
2024-07-18,24.7,24.73,24.7,24.7,210256
2024-07-19,24.78,24.82,24.72,24.76,139561
2024-07-22,24.84,24.85,24.76,24.77,87288
2024-07-23,24.79,24.81,24.77,24.79,65436
2024-07-24,24.8,24.8,24.75,24.75,64265
2024-07-25,24.76,24.8,24.75,24.75,64920
2024-07-26,24.78,24.7951,24.75,24.76,48687
2024-07-29,24.79,24.8,24.76,24.77,115740
2024-07-30,24.79,24.79,24.71,24.74,276286
2024-07-31,24.81,24.89,24.7,24.89,922816
2024-08-01,24.84,24.95,24.84,24.95,67254
2024-08-02,24.95,24.97,24.87,24.97,30243
2024-08-05,24.86,24.9,24.66,24.87,50462
2024-08-06,24.75,24.99,24.75,24.98,38519
2024-08-07,24.97,25,24.895,24.92,24933
2024-08-08,24.91,25,24.8611,25,9355
2024-08-09,24.9999,25,24.9362,24.94,13308
2024-08-12,24.96,25,24.96,24.96,9829
2024-08-13,25.01,25.015,24.96,24.995,29222
2024-08-14,24.97,25.015,24.97,25,15948
2024-08-15,25.0001,25.02,24.99,25,43668
2024-08-16,25,25.02,24.95,24.98,66141
2024-08-19,25.01,25.01,24.95,25.01,78754
2024-08-20,25,25.02,24.96,24.97,50944
2024-08-21,24.989,25.0099,24.96,24.96,31494
2024-08-22,25,25.02,24.95,24.95,90118
2024-08-23,24.97,25.05,24.96,25.04,18805
2024-08-26,25.02,25.08,24.98,25.08,13729
2024-08-27,25.03,25.06,25.01,25.06,20160
2024-08-28,25.0188,25.08,25.0188,25.06,34067
2024-08-29,25.12,25.14,25.06,25.06,66122
2024-08-30,25.0994,25.1,24.98,25,184242
2024-09-03,25.06,25.06,25,25,35599
2024-09-04,25.05,25.12,25.05,25.07,12399
2024-09-05,25.089,25.12,25.03,25.04,61144
2024-09-06,25.04,25.1,25.04,25.08,9760
2024-09-09,25.04,25.12,25.04,25.11,16850
2024-09-10,25.1,25.16,25.1,25.11,39808
2024-09-11,25.14,25.14,25.11,25.13,27891
2024-09-12,25.125,25.17,25.125,25.16,24581
2024-09-13,25.14,25.22,25.14,25.21,48365
2024-09-16,25.17,25.2,25.14,25.16,58118
2024-09-17,25.17,25.2699,25.17,25.2699,36767
2024-09-18,25.2665,25.3599,25.25,25.31,38450
2024-09-19,25.33,25.42,25.33,25.42,35491
2024-09-20,25.35,25.405,25.35,25.4,15488
2024-09-23,25.42,25.45,25.41,25.43,14379
2024-09-24,25.36,25.4299,25.36,25.37,14547
2024-09-25,25.3778,25.41,25.37,25.39,10578
2024-09-26,25.3801,25.4097,25.38,25.38,14204
2024-09-27,25.48,25.48,25.39,25.41,28283
2024-09-30,25.49,25.49,25.4,25.41,32223
2024-10-01,25.1,25.1,25.0052,25.05,22465
2024-10-02,25.07,25.08,25.04,25.0708,26165
2024-10-03,25.095,25.1,24.95,24.98,95479
2024-10-04,25,25.01,24.96,25,49548
2024-10-07,24.97,25.07,24.97,25,37824
2024-10-08,25.03,25.07,25,25.05,26713
2024-10-09,25.01,25.07,25.01,25.02,12500
2024-10-10,25.02,25.07,25.02,25.05,24608
2024-10-11,25.05,25.08,25.04,25.069,45122
2024-10-14,25.07,25.1,25.065,25.075,41305
2024-10-15,25.1,25.16,25.08,25.15,32474
2024-10-16,25.16,25.19,25.1599,25.19,41014
2024-10-17,25.19,25.24,25.17,25.21,29914
2024-10-18,25.23,25.23,25.19,25.19,28484
2024-10-21,25.17,25.22,25.17,25.2025,18714
2024-10-22,25.1848,25.1848,25.15,25.16,30486
2024-10-23,25.15,25.2,25.15,25.165,16702
2024-10-24,25.15,25.19,25.15,25.1501,26319
2024-10-25,25.18,25.18,25.1552,25.16,16208
2024-10-28,25.16,25.18,25.14,25.16,25029
2024-10-29,25.15,25.22,25.15,25.22,15094
2024-10-30,25.2,25.24,25.2,25.24,9395
2024-10-31,25.24,25.24,25.15,25.15,42239
2024-11-01,25.1606,25.2211,25.15,25.1914,19033
2024-11-04,25.175,25.23,25.175,25.2157,7620
2024-11-05,25.2113,25.23,25.16,25.17,22413
2024-11-06,25.16,25.23,25.16,25.22,19799
2024-11-07,25.2151,25.22,25.17,25.196,18447
2024-11-08,25.21,25.28,25.21,25.28,20359
2024-11-11,25.28,25.28,25.24,25.26,16457
2024-11-12,25.237,25.2655,25.17,25.23,38643
2024-11-13,25.22,25.25,25.2,25.23,17715
2024-11-14,25.2191,25.27,25.21,25.21,14021
