date,open,high,low,close,volume
2024-03-01,4.82,5.155,4.81,5.13,764193
2024-03-04,5.2,5.23,4.96,5.07,673792
2024-03-05,5.04,5.11,4.74,4.79,663792
2024-03-06,5.14,6.72,5.1,6.29,6074241.0
2024-03-07,6.4,7.67,6.34,6.82,3620798.0
2024-03-08,6.99,7.12,6.51,6.78,1614720.0
2024-03-11,6.77,7.01,6.575,6.8,845395
2024-03-12,6.98,7.12,6.46,6.66,596241
2024-03-13,6.61,6.845,6.52,6.835,423494
2024-03-14,6.81,6.82,6.42,6.42,788928
2024-03-15,6.41,6.78,6.4057,6.5,3974959.0
2024-03-18,6.4,6.475,5.57,5.67,1786530.0
2024-03-19,5.66,6.015,5.6101,5.93,669447
2024-03-20,5.9,6.215,5.83,6.18,785213
2024-03-21,6.21,6.24,5.92,6,1757902.0
2024-03-22,6.04,6.11,5.75,5.77,346987
2024-03-25,5.94,5.94,5.61,5.78,561800
2024-03-26,5.85,5.9321,5.66,5.66,362570
2024-03-27,5.65,6.04,5.65,6.04,413099
2024-03-28,5.96,6.18,5.89,6.17,596534
2024-04-01,6.21,6.32,5.98,6.31,547039
2024-04-02,6.17,6.295,6.07,6.25,331331
2024-04-03,6.18,6.23,5.75,5.94,1099264.0
2024-04-04,6.01,6.06,5.81,5.85,368294
2024-04-05,5.8,5.99,5.65,5.91,455940
2024-04-08,5.91,5.91,5.64,5.8,413759
2024-04-09,5.82,5.96,5.65,5.82,344057
2024-04-10,5.81,6.09,5.46,6.04,963223
2024-04-11,6.04,6.08,5.7875,6,554989
2024-04-12,6.02,6.134,5.66,5.8,647139
2024-04-15,5.8,5.905,5.65,5.74,432576
2024-04-16,5.68,5.79,5.25,5.26,522670
2024-04-17,5.3,5.31,4.78,4.79,620952
2024-04-18,4.77,4.86,4.66,4.8,530385
2024-04-19,4.78,5.01,4.72,4.87,424887
2024-04-22,4.92,4.94,4.64,4.84,479874
2024-04-23,5.13,5.18,4.95,5.08,463567
2024-04-24,5.05,5.23,4.96,5.01,428387
2024-04-25,4.92,4.92,4.725,4.74,387642
