date,open,high,low,close,volume
2024-11-26,4,4.4,3.55,4.24,824454
2024-11-27,3.77,4.39,3.77,4.04,361414
2024-11-29,3.97,4,3.8915,3.93,297438
2024-12-02,4.05,4.15,3.925,4.14,219596
2024-12-03,4.2,4.59,4.04,4.45,369060
2024-12-04,4.6311,5.25,4.52,4.99,151037
2024-12-05,5.2,5.345,4.16,4.5,527599
2024-12-06,4.4023,4.98,4.4023,4.91,185771
2024-12-09,4.98,5.05,4.17,4.22,728004
2024-12-10,4.28,4.5854,4.22,4.5,187769
2024-12-11,4.52,4.78,4.35,4.3756,494265
2024-12-12,4.37,4.78,4.26,4.55,110695
2024-12-13,4.6,4.65,4.3915,4.49,141315
2024-12-16,4.56,4.59,4.24,4.4,134474
2024-12-17,4.55,5.5,4.55,5.24,163543
2024-12-18,5.4,5.66,5.2015,5.25,52357
2024-12-19,5.5,5.7,5.05,5.36,160825
2024-12-20,5.36,5.36,4.75,4.75,117333
2024-12-23,4.95,4.95,4.6,4.95,46160
2024-12-24,4.9,4.92,4.79,4.9,25917
2024-12-26,4.91,5.65,4.91,5.65,44679
2024-12-27,5.88,6.1,5.6,5.7,155560
2024-12-30,5.8,6.07,5.76,5.92,51133
2024-12-31,5.89,6.0299,5.7,6,19529
2025-01-02,6.05,6.05,5.46,5.5,131724
2025-01-03,5.42,5.5364,4.43,4.6336,152853
2025-01-06,4.54,4.99,4.21,4.222,33787
2025-01-07,4.45,4.56,4.26,4.46,64369
2025-01-08,4.4413,4.4413,3.6,3.7,313805
2025-01-10,3.6188,4.85,3.6188,4.52,120208
2025-01-13,4.79,4.9,4.45,4.6,32239
2025-01-14,4.5,4.5,4.325,4.36,20171
2025-01-15,4.45,5.01,4.18,4.89,56123
2025-01-16,4.78,5.23,4.5,5.03,30398
2025-01-17,4.92,5.3,4.92,5.2,71107
2025-01-21,5.29,5.48,4.7967,5.31,56015
2025-01-22,5.15,5.69,5.13,5.69,70656
2025-01-23,5.46,5.8,5.19,5.8,87630
2025-01-24,5.9,5.91,5.38,5.85,26043
2025-01-27,5.55,5.99,5.55,5.95,31559
2025-01-28,5.66,7.4033,5.59,5.69,140872
2025-01-29,5.76,7.7,5.7,7.35,204493
2025-01-30,7.5,9.1601,7.35,8.14,220162
2025-01-31,8.43,9.0213,7.05,7.65,138382
2025-02-03,7.11,8.48,6.8682,8.14,49816
2025-02-04,8.3,8.58,7.8,8.12,64680
2025-02-05,8.11,8.28,7.885,8.06,64981
2025-02-06,8.29,8.43,8.01,8.05,82862
2025-02-07,8.17,8.5,8.02,8.35,99111
2025-02-10,8.425,8.45,7.31,7.7,113001
2025-02-11,7.72,8.44,7.352,8.13,191834
2025-02-12,8.13,8.13,7.59,7.9,195784
2025-02-13,7.9535,7.99,7.61,7.98,194168
2025-02-14,7.83,8.9529,7.64,8.6,222251
2025-02-18,8.36,9.87,8.36,9.5,211412
2025-02-19,9.4,10.6,9.4,10.03,230477
2025-02-20,10.04,10.29,9.81,10.24,30356
2025-02-21,10.14,10.6,9.9,10.06,88232
2025-02-24,9.95,10.1,9.7169,10.1,61016
2025-02-25,10.09,10.2,9.8,10.1,71151
2025-02-26,10.19,10.36,9.9,10.14,32456
2025-02-27,10.08,10.22,9.12,10.15,178965
2025-02-28,10.21,10.4799,10.01,10.29,75550
