date,open,high,low,close,volume
2024-03-01,0.76,0.85,0.72,0.7204,566910
2024-03-04,0.73,0.7898,0.6958,0.7299,159699
2024-03-05,0.7153,0.813,0.710536,0.7942,140011
2024-03-06,0.79,0.911,0.79,0.82,239402
2024-03-07,0.89,0.9131,0.765,0.799,413743
2024-03-08,0.783,0.8888,0.769,0.83,68824
2024-03-11,0.781,0.8487,0.701,0.7568,362279
2024-03-12,0.77,0.789,0.645,0.6705,399047
2024-03-13,0.68,0.72,0.6542,0.7,172647
2024-03-14,0.711,0.7598,0.608,0.6466,244360
2024-03-15,0.631,0.687,0.631,0.685,85834
2024-03-18,0.68,0.728,0.6414,0.6787,86392
2024-03-19,0.651,0.729,0.651,0.685,46684
2024-03-20,0.7,0.7339,0.6801,0.691,24419
2024-03-21,0.7,0.75,0.69945,0.7025,66397
2024-03-22,0.6873,0.7354,0.6522,0.7075,114472
2024-03-25,0.7025,0.7095,0.665,0.6999,48618
2024-03-26,0.6929,0.7081,0.6351,0.6593,81052
2024-03-27,0.651,0.66505,0.58,0.639,174155
2024-03-28,1.92,1.93,1.05,1.08,34539272.0
2024-04-01,1.32,1.63,1.14,1.53,21376516.0
2024-04-02,1.42,1.61,1.33,1.48,3029914.0
2024-04-03,1.45,1.47,1.11,1.3,2296409.0
2024-04-04,1.31,1.34,1.18,1.21,899747
2024-04-05,1.16,1.3,1.14,1.2,734852
2024-04-08,1.23,1.55,1.16,1.47,1739844.0
2024-04-09,1.42,1.49,1.31,1.31,413366
2024-04-10,1.28,1.36,1.27,1.28,413745
2024-04-11,1.3,1.4,1.26,1.36,398557
2024-04-12,1.33,1.34,1.18,1.18,504263
2024-04-15,1.19,1.29,1.19,1.26,268821
2024-04-16,1.26,1.38,1.22,1.3,325034
2024-04-17,1.3,1.34,1.22,1.23,438797
2024-04-18,1.22,1.28,1.2,1.28,154329
2024-04-19,1.25,1.28,1.12,1.15,339700
2024-04-22,1.14,1.18,1.05,1.1,256328
2024-04-23,1.08,1.15,1.01,1.05,448445
2024-04-24,1.05,1.11,1.01,1.06,297031
2024-04-25,1.06,1.08,0.951,1.01,239428
2024-04-26,1.02,1.11,1.02,1.09,144163
2024-04-29,1.15,1.15,1.01,1.04,377833
2024-04-30,1.01,1.08,1.01,1.04,101482
2024-05-01,1.01,1.13,1.01,1.08,225680
2024-05-02,1.09,1.12,1.04,1.05,185021
2024-05-03,1.06,1.2199,1.04,1.18,265432
2024-05-06,1.18,1.28,1.18,1.25,289226
2024-05-07,1.26,1.29,1.25,1.26,101843
2024-05-08,1.29,1.29,1.16,1.21,157669
2024-05-09,1.21,1.32,1.16,1.26,217114
2024-05-10,1.3,1.3,1.11,1.18,230498
2024-05-13,1.17,1.1827,1.0115,1.12,273985
2024-05-14,1.06,1.14,1.06,1.09,125950
2024-05-15,1.09,1.15,1.09,1.12,118175
2024-05-16,1.1,1.14,1.04,1.08,224500
2024-05-17,1.1,1.18,1.06,1.14,117004
2024-05-20,1.14,1.3,1.0616,1.25,342513
2024-05-21,1.23,1.2599,1.18,1.2,52556
2024-05-22,1.18,1.1807,1.06,1.15,315381
2024-05-23,1.13,1.1499,1.06,1.07,52947
2024-05-24,1.08,1.1199,1.03,1.05,111384
2024-05-28,1.05,1.1097,0.8366,0.9173,633123
2024-05-29,0.9108,0.9398,0.8641,0.936,175541
2024-05-30,0.9201,0.94,0.86,0.9301,219907
2024-05-31,0.9333,1.09,0.8801,1.08,229612
2024-06-03,1.06,1.09,0.9797,1.05,182707
2024-06-04,1.05,1.1,1.05,1.08,124349
2024-06-05,1.04,1.07,0.9802,1.02,169160
2024-06-06,1.01,1.0699,1,1.02,103113
2024-06-07,1.04,1.06,0.98,1.05,7175939.0
2024-06-10,1.04,1.125,1.04,1.06,154359
2024-06-11,1.09,1.13,1.05,1.12,113232
2024-06-12,1.13,1.14,1.05,1.06,143981
2024-06-13,1.08,1.08,1.01,1.05,118670
2024-06-14,1.02,1.05,1.02,1.02,45660
2024-06-17,1.02,1.02,0.94,0.95,199360
2024-06-18,0.95,0.9926,0.94,0.9469,96975
2024-06-20,0.95,1.02,0.930101,0.9536,85270
2024-06-21,0.9401,0.9401,0.852222,0.9084,384495
2024-06-24,0.9,0.9525,0.8605,0.9308,66214
