date,open,high,low,close,volume
2024-03-01,9.15,11.15,9.15,10.6,37864
2024-03-04,11,14.86,10.6,13.57,86731
2024-03-05,13.39,13.5321,12.49,12.94,20409
2024-03-06,12.83,13.05,12,12.77,13138
2024-03-07,12.91,12.91,11.28,11.81,14494
2024-03-08,11.99,12.485,11.5,12.485,7827
2024-03-11,12.58,12.95,11.99,12.43,4140
2024-03-12,12.5,13.4,12.5,13.4,14536
2024-03-13,13.1589,13.1589,11.7001,12,10712
2024-03-14,12.25,13.3662,12.03,12.26,8377
2024-03-15,12.5126,13.19,12.0301,12.72,6920
2024-03-18,12.36,13.18,12.36,12.45,8054
2024-03-19,12.5,12.85,12,12,9519
2024-03-20,12,12.8,11.51,12,12277
2024-03-21,12,12.6057,11.32,11.42,14176
2024-03-22,11,12.15,10.47,11.72,19634
2024-03-25,12,12.38,11.544,11.95,42942
2024-03-26,11.98,12.05,11.8,11.8,6242
2024-03-27,11.8,12.35,10.12,10.31,44499
2024-03-28,10.13,11.14,10.1,10.24,100285
2024-04-01,10.5,10.8408,9.52,9.78,43336
2024-04-02,9.62,9.8514,8.4,8.54,57525
2024-04-03,8.51,8.87,8.33,8.555,22964
2024-04-04,8.48,9.31,8.48,9,21207
2024-04-05,9,9.1339,8.76,9,9635
2024-04-08,9,9.2499,8.5289,8.755,18358
2024-04-09,8.75,9.07,8.6,8.6,16256
2024-04-10,8.94,8.9581,8.51,8.58,9231
2024-04-11,8.74,8.99,8.5001,8.76,16171
2024-04-12,8.85,8.95,8.7601,8.8373,13676
2024-04-15,8.76,9.08,8.5054,8.74,12090
2024-04-16,8.51,8.8182,8.35,8.4927,11506
2024-04-17,8.48,8.5,8.01,8.23,12792
2024-04-18,8.15,8.15,7.8101,7.85,22699
2024-04-19,7.85,8.275,7.57,7.67,33181
2024-04-22,7.66,7.7,7.31,7.46,14359
2024-04-23,7.43,7.68,7.3222,7.68,11312
2024-04-24,7.6,7.6408,7.5,7.63,6039
2024-04-25,7.42,7.7,7.2181,7.59,9595
2024-04-26,7.61,7.6999,7.5037,7.56,6804
2024-04-29,7.48,7.6879,7.35,7.35,8759
2024-04-30,7.26,7.75,7.2,7.69,11337
2024-05-01,7.65,7.7299,7.3819,7.5,8460
2024-05-02,7.54,7.7,7.2801,7.65,21683
2024-05-03,7.68,7.68,7.13,7.45,25505
2024-05-06,7.44,7.669,7.44,7.5,11429
2024-05-07,7.67,7.7299,7.47,7.47,8937
2024-05-08,7.41,7.6378,7.4034,7.61,5409
2024-05-09,7.59,7.7499,7.468,7.645,9789
2024-05-10,7.56,7.8163,7.5,7.665,11376
2024-05-13,7.93,7.93,7.61,7.75,17101
2024-05-14,7.85,7.8875,7.69,7.76,17274
2024-05-15,7.79,7.9321,7.6,7.6,31641
2024-05-16,7.5,9.22,7.5,8.68,60521
2024-05-17,8.64,8.9119,8.1501,8.45,19654
2024-05-20,8.32,8.6953,8.015,8.02,19140
2024-05-21,7.95,8.27,7.8,7.97,20004
2024-05-22,7.84,8.175,7.62,8.13,12762
2024-05-23,8.15,8.3038,7.8024,7.93,9968
2024-05-24,7.98,7.99,7.33,7.49,34676
2024-05-28,7.65,7.88,7.5024,7.74,16421
2024-05-29,7.59,7.75,7.51,7.72,11061
2024-05-30,7.6,7.89,7.51,7.88,10135
2024-05-31,7.77,7.9817,7.55,7.94,13866
2024-06-03,7.95,7.95,7.572,7.89,8264
2024-06-04,7.82,7.8502,7.57,7.75,8233
2024-06-05,7.75,7.7516,7.5,7.61,11560
2024-06-06,7.54,7.71,7.46,7.55,11151
2024-06-07,7.51,7.67,7.4,7.49,7536
2024-06-10,7.38,7.49,7.14,7.33,15696
2024-06-11,7.3,7.3,7.22,7.3,10163
2024-06-12,7.31,7.5281,7.31,7.45,10745
2024-06-13,7.34,7.49,7.2,7.23,11001
2024-06-14,7.23,7.43,7.05,7.19,18863
2024-06-17,7.2,7.3599,7.0276,7.23,16091
2024-06-18,7.26,7.26,7,7,26992
2024-06-20,6.93,6.99,6.81,6.81,20979
2024-06-21,6.92,6.92,6.6,6.82,35326
2024-06-24,6.82,6.99,6.73,6.79,14529
2024-06-25,6.73,6.97,6.6,6.76,18567
2024-06-26,6.76,6.9699,6.65,6.79,15023
2024-06-27,6.69,6.9719,6.61,6.79,21815
2024-06-28,6.74,6.93,6.6,6.91,20342
2024-07-01,6.85,6.91,6.66,6.8,11202
2024-07-02,6.79,6.89,6.67,6.68,7901
2024-07-03,6.63,6.94,6.63,6.81,7098
2024-07-05,6.81,6.9399,6.7,6.71,7810
