date,open,high,low,close,volume
2024-03-01,3.72,3.84,3.68,3.744,4900.5
2024-03-04,4.8,5.224,3.6,4.3104,812146.25
2024-03-05,3.92,4.3296,3.828,4.16,83266.375
2024-03-06,4.64,6.24,4,6.128,348827.5
2024-03-07,5.1872,5.1872,4.0664,4.1592,119091.25
2024-03-08,4,4.064,3.76,3.9632,55978.5
2024-03-11,3.924,3.9992,3.68,3.92,30822.125
2024-03-12,3.8824,3.9,3.696,3.836,11775.5
2024-03-13,3.88,3.9192,3.6,3.768,28913.75
2024-03-14,3.68,3.76,3.6,3.6,12652.125
2024-03-15,3.6,3.8376,3.5608,3.816,8171.375
2024-03-18,3.564,3.912,3.564,3.76,12178.25
2024-03-19,3.8008,3.84,3.6032,3.816,18458.125
2024-03-20,3.8362,3.96,3.696,3.912,13269.75
2024-03-21,3.864,3.888,3.6896,3.6968,11923.375
2024-03-22,3.7184,3.7184,3.5608,3.5608,6323.5
2024-03-25,3.528,3.536,3.28,3.3896,16382.75
2024-03-26,3.288,3.3896,3.14,3.2392,16542
2024-03-27,3.208,3.208,2.96,3.1176,17876.25
2024-03-28,3.12,3.1512,3.008,3.1336,5042.875
2024-04-01,3.1999,3.2,3.008,3.2,10059.125
2024-04-02,3.056,3.2616,3.016,3.248,3824.5
2024-04-03,3.16,3.28,3.0408,3.2144,1769
2024-04-04,3.12,3.2,3.0448,3.2,4632.375
2024-04-05,3.2,3.2,3.08,3.1976,4232.25
2024-04-08,3.072,3.2,3.0528,3.0536,8326.375
2024-04-09,3.056,3.36,3.04,3.068,4248.5
2024-04-10,3.0512,3.28,3.0512,3.1192,4558.875
2024-04-11,3.06,3.1992,3.06,3.1288,1788.25
2024-04-12,3.048,3.2,3.04,3.2,7538.25
2024-04-15,3.12,3.1816,3.1112,3.1464,3506.875
2024-04-16,3.12,3.1816,3.1112,3.1112,1936.75
2024-04-17,3.112,3.1592,3.1112,3.1272,3131.375
2024-04-18,3.1112,3.76,3.1112,3.7592,18992.25
2024-04-19,3.496,3.84,3.1336,3.76,16074.875
2024-04-22,3.52,3.6,3.2296,3.4296,6711.5
2024-04-23,3.36,3.36,3.2552,3.256,3232.375
2024-04-24,3.256,3.392,3.256,3.392,2859.625
2024-04-25,3.24,3.5032,3.24,3.44,7906.5
2024-04-26,3.312,3.408,3.24,3.4079,2051.25
2024-04-29,3.4936,3.4936,3.2504,3.444,2396.5
2024-04-30,3.448,3.456,3.3608,3.412,571.75
2024-05-01,3.504,3.504,3.12,3.2096,18584
2024-05-02,3.36,3.36,3.08,3.18,2767
2024-05-03,3.104,3.236,3.04,3.0808,6450.625
2024-05-06,3.12,3.24,2.96,3,9183.125
2024-05-07,3.0296,3.0296,2.88,2.9168,3736.875
2024-05-08,2.932,3.1192,2.932,3.032,2056.5
2024-05-09,2.9996,3,2.96,2.9804,3520.75
2024-05-10,3.0008,3.0008,2.96,2.96,4098.75
2024-05-13,2.9652,3.04,2.9648,3.04,3700.5
2024-05-14,3.0408,3.08,3.0008,3.0272,3194
2024-05-15,3.04,3.2344,3,3.0231,9681.875
2024-05-16,2.96,3,2.7052,2.7672,23824
2024-05-17,3.064,3.112,2.5608,2.872,67805.75
2024-05-20,2.8,2.9808,2.6696,2.8408,22936.125
2024-05-21,2.88,2.888,2.5616,2.78,12322.5
2024-05-22,2.848,2.96,2.784,2.952,24757.75
2024-05-23,2.808,2.952,2.7683,2.836,14502.25
2024-05-24,2.7664,2.9408,2.7608,2.832,448813.125
2024-05-28,3.124,3.1288,2.64,2.764,114964.75
2024-05-29,2.872,3.112,2.64,2.992,66343
2024-05-30,3.04,3.04,2.72,2.944,14720
2024-05-31,2.944,2.944,2.72,2.7216,987685.125
2024-06-03,3.98,4.352,3.364,3.684,3463072.75
2024-06-04,3.2,3.216,2.8008,3.216,225522.75
2024-06-05,2.8,3.216,2.8,3.048,119665.875
2024-06-06,2.9568,3.188,2.9064,3.1192,36273.25
2024-06-07,3.1056,3.108,2.9648,2.9864,33236
2024-06-10,2.872,2.9856,2.8,2.812,31785.5
2024-06-11,2.8168,3.1192,2.72,2.9608,40472.25
2024-06-12,3.0264,3.0264,2.8288,2.9224,10141.375
2024-06-13,3.04,3.12,2.88,2.896,15672.125
2024-06-14,2.864,3.04,2.864,2.872,7729.875
2024-06-17,2.968,3.16,2.896,3.0896,33269.75
2024-06-18,3.0256,3.28,2.964,3.0427,31265
2024-06-20,2.9512,3.104,2.8,3.096,33129.25
2024-06-21,3.04,3.0408,2.7376,2.832,27079.125
2024-06-24,2.88,2.96,2.72,2.7392,37989.75
2024-06-25,2.736,2.736,2.56,2.624,34356.5
2024-06-26,2.68,2.8,2.56,2.7208,22652.875
2024-06-27,2.7112,2.7208,2.56,2.648,19744.375
2024-06-28,2.648,2.8,2.56,2.5616,38147.25
2024-07-01,2.31,2.4,1.71,1.87,278890
2024-07-02,1.76,1.87,1.52,1.54,109562
2024-07-03,1.46,1.48,1.29,1.4,110480
2024-07-05,1.4,1.6,1.38,1.42,139810
2024-07-08,1.39,1.45,1.27,1.3699,89611
2024-07-09,1.33,1.49,1.2845,1.43,51773
2024-07-10,1.44,1.68,1.33,1.6066,5261125.0
2024-07-11,1.85,1.983,1.47,1.63,3828357.0
2024-07-12,1.55,1.6,1.28,1.52,762095
2024-07-15,1.57,1.5931,1.32,1.46,237794
2024-07-16,1.46,1.535,1.4254,1.47,169539
2024-07-17,1.44,1.5199,1.38,1.41,72101
2024-07-18,1.48,1.48,1.3799,1.4,49545
2024-07-19,1.37,1.39,1.3001,1.37,87144
2024-07-22,1.3906,1.44,1.3203,1.4,125001
2024-07-23,1.39,1.49,1.375,1.48,99647
2024-07-24,1.42,1.47,1.39,1.41,62378
2024-07-25,1.38,1.395,1.34,1.37,48515
2024-07-26,1.35,1.4052,1.23,1.3218,73180
2024-07-29,1.3,1.32,1.27,1.3195,29456
2024-07-30,1.29,1.3,1.27,1.3,15082
2024-07-31,1.2898,1.3,1.27,1.3,22229
2024-08-01,1.295,1.3,1.22,1.2399,22118
2024-08-02,1.21,1.24,1.08,1.16,18415
2024-08-05,1.09,1.1057,1.0202,1.04,19283
2024-08-06,1.02,1.177,1.02,1.1,24829
2024-08-07,1.181,1.3699,1.07,1.27,239169
2024-08-08,1.16,1.19,1.1,1.13,77947
