date,open,high,low,close,volume
2024-03-01,2.844,3.116,2.844,2.88,1859
2024-03-04,2.96,3.16,2.8,2.8,3607.75
2024-03-05,2.76,3.1556,2.76,2.962,6611.5
2024-03-06,2.828,3.026,2.828,2.84,2128
2024-03-07,3,3,2.84,2.84,2224
2024-03-08,2.8,3,2.8,2.804,3770.25
2024-03-11,2.8004,2.996,2.8,2.8,2435
2024-03-12,2.94,2.94,2.8,2.8404,1648.25
2024-03-13,2.84,2.952,2.8,2.8,929.75
2024-03-14,2.8108,2.84,2.72,2.72,2660
2024-03-15,2.72,2.72,2.64,2.64,1661.5
2024-03-18,2.6804,2.96,2.68,2.7608,2678.25
2024-03-19,2.66,2.74,2.64,2.68,1533
2024-03-20,2.88,2.92,2.68,2.68,823
2024-03-21,2.64,2.676,2.52,2.56,3034.25
2024-03-22,2.5572,2.908,2.5572,2.7152,2046.75
2024-03-25,2.5604,2.96,2.5604,2.728,6021.75
2024-03-26,2.8756,3.4796,2.728,2.7836,10772.75
2024-03-27,2.98,3.24,2.8924,3.06,3352.25
2024-03-28,3.01,3.4404,2.48,3.3232,14319.5
2024-04-01,3.3196,3.38,3.0768,3.0768,1113.75
2024-04-02,3.0768,3.2004,2.96,3.0232,3379.25
2024-04-03,2.96,3.36,2.96,3.1508,399.5
2024-04-04,2.9604,3.0804,2.9604,3.08,241
2024-04-05,3.08,3.28,2.92,3.0604,901.25
2024-04-08,2.8408,3.24,2.8408,3.0348,1125
2024-04-09,3.0352,3.276,3.0352,3.276,390.5
2024-04-10,2.9216,3.56,2.9216,3.56,3613.75
2024-04-11,3.0004,3.56,3.0004,3.2644,2205.5
2024-04-12,3.48,3.52,3.04,3.52,2708
2024-04-15,3.5484,3.5484,2.9996,3.0976,6928.25
2024-04-16,2.92,3.08,2.92,3.08,1584.25
2024-04-17,2.9328,3.2,2.9328,3.158,2422.75
2024-04-18,3.0394,3.0394,2.9208,2.982,660
2024-04-19,2.966,3.1996,2.966,3.1996,493.5
2024-04-22,3.196,3.206,2.9316,2.972,4094.75
2024-04-23,3.06,3.08,2.9608,3.0204,823.75
2024-04-24,2.8804,3.56,2.8804,3.0944,3453.25
2024-04-25,2.96,3.3109,2.96,3.124,1014.25
2024-04-26,3.124,3.2,2.98,3.004,6772
2024-04-29,3.104,3.28,3.0024,3.0692,937.5
2024-04-30,3.12,3.28,3.12,3.272,443.25
2024-05-01,3.268,3.272,3.2572,3.272,1207.75
2024-05-02,3.2716,3.272,3.16,3.16,658.25
2024-05-03,3.1208,3.16,3.12,3.12,818.75
2024-05-06,3.16,3.16,2.8812,3.0852,1320
2024-05-07,2.96,3.076,2.8396,3.0584,3811.5
2024-05-08,3.1,3.156,3.04,3.04,947
2024-05-09,3.0124,3.24,3.0124,3.1444,1122.75
2024-05-10,3.1054,3.1804,3.1054,3.18,404.5
2024-05-13,3.2168,3.2168,3,3.12,3218.5
2024-05-14,3.08,3.12,2.9,3.1084,3298.75
2024-05-15,2.96,3.2404,2.96,3.2396,2539
2024-05-16,2.9,3.272,2.9,3.08,1779.25
2024-05-17,3.08,3.272,3.08,3.268,4879.75
2024-05-20,3.32,3.4636,3.1,3.1,3612.25
2024-05-21,3.08,3.1,2.968,3.1,1231
2024-05-22,3.092,3.0924,2.8008,2.88,8838.25
2024-05-23,2.96,2.96,2.8,2.88,1057.25
2024-05-24,2.8,2.9508,2.8,2.9508,1188.5
2024-05-28,2.807,3.04,2.807,2.96,639.75
2024-05-29,2.96,3,2.96,2.984,475.75
2024-05-30,2.8204,3,2.724,2.7284,1727.75
2024-05-31,2.996,3,2.76,3,1804.25
2024-06-03,2.996,3.16,2.8124,3,1882.5
2024-06-04,2.812,3.036,2.812,2.92,270
2024-06-05,2.8152,3.0796,2.8152,3,800.75
2024-06-06,3,3,2.84,2.96,615.5
2024-06-07,2.96,3.08,2.84,2.852,3348
2024-06-10,2.8,3.1516,2.8,3.1436,3965.25
2024-06-11,2.9204,3.024,2.86,2.92,4169.5
2024-06-12,2.96,3,2.9104,2.9104,2434.25
2024-06-13,2.888,3,2.888,2.96,2344.5
2024-06-14,2.94,2.94,2.94,2.94,99.75
2024-06-17,2.88,2.98,2.86,2.86,805
2024-06-18,2.86,3,2.86,3,1766.25
2024-06-20,2.8004,2.92,2.8004,2.84,487.25
2024-06-21,2.84,3,2.84,2.88,563.75
2024-06-24,2.88,3.1596,2.7244,2.9164,1235.5
2024-06-25,2.93,2.93,2.74,2.74,849.5
2024-06-26,2.835,3.04,2.74,2.89,1422
2024-06-27,2.808,2.808,2.7404,2.7564,1478.25
2024-06-28,3.04,3.04,2.768,2.768,366.75
2024-07-01,2.8,2.8004,2.69,2.7596,5452
2024-07-02,2.8,2.8252,2.8,2.8,681.25
2024-07-03,2.8,2.8,2.7984,2.8,1814.5
2024-07-05,2.8,2.9696,2.76,2.78,523.5
2024-07-08,2.6132,2.9724,2.6132,2.9604,2470.75
2024-07-09,2.92,2.92,2.78,2.8,2930.5
2024-07-10,2.8542,2.938,2.6132,2.936,7053.75
2024-07-11,2.8,2.894,2.7376,2.8,3456.5
2024-07-12,2.904,2.922,2.8232,2.8796,4675
2024-07-15,2.8696,2.8796,2.8092,2.8704,1587
2024-07-16,2.88,2.896,2.7008,2.7604,2163.75
2024-07-17,2.816,2.816,2.6664,2.7916,7518
2024-07-18,2.68,2.76,2.6044,2.7428,1935.5
2024-07-19,2.69,2.69,2.6,2.6,1744.5
2024-07-22,2.708,2.708,2.4124,2.6988,3961.5
2024-07-23,2.44,2.7516,2.44,2.6,382.25
2024-07-24,2.5448,2.644,2.5448,2.644,1066.25
2024-07-25,2.744,2.763,2.56,2.564,1186
2024-07-26,2.48,2.48,2.3996,2.4732,2961
2024-07-29,2.4732,2.5936,2.36,2.516,1834.5
2024-07-30,2.3768,2.5352,2.36,2.4476,1340.75
2024-07-31,2.44,2.44,2.36,2.36,8015.25
2024-08-01,2.32,2.3608,2.208,2.2544,1884.25
2024-08-02,2.2004,2.32,1.422,1.844,20842.5
2024-08-05,1.64,1.8,1.6,1.6048,4024
2024-08-06,1.796,2.0004,1.796,2.0004,10503.5
2024-08-07,2,2.086,1.92,1.96,1636.75
2024-08-08,1.9102,2.3,1.9102,2.1584,2087.75
2024-08-09,2.04,2.2,1.9128,1.96,1230
2024-08-12,1.8272,2.0796,1.81,2.0796,2968
2024-08-13,2.08,2.196,1.6204,2.196,4495.25
2024-08-14,2.0804,2.262,2.08,2.262,3325.25
2024-08-15,2.3,3.16,2.16,3.1196,24777.25
2024-08-16,2.9008,3.04,2.4048,3.0396,196183.5
2024-08-19,2.58,2.6716,2.2412,2.2412,24876
2024-08-20,2.316,2.3492,2.2416,2.28,4673
2024-08-21,2.2412,2.716,2.088,2.716,20879
2024-08-22,2.6744,2.75,2.56,2.5844,5827.25
2024-08-23,2.472,2.4998,2.1196,2.4084,18928.25
2024-08-26,2.336,2.352,2.04,2.2584,8101.5
2024-08-27,2.124,2.24,2.04,2.1332,3045.75
2024-08-28,2.0968,2.2,2.004,2.04,1944.5
2024-08-29,2.04,2.0492,1.84,1.96,8575.25
2024-08-30,1.904,1.952,1.76,1.76,3990.75
2024-09-03,1.6848,1.9404,1.6848,1.7916,3097.5
2024-09-04,1.828,2.12,1.76,2,8425
2024-09-05,1.88,2.1196,1.88,2.0796,9526.25
2024-09-06,2,2.1188,1.8448,2.0004,3223.75
2024-09-09,1.82,1.9984,1.82,1.9984,370.75
2024-09-10,1.968,2.08,1.64,1.8,15659.25
2024-09-11,1.6804,2.1226,1.6804,2.08,20515.25
2024-09-12,2.1204,2.1204,1.8,1.92,7863.75
2024-09-13,2.1,2.28,1.81,2.1506,52991
2024-09-16,2.3,2.39,2.1,2.3,39110
2024-09-17,2.23,2.3708,2.11,2.26,32141
2024-09-18,2.33,2.4,2.08,2.16,40967
2024-09-19,2.05,2.22,2.02,2.22,8397
2024-09-20,2.21,2.21,2.1,2.21,2407
2024-09-23,2.1928,2.1984,2.01,2.02,11984
2024-09-24,2.02,2.06,2.02,2.05,2653
2024-09-25,2.19,2.19,2.03,2.03,2127
2024-09-26,2,2.16,1.78,2,18157
2024-09-27,2,2.17,2,2.1,8092
2024-09-30,2.25,2.73,2.21,2.32,105042
2024-10-01,2.39,2.39,2.14,2.3,23606
2024-10-02,2.32,2.45,2.1,2.4165,14689
2024-10-03,2.33,2.33,2.1908,2.26,10233
2024-10-04,2.26,2.4142,2.15,2.35,9143
2024-10-07,2.49,2.49,2.31,2.47,27457
2024-10-08,2.42,2.42,2.25,2.34,12361
2024-10-09,2.3672,2.54,2.26,2.26,6015
2024-10-10,2.26,2.26,1.8806,2.09,23655
2024-10-11,2.2,2.2,2.2,2.2,326
2024-10-14,2.04,2.28,1.98,2.1,6064
2024-10-15,2.06,2.06,1.95,1.9601,5673
2024-10-16,1.9902,2.12,1.97,2.05,8215
2024-10-17,2.15,2.15,2.065,2.065,771
2024-10-18,2.1,2.1,2.07,2.1,958
2024-10-21,2.15,2.215,2.11,2.11,1080
2024-10-22,2.1101,2.1102,2.11,2.11,633
2024-10-23,2.21,2.22,2.01,2.01,2313
2024-10-24,2.08,2.08,2.01,2.01,1310
2024-10-25,2.02,2.1836,1.98,2,15107
2024-10-28,2.05,2.1,2,2.0731,2738
2024-10-29,2.1,2.1,1.99,2,9806
2024-10-30,2.0674,2.0674,2,2,863
2024-10-31,2.01,2.055,1.95,1.95,2594
2024-11-01,1.93,2.49,1.93,2.01,88848
2024-11-04,1.8,1.8,1.6,1.76,40290
2024-11-05,1.71,1.85,1.632,1.65,3124
2024-11-06,1.71,1.78,1.5,1.57,38403
2024-11-07,1.61,1.7099,1.61,1.675,12221
2024-11-08,1.59,1.64,1.56,1.61,2342
2024-11-11,1.65,1.68,1.6307,1.64,4701
2024-11-12,1.63,1.655,1.595,1.6299,3885
2024-11-13,1.585,1.59,1.53,1.54,6755
2024-11-14,1.54,1.54,1.45,1.45,1986
2024-11-15,1.47,1.55,1.46,1.52,8359
2024-11-18,1.51,1.6495,1.51,1.6495,11032
2024-11-19,1.71,1.98,1.71,1.9224,8090
2024-11-20,1.94,2.0383,1.88,1.99,9123
2024-11-21,1.72,1.86,1.56,1.64,16792
2024-11-22,1.73,1.73,1.66,1.7,4318
2024-11-25,1.7,1.87,1.7,1.755,8601
2024-11-26,1.825,1.9614,1.7,1.7,9547
2024-11-27,1.7358,1.745,1.68,1.68,1688
2024-11-29,1.72,1.72,1.72,1.72,721
2024-12-02,1.66,1.7785,1.66,1.7785,1532
2024-12-03,1.77,1.94,1.67,1.94,1492
2024-12-04,1.76,1.93,1.76,1.93,1711
2024-12-05,1.9,1.9,1.67,1.67,8231
2024-12-06,1.53,1.5901,1.53,1.5901,1328
2024-12-09,1.6,1.82,1.6,1.79,5436
2024-12-10,1.65,1.68,1.62,1.62,2837
2024-12-11,2.14,2.23,1.75,2.1,3478303.0
2024-12-12,1.93,2.4,1.89,2.15,377648
2024-12-13,1.99,2.15,1.8201,1.9,126567
2024-12-16,1.84,1.95,1.8,1.8,32837
2024-12-17,1.75,1.92,1.67,1.87,24691
2024-12-18,1.78,1.78,1.65,1.72,32388
2024-12-19,1.67,1.8499,1.65,1.71,73822
2024-12-20,1.7,1.71,1.66,1.669,10604
2024-12-23,1.65,1.7,1.55,1.55,20934
2024-12-24,1.57,1.68,1.44,1.51,75105
2024-12-26,1.69,1.82,1.58,1.71,3415857.0
2024-12-27,1.65,1.7499,1.56,1.69,130885
2024-12-30,1.58,1.65,1.56,1.59,23096
2024-12-31,1.65,1.73,1.56,1.61,30457
2025-01-02,1.6,1.76,1.6,1.74,98069
2025-01-03,1.7,1.84,1.67,1.68,122752
2025-01-06,1.7388,1.81,1.73,1.785,28056
2025-01-07,1.75,1.84,1.72,1.74,22404
2025-01-08,1.75,1.79,1.66,1.67,61393
2025-01-10,1.67,1.79,1.6101,1.7599,81701
2025-01-13,1.64,1.74,1.62,1.6417,21647
2025-01-14,1.64,1.73,1.64,1.69,16549
2025-01-15,1.65,1.6901,1.65,1.69,3382
2025-01-16,1.64,1.68,1.56,1.56,59508
2025-01-17,1.6,1.68,1.6,1.65,9323
2025-01-21,1.695,1.79,1.64,1.65,143231
2025-01-22,1.6,1.76,1.6,1.74,41008
2025-01-23,1.68,1.74,1.68,1.71,89902
2025-01-24,1.68,1.78,1.66,1.78,112443
2025-01-27,1.73,1.8,1.69,1.8,57815
2025-01-28,1.735,1.79,1.72,1.77,9320
2025-01-29,1.7423,1.82,1.69,1.76,15278
2025-01-30,1.77,1.93,1.73,1.81,118049
2025-01-31,1.77,1.89,1.7,1.87,93917
2025-02-03,1.75,1.81,1.71,1.72,1285
2025-02-04,1.72,1.88,1.7,1.88,12321
2025-02-05,1.68,1.89,1.68,1.89,8944
2025-02-06,1.88,1.89,1.76,1.83,5789
2025-02-07,1.73,1.84,1.73,1.74,3417
2025-02-10,1.75,1.785,1.73,1.73,2527
2025-02-11,1.72,1.73,1.65,1.69,5645
2025-02-12,1.71,1.745,1.67,1.73,5205
2025-02-13,1.71,1.73,1.67,1.67,851
2025-02-14,1.7222,1.784,1.68,1.76,4029
2025-02-18,1.66,1.79,1.66,1.73,14040
2025-02-19,1.66,1.8,1.66,1.78,7705
2025-02-20,1.77,1.8396,1.76,1.8199,9269
2025-02-21,1.78,1.98,1.78,1.83,37373
2025-02-24,1.8,1.9,1.69,1.8,6988
2025-02-25,1.82,1.9799,1.78,1.86,16004
2025-02-26,1.815,1.93,1.815,1.86,13578
2025-02-27,1.8301,1.93,1.76,1.81,12221
2025-02-28,1.81,1.894,1.76,1.78,4445
