date,open,high,low,close,volume
2024-03-01,35.45,36.12,34.99,35.87,83061
2024-03-04,35.85,35.98,35.6,35.77,77950
2024-03-05,35.63,36.2,35.05,35.05,121826
2024-03-06,35.68,35.68,35.08,35.26,67408
2024-03-07,35.41,35.67,35.055,35.23,51461
2024-03-08,35.4,35.5928,35.24,35.47,39230
2024-03-11,35.33,36.14,35.33,35.98,46734
2024-03-12,36.01,36.01,35.21,35.54,63051
2024-03-13,35.83,36.46,35.75,36.21,78920
2024-03-14,36.22,36.22,35.29,35.65,76744
2024-03-15,35.5,36.31,35.45,35.66,227290
2024-03-18,35.5,35.7599,35.22,35.23,54204
2024-03-19,35.23,35.58,35.1,35.26,51253
2024-03-20,35.18,35.615,35.0484,35.48,48828
2024-03-21,35.66,36.2,35.6101,35.9,101544
2024-03-22,36.09,36.3,35.43,35.44,44304
2024-03-25,35.59,35.66,35.36,35.4,32930
2024-03-26,35.41,35.5623,35.22,35.31,39753
2024-03-27,35.46,35.97,35.46,35.97,53970
2024-03-28,35.9,36.48,35.9,36.27,64673
2024-04-01,36.5,36.57,35.47,35.8,71538
2024-04-02,35.41,35.85,35.27,35.27,60085
2024-04-03,35.35,35.6725,34.86,34.92,60287
2024-04-04,35.09,35.22,34.89,35.1,52320
2024-04-05,35,35.015,34.45,34.65,71669
2024-04-08,34.66,35.1317,34.66,35.07,44877
2024-04-09,35.15,35.5,35.02,35.41,38922
2024-04-10,34.97,34.98,34.31,34.57,94523
2024-04-11,34.77,34.8397,34.3,34.47,67569
2024-04-12,34.31,34.5,33.8,34.04,73037
2024-04-15,34.18,34.18,33.705,34.01,61377
2024-04-16,33.9,33.9,33.32,33.33,52927
2024-04-17,33.52,33.83,33.33,33.8,54463
2024-04-18,34,34.4,33.88,34.26,57344
2024-04-19,34.25,35.13,34.25,35.07,56840
2024-04-22,35.32,35.49,35.1,35.42,64412
2024-04-23,35.42,35.89,35.35,35.55,54480
2024-04-24,35.5,35.695,35.12,35.53,39021
2024-04-25,35.33,35.5582,35.1,35.37,40457
2024-04-26,35.58,35.58,35.27,35.37,33462
2024-04-29,35.39,35.66,35.35,35.52,37977
2024-04-30,35.14,35.65,35.1201,35.51,51468
2024-05-01,35.69,36.44,35.68,36.1,54879
2024-05-02,36.35,36.79,35.9814,36.75,51317
2024-05-03,37.07,37.07,36.625,36.9,38882
2024-05-06,37.07,37.07,36.71,36.76,35232
2024-05-07,36.99,37.24,36.79,36.87,51816
2024-05-08,36.53,37.44,36.53,37.39,42511
2024-05-09,37.38,38.41,37.38,38.34,60924
2024-05-10,38.28,38.565,38.0372,38.45,42753
2024-05-13,38.47,38.73,38.1701,38.28,54482
2024-05-14,38.71,39.03,38.33,38.48,40538
2024-05-15,38.64,38.78,38.3196,38.45,37615
2024-05-16,38.09,38.61,37.98,38.58,52842
2024-05-17,38.69,38.69,38.2001,38.38,35529
2024-05-20,38.35,38.35,38.02,38.04,37103
2024-05-21,38.08,38.51,37.895,38.51,32491
2024-05-22,38.35,38.52,37.67,37.67,40336
2024-05-23,37.6,37.6,36.35,36.47,41279
2024-05-24,36.57,36.57,36.0377,36.32,29525
2024-05-28,36.32,36.61,36.07,36.28,55771
2024-05-29,36.02,36.02,35.59,35.63,40234
2024-05-30,36,36.23,35.8798,36.13,31745
2024-05-31,36.16,37.13,36.16,37.04,52670
2024-06-03,37.34,37.53,36.87,36.91,43850
2024-06-04,36.83,37.2,36.68,37.16,32872
2024-06-05,37.34,37.34,36.99,36.99,34388
2024-06-06,36.92,37.1,36.61,36.64,31273
2024-06-07,36.43,36.57,36.09,36.25,31995
2024-06-10,36.18,36.36,35.92,36.17,28622
2024-06-11,36.04,36.51,35.64,36.42,31696
2024-06-12,37.05,37.05,36.1,36.1,43680
2024-06-13,35.95,36.43,35.68,36.37,33331
2024-06-14,36.13,36.285,35.68,35.88,34984
2024-06-17,35.82,36.33,35.41,36.08,30564
2024-06-18,35.88,36.265,35.73,35.79,42843
2024-06-20,35.87,36.405,35.87,36.07,37436
2024-06-21,36.15,36.39,35.84,35.86,129408
2024-06-24,36.06,37.34,36.06,36.95,60466
2024-06-25,36.92,36.92,36.62,36.82,27441
2024-06-26,36.48,37.07,36.43,36.98,75591
2024-06-27,37.19,37.62,36.96,37.49,59234
2024-06-28,37.59,37.59,36.815,37.09,816626
2024-07-01,37.17,37.25,36.38,36.82,37283
2024-07-02,36.8,37.41,36.8,37.18,34475
2024-07-03,37.18,37.21,36.36,36.42,40742
2024-07-05,36.32,36.89,36.08,36.85,77656
2024-07-08,36.98,37.25,36.89,36.89,30375
2024-07-09,36.83,37.1,36.53,36.94,26986
2024-07-10,36.97,37.72,36.8319,37.68,30957
2024-07-11,38.12,39.235,38.12,39.02,52741
2024-07-12,39.39,39.94,39.29,39.49,45950
2024-07-15,39.62,39.73,38.9901,39.33,50655
2024-07-16,39.3,40.4,39.3,40.23,64123
2024-07-17,40.04,41.41,40.04,41.14,59992
2024-07-18,40.99,41.5,40.58,40.8,34947
2024-07-19,40.83,41.48,40.0501,40.24,33975
2024-07-22,40.24,40.75,39.7469,40.74,26763
2024-07-23,40.53,41.3,40.33,40.74,49740
2024-07-24,40.65,41.46,40.09,41.18,41923
2024-07-25,41.14,41.96,40.6208,40.7,65374
2024-07-26,41.04,41.31,40.8,41.14,30145
2024-07-29,41.42,41.77,40.29,40.82,38405
2024-07-30,40.78,41.27,40.61,41.23,29958
2024-07-31,41.47,41.82,40.79,41.31,43077
2024-08-01,41.59,41.9,40.67,41.16,30894
2024-08-02,40.11,41.79,39.65,41.08,64841
2024-08-05,40.01,40.0906,38.49,38.75,77201
2024-08-06,38.71,38.97,38.18,38.46,63887
2024-08-07,38.81,38.875,37.985,38.19,37858
2024-08-08,38.35,38.47,37.98,38.09,28879
2024-08-09,38.16,38.23,37.6157,38.15,29395
2024-08-12,38.15,38.16,37.5919,37.91,32226
2024-08-13,38.12,38.22,37.8478,38.1,28117
2024-08-14,37.81,38.49,37.81,38.32,27010
2024-08-15,38.7,39.05,38.304,38.67,31615
2024-08-16,38.56,38.97,38.27,38.7,25291
2024-08-19,38.54,39.085,38.54,38.94,23552
2024-08-20,38.7,38.74,38.46,38.57,36765
2024-08-21,38.8,39.14,38.4525,38.9,36393
2024-08-22,39.01,39.0854,38.025,38.06,32064
2024-08-23,38.26,39.02,37.8401,38.16,108365
2024-08-26,38.53,38.69,37.94,38.01,60070
2024-08-27,38.21,38.679,37.78,38.41,42045
2024-08-28,38.59,39.17,38.2001,38.55,40775
2024-08-29,38.76,38.945,38.3747,38.75,38182
2024-08-30,38.71,39.005,38.32,38.98,57001
2024-09-03,38.98,39.155,38.49,38.5,29998
2024-09-04,38.38,38.725,38.2893,38.51,22489
2024-09-05,38.79,38.875,38.28,38.33,23193
2024-09-06,38.45,38.6,37.89,37.94,24116
2024-09-09,37.84,38.15,37.6,38.13,26641
2024-09-10,38.26,39.03,38.19,38.92,35252
2024-09-11,38.78,38.78,37.95,38.07,26343
2024-09-12,38.3,38.395,38.02,38.31,25938
2024-09-13,38.67,39.14,38.32,39.13,23597
2024-09-16,39.31,39.45,39.08,39.37,22340
2024-09-17,39.5,39.79,39.17,39.26,44262
2024-09-18,39.47,39.73,38.85,39.01,33781
2024-09-19,39.3,39.3,38.54,38.99,33462
2024-09-20,38.83,38.83,37.9,37.93,169960
2024-09-23,38.08,38.2417,37.8735,37.92,30381
2024-09-24,37.89,38.06,37.695,37.77,47487
2024-09-25,37.77,37.77,37.2744,37.43,62780
2024-09-26,37.58,37.58,37.13,37.14,38443
2024-09-27,37.38,37.73,37.1001,37.52,40145
2024-09-30,37.4,37.54,37.11,37.46,37370
2024-10-01,37.46,37.57,37.06,37.28,24874
2024-10-02,37.23,37.42,36.96,37.02,19492
2024-10-03,36.88,36.93,36.42,36.47,25624
2024-10-04,36.57,36.76,36.0902,36.48,31905
2024-10-07,36.31,36.31,35.69,35.82,31477
2024-10-08,35.82,35.825,35.37,35.6,34731
2024-10-09,35.57,36.33,35.44,35.78,39075
2024-10-10,35.56,35.97,35.46,35.68,35720
2024-10-11,35.59,36.26,35.59,36.26,28008
2024-10-14,36.32,36.7611,36.21,36.61,26761
2024-10-15,36.83,37.56,36.83,37.27,43054
2024-10-16,37.54,38.1,37.54,38.04,42884
2024-10-17,38.18,38.18,37.61,37.8,22419
2024-10-18,37.86,38.055,37.49,37.92,34867
2024-10-21,37.75,37.905,37.25,37.44,24823
2024-10-22,37.31,37.4466,37.08,37.21,25871
2024-10-23,37.02,37.225,36.71,36.97,18216
2024-10-24,36.89,36.965,36,36.06,20278
2024-10-25,36.09,36.23,35.5,35.55,33922
2024-10-28,35.55,36.23,35.51,35.86,37927
2024-10-29,35.69,35.7,35.39,35.57,30403
2024-10-30,35.6,35.95,35.455,35.51,24614
2024-10-31,35.37,35.715,35.17,35.17,35691
2024-11-01,35.48,35.6909,35.2,35.28,36294
2024-11-04,35.41,35.4413,35.17,35.44,27318
2024-11-05,35.44,36.74,35.34,36.74,49674
2024-11-06,37.35,38.5,37.17,38.15,76988
2024-11-07,37.83,38.22,37.17,37.3,48525
2024-11-08,37.6,37.68,37.26,37.49,29805
2024-11-11,37.45,37.62,36.87,36.92,32463
2024-11-12,36.78,36.795,36.02,36.06,47675
2024-11-13,36.25,36.25,35.65,35.71,31401
2024-11-14,35.58,35.65,35.34,35.41,40196
2024-11-15,35.59,35.9,35,35.87,33939
2024-11-18,35.94,36.06,35.655,35.7,33067
2024-11-19,35.71,35.77,35.36,35.77,38280
2024-11-20,35.62,35.75,35.4,35.5,23550
2024-11-21,35.71,35.735,35.3,35.47,49898
2024-11-22,35.5,36.187,35.5,36.18,49983
2024-11-25,36.34,36.6,35.89,36.07,65091
2024-11-26,35.94,36.03,35.56,35.92,53191
2024-11-27,35.78,36.44,35.67,35.98,50053
2024-11-29,35.9,36.24,35.76,35.84,26510
2024-12-02,35.8,35.84,35.2351,35.7,54819
2024-12-03,35.53,35.65,35.07,35.08,44182
2024-12-04,35.1,35.1,34.84,34.98,61511
2024-12-05,34.82,34.96,34.6543,34.79,47234
2024-12-06,34.77,34.84,34.36,34.59,71791
2024-12-09,34.79,34.9927,34.4567,34.59,70991
2024-12-10,34.62,35.06,34.14,34.91,77060
2024-12-11,34.77,35.15,34.445,35.04,71471
2024-12-12,34.94,35.24,34.63,34.74,40877
2024-12-13,34.68,34.87,34.59,34.82,39180
2024-12-16,34.87,35.3,34.8,34.82,46765
2024-12-17,34.61,35.35,34.61,35.06,83471
2024-12-18,35.23,35.265,33.6,33.66,103781
2024-12-19,33.71,34.2599,33.37,33.41,82843
2024-12-20,33.22,33.915,33.22,33.43,277664
2024-12-23,33.2,33.23,32.7596,33.11,77853
2024-12-24,32.95,33.1317,32.75,33,29139
2024-12-26,32.8,33.3775,32.7137,33.33,53349
2024-12-27,33.16,33.33,32.8,32.95,51309
2024-12-30,32.78,33.23,32.7,33.13,79499
2024-12-31,33.04,33.2136,32.5822,32.72,62948
2025-01-02,33,33.43,32.4,32.49,48773
2025-01-03,32.6,32.69,32.3,32.38,52231
2025-01-06,32.32,32.35,31.35,31.37,66277
2025-01-07,31.365,31.54,30.84,31.28,73300
2025-01-08,31.07,31.13,30.7587,31.09,46703
2025-01-10,30.77,30.92,30.31,30.52,80880
2025-01-13,30.31,30.49,30.02,30.39,70562
2025-01-14,30.61,30.81,30.44,30.79,47104
2025-01-15,31.25,31.32,30.84,30.85,47874
2025-01-16,30.85,31.52,30.85,31.5,46380
2025-01-17,31.7,31.74,31.27,31.31,38720
2025-01-21,31.5,32.005,31.44,31.46,53944
2025-01-22,31.25,31.25,30.02,30.03,91673
2025-01-23,30.01,30.27,29.86,30.11,104374
2025-01-24,30,30.37,29.96,30.2,48919
2025-01-27,30.25,31.56,30.25,31.33,112787
2025-01-28,31.34,31.51,31.19,31.34,59554
2025-01-29,31.21,31.5,30.8354,31.01,46816
2025-01-30,31.23,31.4995,30.755,30.885,35345
2025-01-31,30.76,31.08,30.7,30.93,53626
2025-02-03,30.63,31.67,30.46,31.67,72504
2025-02-04,31.67,31.67,31.2,31.58,45411
2025-02-05,31.7,32.03,31.54,31.73,41085
2025-02-06,31.86,31.86,31.455,31.6,35903
2025-02-07,31.49,31.54,31.2,31.3,33936
2025-02-10,31.39,31.595,31.2,31.58,40448
2025-02-11,31.53,32.24,31.33,32.19,33442
2025-02-12,31.8,32.32,31.8,32.09,45711
2025-02-13,32.16,32.92,32.045,32.9,57125
2025-02-14,33,33.13,32.525,32.79,49824
2025-02-18,32.9,33.23,32.79,33.23,73324
2025-02-19,33,33.53,33,33.41,29773
2025-02-20,33.19,33.74,33.19,33.53,66991
2025-02-21,33.82,33.82,33.11,33.11,54667
2025-02-24,33.32,33.4663,32.52,32.72,84264
2025-02-25,32.77,33.97,32.77,33.6,65469
2025-02-26,33.42,33.53,33.15,33.29,32913
2025-02-27,33.25,33.25,31.25,32.32,165064
2025-02-28,32.3,32.58,31.93,32.05,91019
